timeline,Oracle Corp Japan
31 May 2006,$5.59B
30 Jun 2006,$5.99B
31 Jul 2006,$5.67B
31 Aug 2006,$5.78B
29 Sep 2006,$5.72B
31 Oct 2006,$6.1B
29 Dec 2006,$6.17B
31 Jan 2007,$5.89B
28 Feb 2007,$6.13B
30 Mar 2007,$6.35B
30 Apr 2007,$6.09B
31 May 2007,$6.07B
29 Jun 2007,$6.09B
31 Jul 2007,$5.93B
31 Aug 2007,$5.7B
28 Sep 2007,$5.88B
31 Oct 2007,$5.91B
30 Nov 2007,$5.6B
31 Dec 2007,$5.52B
31 Jan 2008,$5.2B
29 Feb 2008,$5.18B
30 Apr 2008,$5.28B
30 May 2008,$5.11B
30 Jun 2008,$4.85B
31 Jul 2008,$5.07B
29 Aug 2008,$5.34B
31 Oct 2008,$4.72B
28 Nov 2008,$4.45B
31 Dec 2008,$4.33B
30 Jan 2009,$4.04B
27 Feb 2009,$3.45B
31 Mar 2009,$4.17B
30 Apr 2009,$3.89B
29 May 2009,$3.81B
30 Jun 2009,$3.97B
31 Jul 2009,$4.27B
31 Aug 2009,$4.32B
30 Sep 2009,$4.48B
30 Oct 2009,$4.49B
30 Nov 2009,$4.4B
31 Dec 2009,$4.32B
29 Jan 2010,$4.37B
26 Feb 2010,$4.61B
31 Mar 2010,$4.86B
30 Apr 2010,$5.22B
31 May 2010,$4.77B
30 Jun 2010,$4.9B
30 Jul 2010,$5.14B
31 Aug 2010,$4.83B
30 Sep 2010,$4.45B
29 Oct 2010,$4.1B
30 Nov 2010,$4.14B
31 Dec 2010,$4.47B
31 Jan 2011,$4.21B
28 Feb 2011,$4.32B
31 Mar 2011,$3.88B
29 Apr 2011,$3.93B
31 May 2011,$3.98B
30 Jun 2011,$3.92B
29 Jul 2011,$2.9B
31 Aug 2011,$2.85B
30 Sep 2011,$3.07B
31 Oct 2011,$3.05B
30 Nov 2011,$2.88B
30 Dec 2011,$2.85B
31 Jan 2012,$2.99B
29 Feb 2012,$3.28B
30 Mar 2012,$3.52B
30 Apr 2012,$3.46B
31 May 2012,$3.2B
29 Jun 2012,$3.84B
31 Jul 2012,$3.94B
31 Aug 2012,$4.24B
28 Sep 2012,$4.51B
31 Oct 2012,$3.98B
30 Nov 2012,$3.88B
31 Dec 2012,$4.02B
31 Jan 2013,$4.27B
28 Feb 2013,$4.37B
29 Mar 2013,$4.77B
30 Apr 2013,$4.68B
31 May 2013,$4.47B
28 Jun 2013,$4.61B
31 Jul 2013,$4.28B
30 Aug 2013,$4.5B
30 Sep 2013,$4.1B
31 Oct 2013,$4.35B
29 Nov 2013,$4.53B
31 Dec 2013,$4.31B
31 Jan 2014,$4.57B
28 Feb 2014,$4.75B
31 Mar 2014,$5.24B
30 Apr 2014,$5.27B
30 May 2014,$5.15B
30 Jun 2014,$4.97B
31 Jul 2014,$4.92B
29 Aug 2014,$4.76B
30 Sep 2014,$4.8B
31 Oct 2014,$4.79B
28 Nov 2014,$5.02B
31 Dec 2014,$5.5B
30 Jan 2015,$5.51B
27 Feb 2015,$5.87B
31 Mar 2015,$5.8B
30 Apr 2015,$6.14B
29 May 2015,$6.03B
30 Jun 2015,$5.74B
31 Jul 2015,$5.86B
31 Aug 2015,$5.69B
30 Sep 2015,$5.65B
30 Oct 2015,$6.19B
30 Nov 2015,$6.73B
31 Dec 2015,$6.34B
29 Jan 2016,$6.1B
29 Feb 2016,$6.2B
31 Mar 2016,$7.1B
29 Apr 2016,$6.64B
31 May 2016,$6.62B
30 Jun 2016,$6.12B
29 Jul 2016,$7.03B
31 Aug 2016,$6.77B
30 Sep 2016,$6.4B
31 Oct 2016,$6.43B
30 Nov 2016,$6.41B
30 Dec 2016,$6.62B
31 Jan 2017,$7.11B
28 Feb 2017,$7.36B
31 Mar 2017,$7.16B
28 Apr 2017,$7.22B
31 May 2017,$7.33B
30 Jun 2017,$8.2B
31 Jul 2017,$8.33B
31 Aug 2017,$9.15B
29 Sep 2017,$9.95B
31 Oct 2017,$10.75B
30 Nov 2017,$11.24B
29 Dec 2017,$10.52B
31 Jan 2018,$9.89B
28 Feb 2018,$9.38B
30 Mar 2018,$9.75B
30 Apr 2018,$10.14B
31 May 2018,$9.35B
29 Jun 2018,$10.21B
31 Jul 2018,$10.58B
