timeline,Itochu Techno-Solutions
31 Mar 2006,$2.35B
28 Apr 2006,$2.36B
31 May 2006,$2.62B
30 Jun 2006,$2.67B
31 Jul 2006,$2.61B
31 Aug 2006,$2.88B
29 Sep 2006,$3.04B
31 Oct 2006,$3.32B
30 Nov 2006,$3.54B
29 Dec 2006,$3.21B
31 Jan 2007,$3.1B
28 Feb 2007,$2.91B
30 Mar 2007,$2.87B
30 Apr 2007,$2.78B
31 May 2007,$2.6B
29 Jun 2007,$2.46B
31 Jul 2007,$2.2B
31 Aug 2007,$2.31B
28 Sep 2007,$2.06B
31 Oct 2007,$2.08B
30 Nov 2007,$2.01B
31 Dec 2007,$1.91B
31 Jan 2008,$1.55B
29 Feb 2008,$1.49B
31 Mar 2008,$1.53B
30 Apr 2008,$1.66B
30 May 2008,$1.96B
31 Mar 2009,$1.15B
30 Apr 2009,$1.26B
29 May 2009,$1.39B
30 Jun 2009,$1.62B
31 Jul 2009,$1.61B
31 Aug 2009,$1.55B
30 Sep 2009,$1.56B
30 Oct 2009,$1.42B
30 Nov 2009,$1.34B
31 Dec 2009,$1.41B
29 Jan 2010,$1.55B
26 Feb 2010,$1.6B
31 Mar 2010,$1.73B
30 Apr 2010,$2.01B
31 May 2010,$1.89B
30 Jun 2010,$1.84B
30 Jul 2010,$1.78B
31 Aug 2010,$1.55B
30 Sep 2010,$1.54B
29 Oct 2010,$1.55B
30 Nov 2010,$1.7B
31 Dec 2010,$1.72B
31 Jan 2011,$1.61B
28 Feb 2011,$1.63B
31 Mar 2011,$1.52B
29 Apr 2011,$1.6B
31 May 2011,$1.55B
30 Jun 2011,$1.52B
29 Jul 2011,$1.62B
31 Aug 2011,$1.75B
30 Sep 2011,$1.86B
31 Oct 2011,$1.82B
30 Nov 2011,$1.77B
30 Dec 2011,$1.84B
31 Jan 2012,$1.88B
29 Feb 2012,$1.93B
30 Mar 2012,$2.04B
30 Apr 2012,$2.01B
31 May 2012,$2B
29 Jun 2012,$2.12B
31 Jul 2012,$2.17B
31 Aug 2012,$2.3B
28 Sep 2012,$2.18B
31 Oct 2012,$2.21B
