timeline,Rakuten
29 Dec 2006,$6.37B
31 Jan 2007,$7.3B
28 Feb 2007,$7.07B
30 Mar 2007,$6.44B
30 Apr 2007,$5.57B
31 May 2007,$4.76B
31 Jul 2007,$4.21B
31 Aug 2007,$4.92B
28 Sep 2007,$5.17B
31 Oct 2007,$6.43B
30 Nov 2007,$6.52B
31 Dec 2007,$6.34B
31 Jan 2008,$5.25B
29 Feb 2008,$5.8B
31 Mar 2008,$6.88B
30 Apr 2008,$7.49B
30 May 2008,$6.26B
30 Jun 2008,$6.18B
31 Jul 2008,$6.29B
29 Aug 2008,$7.03B
30 Sep 2008,$6.73B
31 Oct 2008,$5.57B
28 Nov 2008,$6.02B
31 Dec 2008,$6.57B
30 Jan 2009,$6.14B
27 Feb 2009,$5.83B
31 Mar 2009,$5.44B
30 Apr 2009,$5.74B
29 May 2009,$6.03B
30 Jun 2009,$6.7B
31 Jul 2009,$7.01B
31 Aug 2009,$6.48B
30 Sep 2009,$6.89B
30 Oct 2009,$7.19B
30 Nov 2009,$8.05B
31 Dec 2009,$8.16B
29 Jan 2010,$8.53B
26 Feb 2010,$7.91B
31 Mar 2010,$7.81B
30 Apr 2010,$8.42B
31 May 2010,$7.33B
30 Jun 2010,$7.4B
30 Jul 2010,$7.65B
31 Aug 2010,$7.34B
30 Sep 2010,$7.06B
29 Oct 2010,$7.16B
30 Nov 2010,$7.4B
31 Dec 2010,$7.85B
31 Jan 2011,$8.34B
28 Feb 2011,$8.4B
31 Mar 2011,$8.64B
29 Apr 2011,$8.62B
31 May 2011,$9.27B
30 Jun 2011,$9.6B
29 Jul 2011,$9.04B
31 Aug 2011,$9.97B
30 Sep 2011,$10.43B
31 Oct 2011,$9.94B
30 Nov 2011,$9.6B
30 Dec 2011,$9.56B
31 Jan 2012,$8.9B
29 Feb 2012,$9.36B
30 Mar 2012,$10.04B
30 Apr 2012,$10.31B
31 May 2012,$9.71B
29 Jun 2012,$9.54B
31 Jul 2012,$9.02B
31 Aug 2012,$8.76B
28 Sep 2012,$9.21B
31 Oct 2012,$8.32B
30 Nov 2012,$8.05B
31 Dec 2012,$7.81B
31 Jan 2013,$9.68B
28 Feb 2013,$9.28B
29 Mar 2013,$11.09B
30 Apr 2013,$12.05B
31 May 2013,$13.15B
28 Jun 2013,$13.6B
31 Jul 2013,$15.35B
30 Aug 2013,$14.05B
30 Sep 2013,$17.24B
31 Oct 2013,$14.84B
29 Nov 2013,$18.28B
31 Dec 2013,$18.17B
31 Jan 2014,$19.57B
28 Feb 2014,$16.95B
31 Mar 2014,$16.03B
30 Apr 2014,$15.39B
30 May 2014,$15.36B
30 Jun 2014,$15.25B
31 Jul 2014,$15.95B
29 Aug 2014,$15.68B
30 Sep 2014,$14.72B
31 Oct 2014,$14.49B
28 Nov 2014,$18.63B
31 Dec 2014,$19.62B
30 Jan 2015,$19.15B
27 Feb 2015,$23.23B
31 Mar 2015,$24.73B
30 Apr 2015,$24.47B
29 May 2015,$23.85B
30 Jun 2015,$24.83B
31 Jul 2015,$25.05B
31 Aug 2015,$21.77B
30 Sep 2015,$19.13B
30 Oct 2015,$21.19B
30 Nov 2015,$19.49B
31 Dec 2015,$17.62B
29 Jan 2016,$15.43B
29 Feb 2016,$13.47B
31 Mar 2016,$13.64B
29 Apr 2016,$15.33B
31 May 2016,$15.01B
30 Jun 2016,$13.86B
29 Jul 2016,$14.78B
31 Aug 2016,$16.39B
30 Sep 2016,$16.48B
31 Oct 2016,$15.24B
30 Nov 2016,$14.18B
30 Dec 2016,$14.4B
31 Jan 2017,$14.18B
28 Feb 2017,$14B
31 Mar 2017,$14.02B
28 Apr 2017,$14.35B
31 May 2017,$16.93B
30 Jun 2017,$16.08B
31 Jul 2017,$16.25B
31 Aug 2017,$15.64B
29 Sep 2017,$14.7B
31 Oct 2017,$14.43B
30 Nov 2017,$13.65B
29 Dec 2017,$12.29B
31 Jan 2018,$11.7B
28 Feb 2018,$11.6B
30 Mar 2018,$10.67B
30 Apr 2018,$9.26B
31 May 2018,$8.69B
29 Jun 2018,$8.9B
31 Jul 2018,$9.34B
31 Aug 2018,$10.09B
28 Sep 2018,$10.34B
31 Oct 2018,$9.07B
30 Nov 2018,$10.85B
