timeline,Otsuka
31 Mar 2006,$3.85B
28 Apr 2006,$3.81B
31 May 2006,$3.79B
30 Jun 2006,$3.59B
31 Jul 2006,$3.57B
31 Aug 2006,$3.2B
29 Sep 2006,$3.5B
31 Oct 2006,$3.58B
30 Nov 2006,$3.42B
29 Dec 2006,$3.37B
31 Jan 2007,$3.13B
28 Feb 2007,$3.22B
30 Mar 2007,$3.14B
30 Apr 2007,$3.23B
31 May 2007,$3.13B
29 Jun 2007,$3.26B
31 Jul 2007,$3.13B
31 Aug 2007,$3.26B
28 Sep 2007,$3.14B
31 Oct 2007,$3.07B
30 Nov 2007,$2.76B
31 Dec 2007,$2.67B
31 Jan 2008,$2.3B
31 Mar 2008,$2.34B
30 Apr 2008,$2.22B
30 May 2008,$2.11B
30 Jun 2008,$2.04B
31 Jul 2008,$1.99B
29 Aug 2008,$2.2B
30 Sep 2008,$1.91B
31 Oct 2008,$1.35B
28 Nov 2008,$1.21B
31 Dec 2008,$1.13B
30 Jan 2009,$1.12B
27 Feb 2009,$0.96B
31 Mar 2009,$1.02B
29 May 2009,$1.21B
30 Jun 2009,$1.43B
31 Jul 2009,$1.38B
31 Aug 2009,$1.57B
30 Sep 2009,$1.5B
30 Oct 2009,$1.35B
30 Nov 2009,$1.15B
31 Dec 2009,$1.29B
29 Jan 2010,$1.38B
26 Feb 2010,$1.52B
31 Mar 2010,$1.66B
30 Apr 2010,$1.87B
31 May 2010,$1.65B
30 Jun 2010,$1.59B
30 Jul 2010,$1.57B
31 Aug 2010,$1.54B
29 Oct 2010,$1.42B
30 Nov 2010,$1.51B
31 Dec 2010,$1.54B
31 Jan 2011,$1.45B
28 Feb 2011,$1.6B
31 Mar 2011,$1.49B
29 Apr 2011,$1.41B
31 May 2011,$1.32B
30 Jun 2011,$1.39B
29 Jul 2011,$1.43B
31 Aug 2011,$1.46B
30 Sep 2011,$1.49B
31 Oct 2011,$1.53B
30 Nov 2011,$1.46B
30 Dec 2011,$1.48B
31 Jan 2012,$1.52B
29 Feb 2012,$1.68B
30 Mar 2012,$1.88B
30 Apr 2012,$1.79B
31 May 2012,$1.74B
29 Jun 2012,$1.89B
31 Jul 2012,$1.92B
28 Sep 2012,$1.95B
31 Oct 2012,$1.81B
30 Nov 2012,$1.82B
31 Jan 2013,$2.09B
28 Feb 2013,$2.62B
29 Mar 2013,$2.84B
30 Apr 2013,$2.81B
31 May 2013,$2.62B
28 Jun 2013,$3.07B
31 Jul 2013,$3.09B
30 Aug 2013,$3.3B
30 Sep 2013,$3.49B
31 Oct 2013,$3.55B
29 Nov 2013,$3.65B
31 Dec 2013,$3.74B
31 Jan 2014,$3.4B
28 Feb 2014,$3.64B
31 Mar 2014,$3.76B
30 Apr 2014,$3.37B
30 May 2014,$3.88B
30 Jun 2014,$4.1B
31 Jul 2014,$3.94B
29 Aug 2014,$3.69B
30 Sep 2014,$3.64B
31 Oct 2014,$3.42B
28 Nov 2014,$3.41B
31 Dec 2014,$3.19B
30 Jan 2015,$3.41B
27 Feb 2015,$3.96B
31 Mar 2015,$4.28B
30 Apr 2015,$4.62B
29 May 2015,$5.05B
30 Jun 2015,$4.78B
31 Jul 2015,$5.44B
31 Aug 2015,$5.35B
30 Sep 2015,$4.86B
30 Oct 2015,$4.91B
30 Nov 2015,$5.16B
31 Dec 2015,$4.98B
29 Jan 2016,$4.96B
29 Feb 2016,$4.66B
31 Mar 2016,$4.96B
29 Apr 2016,$4.45B
31 May 2016,$4.39B
30 Jun 2016,$3.99B
29 Jul 2016,$4.42B
31 Aug 2016,$3.67B
30 Sep 2016,$3.99B
31 Oct 2016,$4.18B
30 Nov 2016,$4.66B
30 Dec 2016,$4.56B
31 Jan 2017,$4.86B
28 Feb 2017,$4.77B
31 Mar 2017,$5.05B
28 Apr 2017,$4.99B
31 May 2017,$5.69B
30 Jun 2017,$5.83B
31 Jul 2017,$6.04B
31 Aug 2017,$6.08B
29 Sep 2017,$6.03B
31 Oct 2017,$6.44B
30 Nov 2017,$7.02B
29 Dec 2017,$7.22B
31 Jan 2018,$7.65B
28 Feb 2018,$8.33B
30 Mar 2018,$4.48B
30 Apr 2018,$8.53B
31 May 2018,$7.51B
29 Jun 2018,$7.26B
31 Jul 2018,$7.29B
31 Aug 2018,$6.73B
28 Sep 2018,$7.09B
31 Oct 2018,$6.27B
30 Nov 2018,$6.39B
31 Dec 2018,$5.05B
31 Jan 2019,$5.87B
28 Feb 2019,$6.69B
29 Mar 2019,$6.91B
30 Apr 2019,$7.3B
31 May 2019,$7.05B
28 Jun 2019,$7.25B
31 Jul 2019,$7.23B
30 Aug 2019,$6.59B
30 Sep 2019,$7.2B
31 Oct 2019,$7.34B
29 Nov 2019,$7.33B
31 Dec 2019,$7.31B
31 Jan 2020,$7.19B
12 Feb 2020,$8.69B
28 Feb 2020,$7.71B
26 Mar 2020,$7.12B
31 Mar 2020,$7.72B
30 Apr 2020,$8.1B
29 May 2020,$8.69B
30 Jun 2020,$9.49B
14 Jul 2020,$9.43B
31 Jul 2020,$9.13B
12 Aug 2020,$8.98B
