timeline,Kosé
Mar 2006,$2.15B
Apr 2006,$2.01B
May 2006,$1.82B
Jun 2006,$1.92B
Jul 2006,$2.06B
Aug 2006,$1.98B
Sep 2006,$2.03B
Oct 2006,$1.88B
Nov 2006,$1.73B
Dec 2006,$1.92B
Jan 2007,$1.87B
Feb 2007,$1.65B
Mar 2007,$1.86B
Apr 2007,$1.77B
May 2007,$1.74B
Jun 2007,$1.85B
Jul 2007,$1.75B
Aug 2007,$1.67B
Sep 2007,$1.61B
Oct 2007,$1.56B
Nov 2007,$1.5B
Dec 2007,$1.57B
Jan 2008,$1.39B
Feb 2008,$1.27B
Mar 2008,$1.14B
Apr 2008,$1.19B
May 2008,$1.3B
Jun 2008,$1.25B
Jul 2008,$1.4B
Aug 2008,$1.58B
Sep 2008,$1.54B
Oct 2008,$1.33B
Nov 2008,$1.2B
Dec 2008,$1.18B
Jan 2009,$1.05B
Feb 2009,$1.08B
Mar 2009,$0.93B
Apr 2009,$1.01B
May 2009,$1.03B
Jun 2009,$1.04B
Jul 2009,$0.99B
Aug 2009,$1.15B
Sep 2009,$1.12B
Oct 2009,$1.02B
Nov 2009,$0.96B
Jan 2010,$0.93B
Feb 2010,$0.99B
Mar 2010,$1.12B
May 2010,$1.11B
Jun 2010,$1.07B
Jul 2010,$1.03B
Aug 2010,$1.01B
Oct 2010,$0.99B
Nov 2010,$0.98B
Dec 2010,$1.07B
Feb 2011,$1.13B
Mar 2011,$1.06B
Apr 2011,$1.08B
May 2011,$1.02B
Jun 2011,$1.07B
Jul 2011,$1.04B
Aug 2011,$1B
Sep 2011,$1.01B
Oct 2011,$0.96B
Nov 2011,$0.92B
Dec 2011,$0.99B
Jan 2012,$0.96B
Feb 2012,$0.93B
Mar 2012,$0.96B
Apr 2012,$0.94B
May 2012,$0.88B
Jun 2012,$0.96B
Jul 2012,$0.94B
Aug 2012,$0.93B
Oct 2012,$0.88B
Nov 2012,$0.89B
Dec 2012,$0.92B
Jan 2013,$0.99B
Feb 2013,$1.04B
Mar 2013,$1.11B
Apr 2013,$1.28B
May 2013,$1.23B
Jun 2013,$1.38B
Jul 2013,$1.39B
Aug 2013,$1.38B
Sep 2013,$1.43B
Oct 2013,$1.44B
Nov 2013,$1.64B
Dec 2013,$1.68B
Jan 2014,$1.62B
Feb 2014,$1.67B
Mar 2014,$1.7B
Apr 2014,$1.71B
May 2014,$1.8B
Jun 2014,$1.94B
Jul 2014,$2.16B
Aug 2014,$2.28B
Sep 2014,$2.34B
Oct 2014,$2.27B
Nov 2014,$2.09B
Dec 2014,$2.37B
Jan 2015,$2.66B
Feb 2015,$3.06B
Mar 2015,$3.33B
Apr 2015,$3.91B
May 2015,$4.08B
Jun 2015,$5.05B
Jul 2015,$6.06B
Aug 2015,$6.03B
Sep 2015,$5.45B
Oct 2015,$5.97B
Nov 2015,$6.47B
Dec 2015,$5.66B
Jan 2016,$5.54B
Feb 2016,$4.88B
Mar 2016,$5.5B
Apr 2016,$5.15B
May 2016,$5B
Jun 2016,$4.31B
Jul 2016,$4.81B
Aug 2016,$4.66B
Sep 2016,$5.16B
Oct 2016,$4.82B
Nov 2016,$4.61B
Dec 2016,$4.88B
Jan 2017,$4.82B
Feb 2017,$4.83B
Mar 2017,$5.06B
Apr 2017,$5.31B
May 2017,$6B
Jun 2017,$6.16B
Jul 2017,$6.17B
Aug 2017,$6.93B
Sep 2017,$6.47B
Oct 2017,$6.9B
Nov 2017,$8.65B
Dec 2017,$8.83B
Jan 2018,$9.44B
Feb 2018,$10.12B
Mar 2018,$11.18B
Apr 2018,$10.17B
May 2018,$11.89B
Jun 2018,$11.99B
Jul 2018,$10.74B
Aug 2018,$10.3B
Sep 2018,$10.87B
Oct 2018,$8.47B
Nov 2018,$8.5B
Dec 2018,$8.67B
Jan 2019,$8.03B
Feb 2019,$9.05B
Mar 2019,$10.21B
Apr 2019,$10.47B
May 2019,$8.62B
Jun 2019,$9.08B
Jul 2019,$9.35B
Aug 2019,$9.17B
Oct 2019,$9.69B
Nov 2019,$8.75B
Dec 2019,$8.04B
Jan 2020,$7.4B
Feb 2020,$6.5B
Mar 2020,$6.69B
Apr 2020,$6.76B
May 2020,$6.78B
Jun 2020,$6.51B
Jul 2020,$6.04B
Jul 2020,$5.32B
Aug 2020,$5.55B
Aug 2020,$6.03B
Aug 2020,$6.01B
Aug 2020,$6.24B
Sep 2020,$6.36B
Sep 2020,$6.45B
Oct 2020,$7.22B
Oct 2020,$7.67B
Oct 2020,$6.67B
Nov 2020,$7.46B
Nov 2020,$7.75B
Nov 2020,$7.69B
Nov 2020,$8.01B
Dec 2020,$8.15B
Dec 2020,$8.83B
Dec 2020,$8.75B
Dec 2020,$8.84B
Jan 2021,$8.21B
Jan 2021,$8.11B
Jan 2021,$8.35B
Jan 2021,$8.45B
Feb 2021,$8.93B
Feb 2021,$9.22B
Feb 2021,$8.57B
Mar 2021,$8.91B
Mar 2021,$8.9B
Mar 2021,$8.72B
Mar 2021,$7.92B
Mar 2021,$7.86B
Apr 2021,$8.06B
Apr 2021,$7.94B
Apr 2021,$8.14B
Apr 2021,$8.03B
Apr 2021,$8.27B
May 2021,$7.82B
May 2021,$8.38B
May 2021,$8.83B
Jun 2021,$9.02B
Jun 2021,$9.11B
Jun 2021,$8.78B
Jul 2021,$8.83B
Jul 2021,$8.79B
Jul 2021,$9.04B
Aug 2021,$7.67B
Aug 2021,$7.48B
Aug 2021,$6.79B
Aug 2021,$6.85B
Sep 2021,$6.82B
Sep 2021,$7.24B
Sep 2021,$6.82B
Sep 2021,$6.78B
Oct 2021,$6.81B
Oct 2021,$7.13B
Oct 2021,$6.93B
Oct 2021,$7.07B
Oct 2021,$6.62B
Nov 2021,$6.91B
Nov 2021,$7.32B
Nov 2021,$7.28B
Nov 2021,$7.1B
Dec 2021,$7.02B
