timeline,ENEOS Holdings
31 Mar 2010,$3.86B
31 Mar 2011,$12.28B
29 Apr 2011,$12.32B
31 May 2011,$11.71B
30 Jun 2011,$11.82B
29 Jul 2011,$12.21B
31 Aug 2011,$10.57B
30 Sep 2011,$9.65B
31 Oct 2011,$10.17B
30 Nov 2011,$10.55B
30 Dec 2011,$10.2B
31 Jan 2012,$10.09B
29 Feb 2012,$11.18B
30 Mar 2012,$11.29B
30 Apr 2012,$9.97B
31 May 2012,$8.76B
29 Jun 2012,$8.98B
31 Jul 2012,$8.31B
31 Aug 2012,$8.88B
28 Sep 2012,$9.36B
31 Oct 2012,$9.32B
30 Nov 2012,$9.65B
31 Dec 2012,$10.59B
31 Jan 2013,$11.84B
28 Feb 2013,$12.41B
29 Mar 2013,$11.42B
30 Apr 2013,$11.58B
31 May 2013,$10.96B
28 Jun 2013,$10.54B
31 Jul 2013,$11.42B
30 Aug 2013,$11.4B
30 Sep 2013,$11.16B
31 Oct 2013,$10.63B
29 Nov 2013,$11.68B
31 Dec 2013,$11.86B
31 Jan 2014,$10.9B
28 Feb 2014,$11.55B
31 Mar 2014,$10.9B
30 Apr 2014,$11.62B
30 Jun 2014,$11.88B
31 Jul 2014,$11.72B
30 Sep 2014,$11.08B
31 Oct 2014,$10.42B
28 Nov 2014,$9.68B
31 Dec 2014,$10.3B
30 Jan 2015,$9.55B
27 Feb 2015,$10.63B
31 Mar 2015,$10.13B
30 Apr 2015,$11.46B
29 May 2015,$12.05B
30 Jun 2015,$11.58B
31 Jul 2015,$11.6B
31 Aug 2015,$10.28B
30 Sep 2015,$9.45B
30 Oct 2015,$10.43B
30 Nov 2015,$10.95B
31 Dec 2015,$11.14B
29 Jan 2016,$10B
29 Feb 2016,$9.63B
31 Mar 2016,$9.51B
29 Apr 2016,$10.32B
31 May 2016,$9.49B
30 Jun 2016,$8.74B
29 Jul 2016,$8.5B
31 Aug 2016,$8.48B
30 Sep 2016,$8.92B
31 Oct 2016,$9.12B
30 Nov 2016,$9.57B
30 Dec 2016,$10.84B
31 Jan 2017,$11.67B
28 Feb 2017,$11.73B
31 Mar 2017,$11.98B
28 Apr 2017,$11.03B
31 May 2017,$10.57B
30 Jun 2017,$14.79B
31 Jul 2017,$14.77B
31 Aug 2017,$16.04B
29 Sep 2017,$17.44B
31 Oct 2017,$17.57B
30 Nov 2017,$18.98B
29 Dec 2017,$21.91B
31 Jan 2018,$21.81B
28 Feb 2018,$19.77B
30 Mar 2018,$19.4B
30 Apr 2018,$21.49B
31 May 2018,$21.08B
29 Jun 2018,$23.1B
31 Jul 2018,$24.48B
31 Aug 2018,$23.34B
28 Sep 2018,$25.6B
31 Oct 2018,$22.92B
30 Nov 2018,$20.45B
31 Dec 2018,$16.98B
31 Jan 2019,$17.47B
28 Feb 2019,$15.42B
29 Mar 2019,$15B
30 Apr 2019,$15.85B
31 May 2019,$15.11B
28 Jun 2019,$15.58B
31 Jul 2019,$14.83B
30 Aug 2019,$12.51B
30 Sep 2019,$14B
31 Oct 2019,$14.48B
29 Nov 2019,$13.4B
31 Dec 2019,$13.72B
31 Jan 2020,$12.91B
28 Feb 2020,$11.96B
26 Mar 2020,$10.61B
31 Mar 2020,$10.5B
14 Apr 2020,$10.35B
30 Apr 2020,$10.86B
29 May 2020,$11.75B
30 Jun 2020,$10.84B
31 Jul 2020,$10.42B
14 Aug 2020,$11.77B
20 Aug 2020,$11.64B
31 Aug 2020,$11.79B
24 Sep 2020,$11.23B
30 Sep 2020,$10.64B
22 Oct 2020,$10.43B
30 Oct 2020,$9.95B
12 Nov 2020,$10.56B
19 Nov 2020,$10.64B
30 Nov 2020,$10.17B
18 Dec 2020,$10.52B
31 Dec 2020,$10.51B
8 Jan 2021,$11.51B
29 Jan 2021,$12.02B
5 Feb 2021,$12.3B
12 Feb 2021,$12.63B
19 Feb 2021,$12.92B
26 Feb 2021,$13.27B
11 Mar 2021,$14.02B
16 Mar 2021,$14.36B
24 Mar 2021,$14B
30 Mar 2021,$14.47B
31 Mar 2021,$14.23B
9 Apr 2021,$13.58B
16 Apr 2021,$13.68B
22 Apr 2021,$13.2B
28 Apr 2021,$13.19B
30 Apr 2021,$13.37B
6 May 2021,$13.84B
12 May 2021,$13.41B
18 May 2021,$13.44B
31 May 2021,$12.84B
4 Jun 2021,$13.46B
11 Jun 2021,$13.3B
30 Jun 2021,$13.16B
12 Jul 2021,$13.32B
16 Jul 2021,$13.24B
30 Jul 2021,$13.45B
6 Aug 2021,$13.66B
13 Aug 2021,$13.32B
20 Aug 2021,$12.18B
27 Aug 2021,$12.33B
3 Sep 2021,$12.75B
10 Sep 2021,$13.1B
17 Sep 2021,$13.61B
24 Sep 2021,$13.48B
2 Oct 2021,$12.97B
9 Oct 2021,$12.89B
16 Oct 2021,$13.02B
23 Oct 2021,$13.11B
30 Oct 2021,$12.99B
13 Nov 2021,$12.67B
20 Nov 2021,$12.2B
27 Nov 2021,$12.26B
4 Dec 2021,$12.2B
9 Dec 2021,$12.32B
