timeline,Toyo Tire
31 Mar 2006,$0.95B
28 Apr 2006,$0.97B
31 May 2006,$0.94B
30 Jun 2006,$0.82B
31 Aug 2006,$0.96B
29 Sep 2006,$0.93B
31 Oct 2006,$0.97B
30 Nov 2006,$0.96B
29 Dec 2006,$1.06B
31 Jan 2007,$1.1B
28 Feb 2007,$0.96B
30 Mar 2007,$0.91B
30 Apr 2007,$0.94B
31 May 2007,$1.03B
29 Jun 2007,$1.18B
31 Jul 2007,$1.05B
31 Aug 2007,$1.17B
28 Sep 2007,$1.24B
30 Nov 2007,$0.78B
31 Dec 2007,$0.77B
31 Jan 2008,$0.66B
29 Feb 2008,$0.54B
31 Mar 2008,$0.59B
30 Apr 2008,$0.74B
30 May 2008,$0.77B
30 Jun 2008,$0.62B
31 Jul 2008,$0.57B
29 Aug 2008,$0.52B
30 Sep 2008,$0.53B
31 Oct 2008,$0.44B
28 Nov 2008,$0.38B
31 Dec 2008,$0.3B
30 Jan 2009,$0.25B
27 Feb 2009,$0.21B
31 Mar 2009,$0.23B
30 Apr 2009,$0.31B
29 May 2009,$0.41B
30 Jun 2009,$0.43B
31 Jul 2009,$0.38B
31 Aug 2009,$0.41B
30 Sep 2009,$0.4B
30 Oct 2009,$0.32B
30 Nov 2009,$0.25B
31 Dec 2009,$0.32B
29 Jan 2010,$0.28B
26 Feb 2010,$0.37B
31 Mar 2010,$0.4B
30 Apr 2010,$0.39B
30 Jun 2010,$0.35B
30 Jul 2010,$0.45B
31 Aug 2010,$0.38B
30 Sep 2010,$0.39B
29 Oct 2010,$0.37B
30 Nov 2010,$0.41B
31 Dec 2010,$0.44B
31 Jan 2011,$0.45B
28 Feb 2011,$0.51B
31 Mar 2011,$0.46B
29 Apr 2011,$0.44B
31 May 2011,$0.41B
30 Jun 2011,$0.45B
29 Jul 2011,$0.48B
31 Aug 2011,$0.46B
30 Sep 2011,$0.44B
31 Oct 2011,$0.43B
30 Nov 2011,$0.4B
30 Dec 2011,$0.39B
31 Jan 2012,$0.43B
29 Feb 2012,$0.49B
30 Mar 2012,$0.52B
30 Apr 2012,$0.49B
31 May 2012,$0.5B
29 Jun 2012,$0.6B
31 Jul 2012,$0.53B
31 Aug 2012,$0.48B
28 Sep 2012,$0.44B
31 Oct 2012,$0.43B
30 Nov 2012,$0.51B
31 Dec 2012,$0.57B
31 Jan 2013,$0.71B
28 Feb 2013,$0.86B
29 Mar 2013,$0.94B
30 Apr 2013,$1.17B
31 May 2013,$1.27B
28 Jun 2013,$1.17B
31 Jul 2013,$1.27B
30 Aug 2013,$1.19B
30 Sep 2013,$1.32B
31 Oct 2013,$1.28B
29 Nov 2013,$1.36B
31 Dec 2013,$1.34B
31 Jan 2014,$1.31B
28 Feb 2014,$1.66B
31 Mar 2014,$1.64B
30 Apr 2014,$1.71B
30 May 2014,$1.99B
30 Jun 2014,$1.93B
31 Jul 2014,$2.11B
29 Aug 2014,$1.9B
30 Sep 2014,$2.1B
31 Oct 2014,$2.01B
28 Nov 2014,$2.72B
31 Dec 2014,$2.67B
30 Jan 2015,$3B
27 Feb 2015,$3.02B
31 Mar 2015,$2.43B
30 Apr 2015,$2.57B
29 May 2015,$3.1B
30 Jun 2015,$2.9B
31 Jul 2015,$3.05B
31 Aug 2015,$3.04B
30 Sep 2015,$2.89B
30 Oct 2015,$2.88B
30 Nov 2015,$2.98B
31 Dec 2015,$2.69B
29 Jan 2016,$2.85B
29 Feb 2016,$1.92B
31 Mar 2016,$1.88B
31 May 2016,$1.51B
30 Jun 2016,$1.24B
29 Jul 2016,$1.17B
31 Aug 2016,$1.63B
30 Sep 2016,$1.58B
31 Oct 2016,$1.81B
30 Nov 2016,$1.56B
30 Dec 2016,$1.63B
31 Jan 2017,$1.54B
28 Feb 2017,$2.04B
31 Mar 2017,$2.24B
28 Apr 2017,$2.19B
