timeline,Bridgestone
31 Dec 2001,$2.11B
31 Jan 2002,$2.14B
28 Feb 2002,$2.56B
29 Mar 2002,$2.68B
30 Apr 2002,$2.75B
31 May 2002,$2.74B
28 Jun 2002,$2.51B
31 Jul 2002,$2.57B
30 Aug 2002,$2.32B
30 Sep 2002,$2.2B
31 Oct 2002,$2.32B
29 Nov 2002,$2.49B
31 Dec 2002,$11.16B
31 Jan 2003,$10.11B
28 Feb 2003,$10.14B
31 Mar 2003,$10.58B
30 Apr 2003,$10.27B
30 May 2003,$11.77B
30 Jun 2003,$12.38B
31 Jul 2003,$12.49B
29 Aug 2003,$12.34B
30 Sep 2003,$11.35B
31 Oct 2003,$10.93B
28 Nov 2003,$11.05B
31 Dec 2003,$10.97B
30 Jan 2004,$11.68B
27 Feb 2004,$12.27B
31 Mar 2004,$12.43B
30 Apr 2004,$14.21B
31 May 2004,$14.33B
30 Jun 2004,$15.6B
30 Jul 2004,$15.29B
31 Aug 2004,$15.79B
30 Sep 2004,$15.56B
29 Oct 2004,$14.61B
30 Nov 2004,$14.19B
31 Dec 2004,$15.52B
31 Jan 2005,$15.49B
28 Feb 2005,$15.19B
31 Mar 2005,$15B
29 Apr 2005,$15.33B
31 May 2005,$16.32B
30 Jun 2005,$16.25B
29 Jul 2005,$16.74B
31 Aug 2005,$16.59B
30 Sep 2005,$18.49B
31 Oct 2005,$17.96B
30 Nov 2005,$19.59B
30 Dec 2005,$18.03B
31 Jan 2006,$17.52B
28 Feb 2006,$16.75B
31 Mar 2006,$18.03B
28 Apr 2006,$20.38B
31 May 2006,$16.82B
30 Jun 2006,$16.2B
31 Jul 2006,$15.31B
31 Aug 2006,$18.36B
29 Sep 2006,$17.52B
31 Oct 2006,$17.92B
30 Nov 2006,$18.62B
29 Dec 2006,$19.03B
31 Jan 2007,$18.78B
28 Feb 2007,$17.85B
30 Mar 2007,$16.88B
30 Apr 2007,$17.46B
31 May 2007,$17.06B
