timeline,Tokai Carbon
31 Dec 2003,$0.54B
30 Jan 2004,$0.49B
27 Feb 2004,$0.56B
31 Mar 2004,$0.67B
30 Apr 2004,$0.7B
31 May 2004,$0.62B
30 Jun 2004,$0.72B
30 Jul 2004,$0.68B
30 Sep 2004,$0.64B
29 Oct 2004,$0.65B
30 Nov 2004,$0.66B
31 Dec 2004,$0.71B
28 Feb 2005,$0.76B
31 Mar 2005,$0.82B
29 Apr 2005,$0.78B
31 May 2005,$0.83B
29 Jul 2005,$0.9B
30 Sep 2005,$0.91B
31 Oct 2005,$0.87B
30 Dec 2005,$0.99B
31 Jan 2006,$1.23B
28 Feb 2006,$1.22B
31 Mar 2006,$1.33B
28 Apr 2006,$1.28B
31 May 2006,$1.23B
30 Jun 2006,$1.15B
31 Aug 2006,$1.45B
29 Sep 2006,$1.35B
31 Oct 2006,$1.42B
30 Nov 2006,$1.43B
29 Dec 2006,$1.55B
31 Jan 2007,$1.68B
28 Feb 2007,$1.79B
30 Mar 2007,$1.78B
30 Apr 2007,$1.91B
31 May 2007,$1.95B
29 Jun 2007,$2.12B
31 Jul 2007,$2.4B
31 Aug 2007,$2.46B
28 Sep 2007,$2.39B
31 Oct 2007,$2.63B
30 Nov 2007,$2.19B
31 Dec 2007,$1.97B
31 Jan 2008,$1.63B
29 Feb 2008,$1.79B
31 Mar 2008,$1.97B
30 Apr 2008,$2.12B
30 May 2008,$2.41B
30 Jun 2008,$2.12B
31 Jul 2008,$2.53B
29 Aug 2008,$2.22B
30 Sep 2008,$1.47B
31 Oct 2008,$0.99B
28 Nov 2008,$0.76B
31 Dec 2008,$0.73B
30 Jan 2009,$0.66B
27 Feb 2009,$0.62B
31 Mar 2009,$0.78B
30 Apr 2009,$0.87B
29 May 2009,$0.91B
30 Jun 2009,$1B
31 Jul 2009,$1.01B
31 Aug 2009,$0.95B
30 Sep 2009,$0.84B
30 Oct 2009,$0.89B
30 Nov 2009,$0.77B
31 Dec 2009,$0.88B
29 Jan 2010,$0.82B
26 Feb 2010,$0.92B
31 Mar 2010,$1.04B
30 Apr 2010,$1.07B
31 May 2010,$0.9B
30 Jun 2010,$0.81B
30 Jul 2010,$0.88B
31 Aug 2010,$0.94B
30 Sep 2010,$1B
29 Oct 2010,$0.91B
30 Nov 2010,$0.89B
31 Dec 2010,$0.95B
31 Jan 2011,$0.91B
31 Mar 2011,$0.78B
29 Apr 2011,$0.8B
31 May 2011,$0.84B
29 Jul 2011,$0.82B
31 Aug 2011,$0.75B
30 Sep 2011,$0.73B
31 Oct 2011,$0.75B
30 Nov 2011,$0.72B
30 Dec 2011,$0.79B
31 Jan 2012,$0.78B
29 Feb 2012,$0.83B
30 Apr 2012,$0.76B
31 May 2012,$0.65B
29 Jun 2012,$0.66B
31 Jul 2012,$0.61B
31 Aug 2012,$0.46B
28 Sep 2012,$0.45B
31 Oct 2012,$0.48B
30 Nov 2012,$0.54B
31 Dec 2012,$0.68B
28 Feb 2013,$0.6B
29 Mar 2013,$0.61B
30 Apr 2013,$0.62B
31 May 2013,$0.58B
28 Jun 2013,$0.5B
31 Jul 2013,$0.53B
30 Aug 2013,$0.55B
30 Sep 2013,$0.64B
31 Oct 2013,$0.63B
29 Nov 2013,$0.65B
31 Dec 2013,$0.69B
31 Jan 2014,$0.63B
28 Feb 2014,$0.58B
31 Mar 2014,$0.66B
30 Apr 2014,$0.62B
30 May 2014,$0.54B
31 Jul 2014,$0.56B
29 Aug 2014,$0.55B
30 Sep 2014,$0.57B
31 Oct 2014,$0.54B
28 Nov 2014,$0.63B
31 Dec 2014,$0.67B
30 Jan 2015,$0.64B
27 Feb 2015,$0.66B
31 Mar 2015,$0.64B
30 Apr 2015,$0.66B
29 May 2015,$0.71B
30 Jun 2015,$0.72B
31 Jul 2015,$0.68B
31 Aug 2015,$0.56B
30 Sep 2015,$0.54B
30 Oct 2015,$0.62B
30 Nov 2015,$0.7B
31 Dec 2015,$0.64B
29 Jan 2016,$0.61B
29 Feb 2016,$0.5B
29 Apr 2016,$0.55B
31 May 2016,$0.6B
30 Jun 2016,$0.48B
29 Jul 2016,$0.5B
31 Aug 2016,$0.51B
31 Oct 2016,$0.6B
30 Nov 2016,$0.72B
30 Dec 2016,$0.71B
31 Jan 2017,$0.76B
28 Feb 2017,$0.86B
31 Mar 2017,$0.91B
28 Apr 2017,$0.92B
31 May 2017,$1.07B
30 Jun 2017,$1.17B
31 Jul 2017,$1.34B
31 Aug 2017,$1.49B
29 Sep 2017,$1.99B
31 Oct 2017,$2.11B
30 Nov 2017,$2.23B
29 Dec 2017,$2.62B
31 Jan 2018,$2.97B
28 Feb 2018,$3.5B
30 Mar 2018,$3.1B
30 Apr 2018,$2.59B
31 May 2018,$4.2B
29 Jun 2018,$3.74B
31 Jul 2018,$3.86B
31 Aug 2018,$3.73B
28 Sep 2018,$4.19B
31 Oct 2018,$3.32B
30 Nov 2018,$2.96B
31 Dec 2018,$2.35B
31 Jan 2019,$2.79B
28 Feb 2019,$2.9B
29 Mar 2019,$2.6B
30 Apr 2019,$2.4B
31 May 2019,$1.96B
28 Jun 2019,$2.11B
31 Jul 2019,$2.03B
30 Aug 2019,$1.91B
30 Sep 2019,$2.04B
31 Oct 2019,$2.08B
29 Nov 2019,$2.02B
31 Dec 2019,$2.06B
31 Jan 2020,$1.9B
20 Feb 2020,$1.91B
28 Feb 2020,$1.81B
26 Mar 2020,$1.69B
3 Apr 2020,$1.66B
1 May 2020,$1.64B
29 May 2020,$1.84B
30 Jun 2020,$1.9B
14 Jul 2020,$1.86B
31 Jul 2020,$1.72B
7 Aug 2020,$1.7B
21 Aug 2020,$1.78B
31 Aug 2020,$1.87B
16 Sep 2020,$2.09B
24 Sep 2020,$2.13B
30 Sep 2020,$2.11B
22 Oct 2020,$2.38B
30 Oct 2020,$2.22B
12 Nov 2020,$2.25B
20 Nov 2020,$2.23B
30 Nov 2020,$2.15B
4 Dec 2020,$2.11B
11 Dec 2020,$2.23B
30 Dec 2020,$2.43B
8 Jan 2021,$2.52B
5 Feb 2021,$2.86B
12 Feb 2021,$2.9B
19 Feb 2021,$2.78B
26 Feb 2021,$2.71B
18 Mar 2021,$3.29B
24 Mar 2021,$3.25B
31 Mar 2021,$3.36B
6 Apr 2021,$3.43B
16 Apr 2021,$3.35B
22 Apr 2021,$3.28B
30 Apr 2021,$3.34B
12 May 2021,$3.33B
19 May 2021,$3.4B
31 May 2021,$3.03B
11 Jun 2021,$3.07B
30 Jun 2021,$2.88B
16 Jul 2021,$2.76B
19 Jul 2021,$2.64B
30 Jul 2021,$2.79B
13 Aug 2021,$3.16B
20 Aug 2021,$2.64B
27 Aug 2021,$2.81B
3 Sep 2021,$3.06B
10 Sep 2021,$3.11B
17 Sep 2021,$3.1B
24 Sep 2021,$2.88B
2 Oct 2021,$2.65B
9 Oct 2021,$2.6B
16 Oct 2021,$2.67B
30 Oct 2021,$2.79B
6 Nov 2021,$2.56B
13 Nov 2021,$2.54B
20 Nov 2021,$2.37B
27 Nov 2021,$2.34B
4 Dec 2021,$2.23B
10 Dec 2021,$2.28B
