timeline,TOTO
31 Mar 2004,$3.83B
30 Apr 2004,$3.87B
31 May 2004,$3.84B
30 Jun 2004,$3.76B
30 Jul 2004,$3.55B
31 Aug 2004,$3.54B
30 Sep 2004,$3.14B
29 Oct 2004,$3.11B
30 Nov 2004,$3.01B
31 Dec 2004,$3.21B
31 Jan 2005,$3.08B
28 Feb 2005,$2.96B
31 Mar 2005,$3.02B
29 Apr 2005,$2.93B
31 May 2005,$2.83B
30 Jun 2005,$2.88B
29 Jul 2005,$2.85B
31 Aug 2005,$2.88B
30 Sep 2005,$2.95B
31 Oct 2005,$2.91B
30 Nov 2005,$3.53B
30 Dec 2005,$3.27B
31 Jan 2006,$3.44B
28 Feb 2006,$3.23B
31 Mar 2006,$3.58B
28 Apr 2006,$3.88B
31 May 2006,$3.7B
30 Jun 2006,$3.59B
31 Jul 2006,$3.58B
31 Aug 2006,$3.92B
29 Sep 2006,$3.65B
31 Oct 2006,$3.8B
30 Nov 2006,$3.75B
29 Dec 2006,$3.91B
31 Jan 2007,$4.23B
28 Feb 2007,$4.1B
30 Mar 2007,$3.87B
30 Apr 2007,$3.72B
31 May 2007,$3.59B
29 Jun 2007,$3.5B
31 Jul 2007,$3.32B
31 Aug 2007,$3.03B
28 Sep 2007,$2.73B
31 Oct 2007,$2.72B
30 Nov 2007,$2.9B
31 Dec 2007,$2.91B
31 Jan 2008,$2.78B
29 Feb 2008,$2.9B
31 Mar 2008,$3.09B
30 Apr 2008,$2.92B
30 May 2008,$2.66B
30 Jun 2008,$2.45B
31 Jul 2008,$2.59B
29 Aug 2008,$2.67B
30 Sep 2008,$2.52B
31 Oct 2008,$2.2B
28 Nov 2008,$1.93B
31 Dec 2008,$1.83B
30 Jan 2009,$1.59B
27 Feb 2009,$1.39B
31 Mar 2009,$1.5B
30 Apr 2009,$1.49B
29 May 2009,$1.7B
30 Jun 2009,$2.07B
31 Jul 2009,$1.98B
30 Sep 2009,$1.72B
30 Oct 2009,$1.68B
30 Nov 2009,$1.42B
31 Dec 2009,$1.92B
29 Jan 2010,$1.81B
26 Feb 2010,$1.94B
31 Mar 2010,$2.09B
31 May 2010,$1.88B
30 Jun 2010,$1.95B
30 Jul 2010,$1.93B
31 Aug 2010,$1.75B
30 Sep 2010,$1.88B
29 Oct 2010,$1.75B
30 Nov 2010,$1.83B
31 Dec 2010,$1.77B
31 Jan 2011,$1.76B
28 Feb 2011,$2.05B
31 Mar 2011,$2.01B
29 Apr 2011,$1.9B
31 May 2011,$1.8B
30 Jun 2011,$1.88B
29 Jul 2011,$1.81B
31 Aug 2011,$1.86B
30 Sep 2011,$2.08B
31 Oct 2011,$1.98B
30 Nov 2011,$1.85B
30 Dec 2011,$1.79B
31 Jan 2012,$1.87B
29 Feb 2012,$1.85B
30 Mar 2012,$1.88B
30 Apr 2012,$1.79B
31 May 2012,$1.6B
29 Jun 2012,$1.79B
31 Jul 2012,$1.76B
28 Sep 2012,$1.73B
31 Oct 2012,$1.81B
30 Nov 2012,$1.7B
31 Dec 2012,$1.95B
31 Jan 2013,$2.19B
28 Feb 2013,$2.53B
29 Mar 2013,$2.52B
30 Apr 2013,$3.06B
31 May 2013,$3.21B
28 Jun 2013,$3.06B
31 Jul 2013,$3.03B
30 Aug 2013,$3.5B
30 Sep 2013,$3.95B
31 Oct 2013,$3.97B
29 Nov 2013,$4.32B
31 Dec 2013,$4.79B
31 Jan 2014,$4.72B
28 Feb 2014,$4.13B
31 Mar 2014,$4.24B
30 Apr 2014,$4.28B
30 May 2014,$3.81B
30 Jun 2014,$4.04B
31 Jul 2014,$3.86B
29 Aug 2014,$3.75B
30 Sep 2014,$3.57B
31 Oct 2014,$3.64B
28 Nov 2014,$4.2B
31 Dec 2014,$4.17B
30 Jan 2015,$3.88B
27 Feb 2015,$4.93B
31 Mar 2015,$5.3B
30 Apr 2015,$5.05B
29 May 2015,$6.11B
30 Jun 2015,$6.55B
31 Jul 2015,$6B
31 Aug 2015,$5.31B
30 Sep 2015,$5.51B
30 Oct 2015,$6.13B
30 Nov 2015,$6.31B
31 Dec 2015,$6.36B
29 Jan 2016,$5.73B
29 Feb 2016,$4.82B
31 Mar 2016,$5.24B
29 Apr 2016,$5.68B
31 May 2016,$6.28B
30 Jun 2016,$6.06B
29 Jul 2016,$6.62B
31 Aug 2016,$5.86B
30 Sep 2016,$5.66B
31 Oct 2016,$6.27B
30 Nov 2016,$6.54B
30 Dec 2016,$6.9B
31 Jan 2017,$6.8B
28 Feb 2017,$6.45B
31 Mar 2017,$6.27B
28 Apr 2017,$6.35B
31 May 2017,$6.3B
