timeline,Nippon Steel
31 Jan 2001,$12.24B
28 Feb 2001,$12.84B
30 Mar 2001,$12.48B
30 Apr 2001,$13.68B
31 May 2001,$11.82B
29 Jun 2001,$11.34B
31 Jul 2001,$10.62B
31 Aug 2001,$10.8B
28 Sep 2001,$9B
31 Oct 2001,$9.84B
30 Nov 2001,$10.44B
31 Dec 2001,$11.34B
31 Jan 2002,$10.56B
28 Feb 2002,$12.12B
29 Mar 2002,$11.4B
30 Apr 2002,$11.76B
31 May 2002,$12.12B
28 Jun 2002,$11.22B
31 Jul 2002,$10.38B
30 Aug 2002,$10.02B
30 Sep 2002,$9.6B
31 Oct 2002,$8.4B
29 Nov 2002,$8.94B
31 Dec 2002,$8.34B
31 Jan 2003,$8.46B
28 Feb 2003,$9.72B
31 Mar 2003,$8.52B
30 Apr 2003,$7.98B
30 May 2003,$8.16B
30 Jun 2003,$9.9B
31 Jul 2003,$11.04B
29 Aug 2003,$12.54B
30 Sep 2003,$11.94B
31 Oct 2003,$13.56B
28 Nov 2003,$12.6B
31 Dec 2003,$13.8B
30 Jan 2004,$13.08B
27 Feb 2004,$12.84B
31 Mar 2004,$14.58B
30 Apr 2004,$13.86B
31 May 2004,$13.38B
30 Jun 2004,$13.74B
30 Jul 2004,$13.56B
31 Aug 2004,$15.06B
30 Sep 2004,$15.72B
29 Oct 2004,$14.88B
30 Nov 2004,$15.24B
31 Dec 2004,$15.06B
31 Jan 2005,$15.12B
28 Feb 2005,$17.28B
31 Mar 2005,$16.26B
29 Apr 2005,$15.96B
31 May 2005,$15.24B
30 Jun 2005,$15.48B
29 Jul 2005,$17.04B
31 Aug 2005,$19.32B
30 Sep 2005,$25.57B
31 Oct 2005,$24.79B
30 Nov 2005,$24.49B
30 Dec 2005,$25.21B
31 Jan 2006,$26.05B
28 Feb 2006,$28.03B
31 Mar 2006,$27.37B
28 Apr 2006,$25.21B
31 May 2006,$25.15B
30 Jun 2006,$25.99B
31 Jul 2006,$26.77B
31 Aug 2006,$29.41B
29 Sep 2006,$29.17B
31 Oct 2006,$28.57B
30 Nov 2006,$31.21B
29 Dec 2006,$41.05B
31 Jan 2007,$42.73B
28 Feb 2007,$48.31B
30 Mar 2007,$49.69B
30 Apr 2007,$46.57B
31 May 2007,$51.07B
29 Jun 2007,$52.09B
31 Jul 2007,$54.01B
31 Aug 2007,$48.73B
28 Sep 2007,$49.63B
31 Oct 2007,$45.55B
30 Nov 2007,$39.91B
31 Dec 2007,$41.53B
31 Jan 2008,$38.29B
29 Feb 2008,$33.61B
31 Mar 2008,$30.31B
30 Apr 2008,$35.05B
30 May 2008,$39.55B
30 Jun 2008,$34.51B
31 Jul 2008,$37.21B
29 Aug 2008,$31.39B
30 Sep 2008,$23.22B
31 Oct 2008,$19.44B
28 Nov 2008,$17.82B
31 Dec 2008,$17.4B
30 Jan 2009,$16.14B
27 Feb 2009,$15.66B
31 Mar 2009,$14.59B
30 Apr 2009,$18.3B
29 May 2009,$20.19B
30 Jun 2009,$20.52B
31 Jul 2009,$21.02B
31 Aug 2009,$20.24B
