timeline,Hitachi Metals
31 Mar 2006,$4.23B
28 Apr 2006,$3.89B
31 May 2006,$3.48B
30 Jun 2006,$3.44B
31 Jul 2006,$3.27B
31 Aug 2006,$3.57B
29 Sep 2006,$3.41B
31 Oct 2006,$3.7B
30 Nov 2006,$3.78B
29 Dec 2006,$3.87B
31 Jan 2007,$4.24B
28 Feb 2007,$4.28B
30 Mar 2007,$4B
30 Apr 2007,$3.92B
31 May 2007,$4.48B
29 Jun 2007,$4.22B
31 Jul 2007,$4.52B
31 Aug 2007,$4.17B
28 Sep 2007,$4.45B
31 Oct 2007,$4.64B
30 Nov 2007,$4.78B
31 Dec 2007,$4.71B
31 Jan 2008,$4.36B
29 Feb 2008,$4.63B
31 Mar 2008,$4.57B
30 Apr 2008,$4.85B
30 May 2008,$4.82B
30 Jun 2008,$5.42B
31 Jul 2008,$5.57B
29 Aug 2008,$5.07B
30 Sep 2008,$3.85B
31 Oct 2008,$2.25B
28 Nov 2008,$1.77B
31 Dec 2008,$1.28B
30 Jan 2009,$1.46B
27 Feb 2009,$1.74B
31 Mar 2009,$2.14B
30 Apr 2009,$2.38B
29 May 2009,$2.78B
30 Jun 2009,$2.55B
31 Jul 2009,$2.89B
31 Aug 2009,$2.95B
30 Sep 2009,$2.86B
30 Oct 2009,$2.77B
30 Nov 2009,$2.34B
31 Dec 2009,$2.77B
29 Jan 2010,$2.72B
26 Feb 2010,$2.66B
31 Mar 2010,$3.06B
30 Apr 2010,$3.17B
31 May 2010,$2.82B
30 Jul 2010,$3.05B
31 Aug 2010,$2.81B
30 Sep 2010,$3.06B
29 Oct 2010,$2.85B
30 Nov 2010,$2.99B
31 Dec 2010,$3.03B
31 Jan 2011,$3B
28 Feb 2011,$3.47B
31 Mar 2011,$3.26B
29 Apr 2011,$3.3B
31 May 2011,$3.29B
30 Jun 2011,$3.52B
29 Jul 2011,$3.39B
31 Aug 2011,$2.86B
30 Sep 2011,$2.8B
31 Oct 2011,$2.81B
30 Nov 2011,$2.63B
30 Dec 2011,$2.6B
31 Jan 2012,$2.72B
29 Feb 2012,$3.16B
30 Mar 2012,$3.2B
30 Apr 2012,$3.24B
31 May 2012,$2.95B
29 Jun 2012,$3.05B
31 Jul 2012,$2.69B
31 Aug 2012,$2.52B
28 Sep 2012,$2.16B
31 Oct 2012,$2.32B
30 Nov 2012,$1.9B
31 Dec 2012,$2.27B
31 Jan 2013,$2.44B
28 Feb 2013,$2.7B
29 Mar 2013,$2.74B
30 Apr 2013,$3.25B
31 May 2013,$3.42B
28 Jun 2013,$3.6B
31 Jul 2013,$3.8B
30 Aug 2013,$4.46B
30 Sep 2013,$4.54B
31 Oct 2013,$4.98B
29 Nov 2013,$5.49B
31 Dec 2013,$5.61B
31 Jan 2014,$6.14B
28 Feb 2014,$5.73B
31 Mar 2014,$5.54B
30 Apr 2014,$5.23B
30 May 2014,$5.43B
30 Jun 2014,$5.79B
31 Jul 2014,$6.34B
29 Aug 2014,$6.68B
30 Sep 2014,$7.45B
31 Oct 2014,$6.97B
28 Nov 2014,$7.74B
31 Dec 2014,$7.78B
30 Jan 2015,$7.3B
27 Feb 2015,$7.27B
31 Mar 2015,$6.96B
30 Apr 2015,$7.09B
29 May 2015,$7.8B
30 Jun 2015,$7.09B
31 Jul 2015,$6.96B
31 Aug 2015,$5.8B
30 Sep 2015,$5.22B
30 Oct 2015,$5.2B
30 Nov 2015,$6.02B
31 Dec 2015,$5.68B
29 Jan 2016,$5.03B
29 Feb 2016,$4.53B
31 Mar 2016,$4.38B
29 Apr 2016,$4.3B
31 May 2016,$4.49B
30 Jun 2016,$3.88B
29 Jul 2016,$4.35B
31 Aug 2016,$4.72B
30 Sep 2016,$4.65B
31 Oct 2016,$4.95B
30 Nov 2016,$5.64B
30 Dec 2016,$5.97B
31 Jan 2017,$5.91B
28 Feb 2017,$6.03B
31 Mar 2017,$5.89B
31 May 2017,$5.56B
30 Jun 2017,$5.89B
31 Jul 2017,$5.8B
31 Aug 2017,$5.54B
29 Sep 2017,$5.91B
31 Oct 2017,$5.51B
30 Nov 2017,$5.6B
29 Dec 2017,$6.1B
31 Jan 2018,$5.59B
28 Feb 2018,$5.19B
30 Mar 2018,$4.74B
31 May 2018,$4.52B
29 Jun 2018,$4.34B
31 Jul 2018,$4.56B
31 Aug 2018,$4.84B
28 Sep 2018,$5.31B
31 Oct 2018,$5.02B
30 Nov 2018,$4.82B
31 Dec 2018,$4.34B
31 Jan 2019,$4.6B
28 Feb 2019,$4.28B
29 Mar 2019,$4.85B
30 Apr 2019,$4.83B
31 May 2019,$4.08B
28 Jun 2019,$4.59B
31 Jul 2019,$4.35B
30 Aug 2019,$4.31B
30 Sep 2019,$4.4B
31 Oct 2019,$5.16B
29 Nov 2019,$5.78B
31 Dec 2019,$6.08B
31 Jan 2020,$6.42B
28 Feb 2020,$5.82B
31 Mar 2020,$4.3B
30 Apr 2020,$3.98B
29 May 2020,$4.68B
30 Jun 2020,$4.84B
10 Jul 2020,$4.81B
31 Jul 2020,$5.17B
7 Aug 2020,$5.36B
19 Aug 2020,$5.71B
31 Aug 2020,$6B
25 Sep 2020,$6.04B
30 Sep 2020,$6.09B
16 Oct 2020,$6.02B
23 Oct 2020,$5.82B
30 Oct 2020,$5.21B
13 Nov 2020,$5.32B
20 Nov 2020,$5.79B
30 Nov 2020,$5.78B
3 Dec 2020,$5.68B
10 Dec 2020,$5.83B
17 Dec 2020,$5.75B
24 Dec 2020,$5.92B
31 Dec 2020,$5.91B
8 Jan 2021,$5.94B
22 Jan 2021,$6.32B
29 Jan 2021,$6.29B
5 Feb 2021,$6.46B
12 Feb 2021,$6.56B
19 Feb 2021,$6.4B
1 Mar 2021,$6.47B
5 Mar 2021,$6.62B
19 Mar 2021,$6.99B
26 Mar 2021,$6.73B
1 Apr 2021,$6.78B
7 Apr 2021,$6.84B
16 Apr 2021,$7.25B
22 Apr 2021,$7.3B
28 Apr 2021,$7.15B
30 Apr 2021,$8B
7 May 2021,$8.03B
13 May 2021,$8.01B
20 May 2021,$8B
4 Jun 2021,$8.01B
16 Jul 2021,$8.04B
21 Jul 2021,$8.05B
30 Jul 2021,$8.34B
6 Aug 2021,$8.31B
13 Aug 2021,$8.25B
20 Aug 2021,$8.27B
27 Aug 2021,$8.24B
3 Sep 2021,$8.28B
10 Sep 2021,$8.33B
17 Sep 2021,$8.37B
24 Sep 2021,$8.34B
2 Oct 2021,$8.28B
9 Oct 2021,$8.21B
16 Oct 2021,$8.13B
23 Oct 2021,$8.1B
30 Oct 2021,$8.12B
6 Nov 2021,$8.08B
13 Nov 2021,$8.09B
20 Nov 2021,$7.97B
4 Dec 2021,$7.94B
10 Dec 2021,$8.03B
