timeline,Sumitomo Denki Kōgyō
Mar 2003,$4.88B
Apr 2003,$4.4B
May 2003,$5B
Jun 2003,$5.78B
Jul 2003,$5.84B
Aug 2003,$6.71B
Sep 2003,$6.13B
Oct 2003,$6.23B
Nov 2003,$5.91B
Dec 2003,$6.32B
Jan 2004,$6.12B
Feb 2004,$6.18B
Mar 2004,$6.24B
Apr 2004,$6.73B
May 2004,$6.92B
Jun 2004,$7.34B
Jul 2004,$6.99B
Aug 2004,$6.63B
Sep 2004,$6.45B
Oct 2004,$6.63B
Nov 2004,$7.12B
Dec 2004,$7.35B
Jan 2005,$7.46B
Feb 2005,$7.6B
Mar 2005,$7.61B
Apr 2005,$7.31B
May 2005,$7.63B
Jun 2005,$7.57B
Jul 2005,$8.41B
Aug 2005,$9.05B
Sep 2005,$10.2B
Oct 2005,$10.15B
Nov 2005,$11.05B
Dec 2005,$11.94B
Jan 2006,$12.97B
Feb 2006,$11.75B
Mar 2006,$12.46B
Apr 2006,$12.08B
May 2006,$10.69B
Jun 2006,$11.2B
Jul 2006,$10.04B
Aug 2006,$10.12B
Sep 2006,$10.68B
Oct 2006,$11.06B
Nov 2006,$12.27B
Dec 2006,$12.42B
Jan 2007,$12.34B
Feb 2007,$11.8B
Mar 2007,$11.97B
Apr 2007,$11.38B
May 2007,$12.35B
Jun 2007,$12.26B
Jul 2007,$13B
Aug 2007,$12.31B
Sep 2007,$12.22B
Oct 2007,$12.38B
Nov 2007,$11.42B
Dec 2007,$11.87B
Jan 2008,$10.37B
Feb 2008,$10.48B
Mar 2008,$8.76B
Apr 2008,$9.29B
May 2008,$9.45B
Jun 2008,$9.35B
Jul 2008,$9.15B
Aug 2008,$8.78B
Sep 2008,$7.86B
Oct 2008,$5.4B
Nov 2008,$5B
Dec 2008,$4.73B
Jan 2009,$4.8B
Feb 2009,$5.36B
Mar 2009,$5.73B
Apr 2009,$6.66B
May 2009,$7.54B
Jun 2009,$7.58B
Jul 2009,$8.23B
Aug 2009,$8.39B
Sep 2009,$8.19B
Oct 2009,$7.85B
Nov 2009,$7.13B
Dec 2009,$8.03B
Jan 2010,$8.3B
Feb 2010,$7.45B
Mar 2010,$8B
Apr 2010,$8.14B
May 2010,$7.5B
Jun 2010,$7.31B
Jul 2010,$7.05B
Aug 2010,$6.3B
Sep 2010,$7.1B
Oct 2010,$7.17B
Nov 2010,$7.64B
Dec 2010,$7.87B
Jan 2011,$8.32B
Feb 2011,$8.34B
Mar 2011,$8.03B
Apr 2011,$7.82B
May 2011,$8.16B
Jun 2011,$8.14B
Jul 2011,$8.05B
Aug 2011,$7.07B
Sep 2011,$6.4B
Oct 2011,$6.2B
Nov 2011,$5.73B
Dec 2011,$5.85B
Jan 2012,$6.41B
Feb 2012,$7.38B
Mar 2012,$7.91B
Apr 2012,$7.6B
May 2012,$6.35B
Jun 2012,$6.86B
Jul 2012,$6.5B
Aug 2012,$6.14B
Sep 2012,$5.76B
Oct 2012,$5.99B
Nov 2012,$6.2B
Dec 2012,$6.89B
Jan 2013,$7.18B
Feb 2013,$7.54B
Mar 2013,$8.1B
Apr 2013,$9.03B
May 2013,$8.65B
Jun 2013,$8.28B
Jul 2013,$9.25B
Sep 2013,$9.92B
Oct 2013,$10.24B
Nov 2013,$11.14B
Dec 2013,$12.24B
Jan 2014,$11.35B
Feb 2014,$10.86B
Mar 2014,$10.72B
Apr 2014,$9.85B
May 2014,$9.55B
