timeline,Komatsu
31 Jan 2001,$4.49B
28 Feb 2001,$4.67B
30 Mar 2001,$4.87B
30 Apr 2001,$5.92B
31 May 2001,$4.96B
29 Jun 2001,$4.84B
31 Jul 2001,$4.34B
31 Aug 2001,$3.66B
28 Sep 2001,$3.64B
31 Oct 2001,$3.16B
30 Nov 2001,$3.5B
31 Dec 2001,$3.97B
31 Jan 2002,$3.45B
28 Feb 2002,$3.7B
29 Mar 2002,$3.86B
30 Apr 2002,$3.93B
31 May 2002,$3.76B
28 Jun 2002,$3.63B
31 Jul 2002,$3.36B
30 Aug 2002,$3.41B
30 Sep 2002,$3.46B
31 Oct 2002,$3.31B
29 Nov 2002,$3.69B
31 Dec 2002,$3.27B
31 Jan 2003,$3.39B
28 Feb 2003,$3.84B
30 Apr 2003,$4.01B
30 May 2003,$3.87B
30 Jun 2003,$4.05B
31 Jul 2003,$5.2B
29 Aug 2003,$5.86B
30 Sep 2003,$5.12B
31 Oct 2003,$5.24B
28 Nov 2003,$5.49B
31 Dec 2003,$5.99B
30 Jan 2004,$5.63B
27 Feb 2004,$5.85B
31 Mar 2004,$5.81B
30 Apr 2004,$5.54B
31 May 2004,$5.85B
30 Jun 2004,$5.82B
30 Jul 2004,$5.79B
31 Aug 2004,$5.91B
30 Sep 2004,$6.23B
29 Oct 2004,$6.24B
30 Nov 2004,$6.17B
31 Dec 2004,$6.31B
31 Jan 2005,$6.77B
28 Feb 2005,$6.9B
31 Mar 2005,$7.05B
29 Apr 2005,$6.47B
31 May 2005,$7.12B
30 Jun 2005,$7.53B
29 Jul 2005,$9.27B
31 Aug 2005,$10.71B
30 Sep 2005,$13.51B
31 Oct 2005,$13.44B
30 Nov 2005,$14.61B
30 Dec 2005,$17.05B
31 Jan 2006,$18.92B
28 Feb 2006,$18.22B
31 Mar 2006,$19.67B
28 Apr 2006,$21.33B
31 May 2006,$19.58B
30 Jun 2006,$19.93B
31 Jul 2006,$20.19B
31 Aug 2006,$18.79B
29 Sep 2006,$17.87B
31 Oct 2006,$18.48B
30 Nov 2006,$18.44B
29 Dec 2006,$21.16B
31 Jan 2007,$22.34B
28 Feb 2007,$23.08B
30 Mar 2007,$21.73B
30 Apr 2007,$25.1B
31 May 2007,$28.3B
29 Jun 2007,$31.37B
31 Jul 2007,$33.31B
31 Aug 2007,$31.3B
28 Sep 2007,$33.84B
31 Oct 2007,$33.4B
30 Nov 2007,$29.37B
31 Dec 2007,$26.65B
31 Jan 2008,$22.44B
29 Feb 2008,$23.93B
31 Mar 2008,$24.26B
30 Apr 2008,$27.64B
30 May 2008,$29.3B
30 Jun 2008,$25.97B
31 Jul 2008,$23.69B
29 Aug 2008,$20.38B
30 Sep 2008,$14.75B
31 Oct 2008,$9.28B
28 Nov 2008,$10.07B
31 Dec 2008,$9.84B
30 Jan 2009,$8.34B
27 Feb 2009,$8.97B
31 Mar 2009,$9.13B
30 Apr 2009,$10.4B
29 May 2009,$11.82B
30 Jun 2009,$12.73B
31 Jul 2009,$13.22B
31 Aug 2009,$14.32B
30 Sep 2009,$14.36B
30 Oct 2009,$15.52B
30 Nov 2009,$14.49B
31 Dec 2009,$16.51B
29 Jan 2010,$15.53B
26 Feb 2010,$15.23B
31 Mar 2010,$16.73B
30 Apr 2010,$16.27B
31 May 2010,$14.59B
30 Jun 2010,$13.81B
30 Jul 2010,$15.5B
31 Aug 2010,$14.55B
30 Sep 2010,$16.54B
29 Oct 2010,$16.83B
30 Nov 2010,$19.78B
31 Dec 2010,$20.96B
31 Jan 2011,$20.85B
28 Feb 2011,$21.29B
31 Mar 2011,$24.11B
29 Apr 2011,$24.23B
31 May 2011,$20.75B
30 Jun 2011,$21.31B
29 Jul 2011,$20.54B
31 Aug 2011,$17.29B
30 Sep 2011,$14.49B
31 Oct 2011,$16.86B
30 Nov 2011,$16.17B
30 Dec 2011,$15.35B
31 Jan 2012,$18.04B
29 Feb 2012,$20.33B
30 Mar 2012,$19.8B
30 Apr 2012,$19.44B
31 May 2012,$15.77B
31 Jul 2012,$14.78B
31 Aug 2012,$12.93B
28 Sep 2012,$12.9B
31 Oct 2012,$14.04B
30 Nov 2012,$15.51B
31 Dec 2012,$18.34B
31 Jan 2013,$20.44B
28 Feb 2013,$19.63B
29 Mar 2013,$18.88B
30 Apr 2013,$22.34B
31 May 2013,$21.93B
28 Jun 2013,$19.26B
31 Jul 2013,$18.39B
30 Aug 2013,$18.11B
30 Sep 2013,$20.5B
31 Oct 2013,$17.98B
29 Nov 2013,$17.89B
31 Dec 2013,$17.96B
31 Jan 2014,$18.05B
28 Feb 2014,$17.91B
31 Mar 2014,$17.97B
30 Apr 2014,$18.93B
30 May 2014,$18.63B
30 Jun 2014,$19.77B
31 Jul 2014,$19.4B
29 Aug 2014,$19.79B
30 Sep 2014,$21.32B
31 Oct 2014,$21.93B
28 Nov 2014,$23.63B
31 Dec 2014,$22.4B
30 Jan 2015,$19.46B
27 Feb 2015,$20.78B
31 Mar 2015,$19.63B
30 Apr 2015,$20.11B
29 May 2015,$21.8B
30 Jun 2015,$20.41B
31 Jul 2015,$19.07B
31 Aug 2015,$16.74B
30 Sep 2015,$14.56B
30 Oct 2015,$16.64B
30 Nov 2015,$16.92B
31 Dec 2015,$16.55B
29 Jan 2016,$14.71B
29 Feb 2016,$14.28B
31 Mar 2016,$15.92B
29 Apr 2016,$15.84B
31 May 2016,$15.89B
30 Jun 2016,$14.71B
29 Jul 2016,$16.78B
31 Aug 2016,$18.8B
30 Sep 2016,$19.08B
31 Oct 2016,$19.48B
30 Nov 2016,$21.89B
30 Dec 2016,$22.01B
31 Jan 2017,$22.39B
28 Feb 2017,$22.53B
31 Mar 2017,$24.12B
28 Apr 2017,$24.71B
31 May 2017,$21.89B
30 Jun 2017,$23.73B
31 Jul 2017,$24.65B
31 Aug 2017,$24.74B
29 Sep 2017,$26.61B
31 Oct 2017,$30.74B
30 Nov 2017,$28.94B
29 Dec 2017,$33.91B
31 Jan 2018,$35.22B
28 Feb 2018,$32.57B
30 Mar 2018,$29.5B
30 Apr 2018,$31.19B
31 May 2018,$29.83B
29 Jun 2018,$26.35B
31 Jul 2018,$27.26B
31 Aug 2018,$26.29B
28 Sep 2018,$28.74B
31 Oct 2018,$24.5B
30 Nov 2018,$25.24B
31 Dec 2018,$19.68B
31 Jan 2019,$22.99B
28 Feb 2019,$22.72B
29 Mar 2019,$21.39B
30 Apr 2019,$23.73B
31 May 2019,$20.11B
28 Jun 2019,$21.64B
31 Jul 2019,$20.35B
30 Aug 2019,$18.78B
30 Sep 2019,$20.6B
31 Oct 2019,$21.3B
