timeline,Hitachi Construction Machinery
31 Mar 2006,$5.32B
28 Apr 2006,$5.34B
31 May 2006,$4.64B
30 Jun 2006,$4.73B
31 Jul 2006,$4.63B
31 Aug 2006,$4.45B
29 Sep 2006,$4.53B
31 Oct 2006,$4.78B
30 Nov 2006,$4.74B
29 Dec 2006,$5.5B
31 Jan 2007,$5.82B
30 Mar 2007,$5.48B
30 Apr 2007,$6.48B
31 May 2007,$6.99B
29 Jun 2007,$7.37B
31 Jul 2007,$8.2B
31 Aug 2007,$7.01B
28 Sep 2007,$7.89B
31 Oct 2007,$8.04B
30 Nov 2007,$6.82B
31 Dec 2007,$5.76B
31 Jan 2008,$4.24B
29 Feb 2008,$5.04B
31 Mar 2008,$4.29B
30 Apr 2008,$5.64B
30 May 2008,$6.26B
30 Jun 2008,$5.11B
31 Jul 2008,$4.95B
29 Aug 2008,$4.45B
30 Sep 2008,$4.34B
31 Oct 2008,$1.89B
28 Nov 2008,$1.84B
31 Dec 2008,$1.78B
30 Jan 2009,$1.56B
27 Feb 2009,$1.98B
31 Mar 2009,$2.18B
30 Apr 2009,$2.28B
29 May 2009,$2.71B
30 Jun 2009,$2.87B
31 Jul 2009,$3.06B
31 Aug 2009,$3.44B
30 Sep 2009,$3.51B
30 Oct 2009,$3.98B
30 Nov 2009,$3.68B
31 Dec 2009,$4.39B
29 Jan 2010,$3.47B
26 Feb 2010,$3.31B
31 Mar 2010,$4.12B
30 Apr 2010,$3.77B
31 May 2010,$3.46B
30 Jun 2010,$3.09B
30 Jul 2010,$3.28B
31 Aug 2010,$3.11B
30 Sep 2010,$3.37B
29 Oct 2010,$3.19B
30 Nov 2010,$3.56B
31 Dec 2010,$3.63B
31 Jan 2011,$3.6B
28 Feb 2011,$3.81B
31 Mar 2011,$3.89B
29 Apr 2011,$3.67B
31 May 2011,$3.2B
30 Jun 2011,$3.35B
29 Jul 2011,$3.25B
31 Aug 2011,$2.66B
30 Sep 2011,$2.45B
31 Oct 2011,$2.87B
30 Nov 2011,$2.47B
30 Dec 2011,$2.42B
31 Jan 2012,$2.82B
29 Feb 2012,$3.17B
30 Mar 2012,$3.42B
30 Apr 2012,$3.26B
31 May 2012,$2.82B
29 Jun 2012,$2.77B
31 Jul 2012,$2.64B
31 Aug 2012,$2.42B
28 Sep 2012,$2.36B
31 Oct 2012,$2.45B
30 Nov 2012,$2.7B
31 Dec 2012,$3.35B
31 Jan 2013,$3.92B
28 Feb 2013,$3.98B
29 Mar 2013,$3.79B
30 Apr 2013,$4.32B
31 May 2013,$4.53B
28 Jun 2013,$3.75B
31 Jul 2013,$3.62B
30 Aug 2013,$3.61B
30 Sep 2013,$4.1B
31 Oct 2013,$3.86B
29 Nov 2013,$4.1B
31 Dec 2013,$4.2B
31 Jan 2014,$3.73B
28 Feb 2014,$3.69B
31 Mar 2014,$3.73B
30 Apr 2014,$3.56B
30 May 2014,$3.53B
30 Jun 2014,$3.78B
31 Jul 2014,$3.98B
29 Aug 2014,$3.83B
30 Sep 2014,$4.14B
31 Oct 2014,$4.19B
28 Nov 2014,$4.8B
31 Dec 2014,$4.81B
30 Jan 2015,$4.13B
27 Feb 2015,$4.15B
31 Mar 2015,$3.94B
30 Apr 2015,$4B
29 May 2015,$4.26B
30 Jun 2015,$4.02B
31 Jul 2015,$3.87B
31 Aug 2015,$3.3B
30 Sep 2015,$2.99B
30 Oct 2015,$3.53B
30 Nov 2015,$3.62B
31 Dec 2015,$3.56B
29 Jan 2016,$3.25B
29 Feb 2016,$2.94B
31 Mar 2016,$3.35B
29 Apr 2016,$3.32B
31 May 2016,$3.21B
30 Jun 2016,$2.78B
29 Jul 2016,$3.16B
31 Aug 2016,$3.64B
30 Sep 2016,$3.75B
31 Oct 2016,$4.12B
30 Nov 2016,$4.42B
30 Dec 2016,$4.75B
31 Jan 2017,$4.88B
28 Feb 2017,$4.9B
31 Mar 2017,$5.21B
28 Apr 2017,$5.39B
31 May 2017,$4.82B
30 Jun 2017,$5.27B
31 Jul 2017,$5.94B
31 Aug 2017,$5.82B
29 Sep 2017,$6.26B
31 Oct 2017,$7.25B
30 Nov 2017,$6.97B
29 Dec 2017,$7.68B
31 Jan 2018,$9.16B
