timeline,Harmonic Drive Systems
31 Mar 2006,$0.14B
28 Apr 2006,$0.13B
30 Jun 2006,$0.44B
31 Jul 2006,$0.49B
31 Aug 2006,$0.48B
29 Sep 2006,$0.52B
31 Oct 2006,$0.56B
30 Nov 2006,$0.55B
29 Dec 2006,$0.53B
31 Jan 2007,$0.57B
30 Apr 2007,$0.59B
31 May 2007,$0.58B
29 Jun 2007,$0.55B
31 Jul 2007,$0.52B
31 Aug 2007,$0.45B
28 Sep 2007,$0.47B
31 Oct 2007,$0.39B
30 Nov 2007,$0.36B
31 Dec 2007,$0.41B
31 Jan 2008,$0.33B
29 Feb 2008,$0.35B
31 Mar 2008,$0.3B
30 Apr 2008,$0.36B
30 May 2008,$0.39B
30 Jun 2008,$0.37B
29 Aug 2008,$0.32B
30 Sep 2008,$0.27B
31 Oct 2008,$0.18B
28 Nov 2008,$0.2B
31 Dec 2008,$0.14B
27 Feb 2009,$0.15B
31 Mar 2009,$0.16B
30 Apr 2009,$0.19B
29 May 2009,$0.21B
30 Jun 2009,$0.2B
31 Jul 2009,$0.22B
30 Oct 2009,$0.21B
30 Nov 2009,$0.16B
31 Dec 2009,$0.19B
29 Jan 2010,$0.24B
31 Mar 2010,$0.29B
30 Apr 2010,$0.36B
31 May 2010,$0.33B
30 Jun 2010,$0.39B
30 Jul 2010,$0.34B
31 Aug 2010,$0.3B
30 Sep 2010,$0.32B
29 Oct 2010,$0.31B
30 Nov 2010,$0.33B
31 Dec 2010,$0.43B
31 Jan 2011,$0.44B
28 Feb 2011,$0.48B
31 Mar 2011,$0.57B
29 Apr 2011,$0.55B
31 May 2011,$0.51B
30 Jun 2011,$0.53B
31 Aug 2011,$0.46B
30 Sep 2011,$0.42B
31 Oct 2011,$0.46B
30 Nov 2011,$0.39B
30 Dec 2011,$0.41B
31 Jan 2012,$0.49B
29 Feb 2012,$0.53B
30 Mar 2012,$0.56B
30 Apr 2012,$0.51B
31 May 2012,$0.47B
29 Jun 2012,$0.49B
31 Jul 2012,$0.48B
31 Aug 2012,$0.41B
31 Oct 2012,$0.42B
30 Nov 2012,$0.36B
31 Dec 2012,$0.47B
31 Jan 2013,$0.48B
28 Feb 2013,$0.45B
29 Mar 2013,$0.46B
30 Apr 2013,$0.54B
31 May 2013,$0.57B
28 Jun 2013,$0.55B
31 Jul 2013,$0.56B
30 Aug 2013,$0.51B
30 Sep 2013,$0.55B
31 Oct 2013,$0.57B
29 Nov 2013,$0.55B
31 Dec 2013,$0.65B
31 Jan 2014,$0.81B
28 Feb 2014,$0.93B
31 Mar 2014,$0.84B
30 Apr 2014,$0.78B
30 May 2014,$0.89B
30 Jun 2014,$1.1B
31 Jul 2014,$1.07B
29 Aug 2014,$1.28B
30 Sep 2014,$1.31B
31 Oct 2014,$1.15B
28 Nov 2014,$1.37B
31 Dec 2014,$1.43B
30 Jan 2015,$1.52B
27 Feb 2015,$1.72B
31 Mar 2015,$2.14B
30 Apr 2015,$2.05B
29 May 2015,$1.88B
30 Jun 2015,$1.94B
31 Jul 2015,$1.5B
31 Aug 2015,$1.52B
30 Sep 2015,$1.38B
30 Oct 2015,$1.67B
30 Nov 2015,$1.99B
31 Dec 2015,$2.13B
29 Jan 2016,$1.95B
29 Feb 2016,$2.06B
31 Mar 2016,$2.33B
29 Apr 2016,$2.02B
31 May 2016,$2.32B
30 Jun 2016,$2.34B
29 Jul 2016,$2.59B
31 Aug 2016,$2.34B
30 Sep 2016,$2.37B
31 Oct 2016,$2.39B
30 Nov 2016,$2.44B
30 Dec 2016,$2.34B
31 Jan 2017,$2.75B
28 Feb 2017,$2.82B
31 Mar 2017,$2.83B
31 May 2017,$3.08B
30 Jun 2017,$3.14B
31 Jul 2017,$3.85B
31 Aug 2017,$3.9B
29 Sep 2017,$4.69B
31 Oct 2017,$4.75B
30 Nov 2017,$5.74B
29 Dec 2017,$5.32B
31 Jan 2018,$6.07B
28 Feb 2018,$5.39B
30 Mar 2018,$5.02B
30 Apr 2018,$4.46B
31 May 2018,$4.42B
29 Jun 2018,$3.98B
31 Jul 2018,$3.72B
31 Aug 2018,$3.83B
28 Sep 2018,$3.55B
31 Oct 2018,$2.92B
30 Nov 2018,$3.22B
31 Dec 2018,$2.56B
31 Jan 2019,$3.22B
28 Feb 2019,$3.09B
29 Mar 2019,$3.22B
30 Apr 2019,$3.72B
31 May 2019,$3.05B
28 Jun 2019,$3.53B
30 Aug 2019,$3.58B
30 Sep 2019,$3.99B
31 Oct 2019,$4.3B
29 Nov 2019,$4.04B
31 Dec 2019,$4.47B
31 Jan 2020,$4.24B
27 Feb 2020,$4B
28 Feb 2020,$3.85B
31 Mar 2020,$4.01B
24 Apr 2020,$3.98B
30 Apr 2020,$4.27B
29 May 2020,$5.28B
30 Jun 2020,$5.02B
14 Jul 2020,$5.1B
31 Jul 2020,$4.98B
14 Aug 2020,$5.06B
25 Aug 2020,$5.01B
31 Aug 2020,$4.75B
18 Sep 2020,$5.71B
30 Sep 2020,$5.72B
16 Oct 2020,$5.77B
30 Oct 2020,$5.84B
6 Nov 2020,$6.3B
18 Nov 2020,$6.49B
