timeline,Daifuku
31 Mar 2006,$1.93B
28 Apr 2006,$1.85B
31 May 2006,$1.74B
30 Jun 2006,$1.89B
31 Jul 2006,$1.6B
31 Aug 2006,$1.48B
29 Sep 2006,$1.49B
31 Oct 2006,$1.52B
30 Nov 2006,$1.82B
29 Dec 2006,$1.89B
31 Jan 2007,$1.72B
28 Feb 2007,$1.76B
30 Mar 2007,$1.71B
30 Apr 2007,$1.52B
31 May 2007,$1.58B
29 Jun 2007,$1.7B
31 Jul 2007,$1.48B
31 Aug 2007,$1.36B
28 Sep 2007,$1.31B
31 Oct 2007,$1.36B
30 Nov 2007,$1.55B
31 Dec 2007,$1.59B
31 Jan 2008,$1.44B
29 Feb 2008,$1.4B
31 Mar 2008,$1.27B
30 Apr 2008,$1.3B
30 May 2008,$1.24B
30 Jun 2008,$1.04B
31 Jul 2008,$0.95B
29 Aug 2008,$0.9B
30 Sep 2008,$0.65B
31 Oct 2008,$0.52B
28 Nov 2008,$0.53B
31 Dec 2008,$0.52B
30 Jan 2009,$0.46B
27 Feb 2009,$0.48B
31 Mar 2009,$0.53B
30 Apr 2009,$0.59B
29 May 2009,$0.69B
30 Jun 2009,$0.67B
31 Jul 2009,$0.64B
31 Aug 2009,$0.63B
30 Sep 2009,$0.59B
30 Oct 2009,$0.56B
30 Nov 2009,$0.5B
31 Dec 2009,$0.58B
29 Jan 2010,$0.55B
26 Feb 2010,$0.64B
31 Mar 2010,$0.72B
30 Apr 2010,$0.69B
31 May 2010,$0.6B
30 Jun 2010,$0.54B
30 Jul 2010,$0.49B
31 Aug 2010,$0.39B
30 Sep 2010,$0.41B
29 Oct 2010,$0.37B
30 Nov 2010,$0.5B
31 Dec 2010,$0.56B
31 Jan 2011,$0.58B
28 Feb 2011,$0.64B
31 Mar 2011,$0.59B
29 Apr 2011,$0.53B
31 May 2011,$0.48B
30 Jun 2011,$0.51B
29 Jul 2011,$0.49B
31 Aug 2011,$0.42B
30 Sep 2011,$0.41B
31 Oct 2011,$0.4B
30 Nov 2011,$0.39B
31 Jan 2012,$0.42B
29 Feb 2012,$0.46B
30 Mar 2012,$0.47B
30 Apr 2012,$0.42B
31 May 2012,$0.43B
29 Jun 2012,$0.49B
31 Jul 2012,$0.45B
31 Aug 2012,$0.4B
28 Sep 2012,$0.38B
31 Oct 2012,$0.39B
30 Nov 2012,$0.5B
31 Dec 2012,$0.54B
31 Jan 2013,$0.6B
28 Feb 2013,$0.66B
29 Mar 2013,$0.75B
30 Apr 2013,$0.84B
31 May 2013,$0.88B
28 Jun 2013,$0.71B
31 Jul 2013,$0.88B
30 Aug 2013,$0.9B
30 Sep 2013,$1.04B
31 Oct 2013,$1.23B
29 Nov 2013,$1.28B
31 Dec 2013,$1.31B
31 Jan 2014,$1.2B
28 Feb 2014,$1.33B
31 Mar 2014,$1.24B
30 Apr 2014,$1.15B
30 May 2014,$1.29B
30 Jun 2014,$1.39B
31 Jul 2014,$1.4B
29 Aug 2014,$1.2B
30 Sep 2014,$1.26B
31 Oct 2014,$1.24B
28 Nov 2014,$1.23B
31 Dec 2014,$1.32B
30 Jan 2015,$1.33B
27 Feb 2015,$1.52B
31 Mar 2015,$1.55B
30 Apr 2015,$1.57B
29 May 2015,$1.84B
31 Jul 2015,$1.75B
31 Aug 2015,$1.73B
30 Sep 2015,$1.6B
30 Oct 2015,$1.76B
30 Nov 2015,$1.96B
31 Dec 2015,$2.21B
29 Jan 2016,$2.11B
29 Feb 2016,$1.9B
31 Mar 2016,$2.03B
29 Apr 2016,$2.14B
31 May 2016,$2.06B
30 Jun 2016,$1.95B
29 Jul 2016,$2.33B
31 Aug 2016,$1.92B
30 Sep 2016,$1.97B
31 Oct 2016,$2.04B
30 Nov 2016,$2.37B
30 Dec 2016,$2.67B
31 Jan 2017,$2.68B
28 Feb 2017,$2.81B
31 Mar 2017,$2.98B
28 Apr 2017,$3.02B
31 May 2017,$3.62B
30 Jun 2017,$3.6B
31 Jul 2017,$4.1B
31 Aug 2017,$5.14B
29 Sep 2017,$5.95B
31 Oct 2017,$5.92B
30 Nov 2017,$6.57B
29 Dec 2017,$6.59B
31 Jan 2018,$8.03B
28 Feb 2018,$7.77B
30 Mar 2018,$7.01B
30 Apr 2018,$6.52B
31 May 2018,$6.27B
29 Jun 2018,$5.38B
31 Jul 2018,$5.42B
31 Aug 2018,$6.4B
28 Sep 2018,$6.42B
31 Oct 2018,$5.39B
30 Nov 2018,$6.44B
31 Dec 2018,$5.57B
31 Jan 2019,$6.03B
28 Feb 2019,$6.06B
29 Mar 2019,$6.39B
30 Apr 2019,$7.52B
31 May 2019,$6.07B
28 Jun 2019,$6.71B
31 Jul 2019,$6.67B
30 Aug 2019,$5.57B
30 Sep 2019,$6.18B
31 Oct 2019,$6.44B
29 Nov 2019,$7.07B
31 Dec 2019,$7.41B
31 Jan 2020,$7.48B
28 Feb 2020,$7.14B
31 Mar 2020,$7.6B
24 Apr 2020,$7.8B
30 Apr 2020,$8.36B
29 May 2020,$9.3B
30 Jun 2020,$10.47B
10 Jul 2020,$11.13B
22 Jul 2020,$11.09B
31 Jul 2020,$10.56B
4 Aug 2020,$10.88B
7 Aug 2020,$10.46B
14 Aug 2020,$11.01B
31 Aug 2020,$10.37B
25 Sep 2020,$11.26B
30 Sep 2020,$11.76B
16 Oct 2020,$12.33B
23 Oct 2020,$12.29B
30 Oct 2020,$11.93B
10 Nov 2020,$12.61B
16 Nov 2020,$12.71B
20 Nov 2020,$12.72B
30 Nov 2020,$13.45B
4 Dec 2020,$13.68B
11 Dec 2020,$13.89B
31 Dec 2020,$14.17B
8 Jan 2021,$14.58B
22 Jan 2021,$14.44B
29 Jan 2021,$13.27B
9 Feb 2021,$11.89B
19 Feb 2021,$12.81B
1 Mar 2021,$11.61B
11 Mar 2021,$11.33B
19 Mar 2021,$11.87B
26 Mar 2021,$11.85B
1 Apr 2021,$12.43B
7 Apr 2021,$12.53B
16 Apr 2021,$12.4B
22 Apr 2021,$12.3B
28 Apr 2021,$12.14B
30 Apr 2021,$12.02B
7 May 2021,$12.33B
13 May 2021,$10.62B
20 May 2021,$10.64B
31 May 2021,$10.22B
4 Jun 2021,$10.42B
11 Jun 2021,$10.45B
30 Jun 2021,$11.21B
16 Jul 2021,$10.93B
20 Jul 2021,$10.62B
30 Jul 2021,$11.26B
6 Aug 2021,$11.13B
20 Aug 2021,$10.62B
27 Aug 2021,$11.02B
3 Sep 2021,$12.02B
10 Sep 2021,$12.61B
17 Sep 2021,$13.22B
24 Sep 2021,$12.83B
2 Oct 2021,$11.66B
9 Oct 2021,$11.17B
16 Oct 2021,$11.18B
23 Oct 2021,$11.42B
30 Oct 2021,$11.59B
6 Nov 2021,$12.06B
13 Nov 2021,$10.88B
20 Nov 2021,$11.11B
27 Nov 2021,$10.35B
4 Dec 2021,$10.62B
9 Dec 2021,$10.77B
