timeline,MinebeaMitsumi
31 Jan 2001,$3.63B
28 Feb 2001,$3.23B
30 Mar 2001,$3.14B
30 Apr 2001,$3.41B
31 May 2001,$3.07B
29 Jun 2001,$2.89B
31 Jul 2001,$2.59B
31 Aug 2001,$2.35B
28 Sep 2001,$2.09B
31 Oct 2001,$2.24B
30 Nov 2001,$2.6B
31 Dec 2001,$2.48B
31 Jan 2002,$2.5B
28 Feb 2002,$2.7B
29 Mar 2002,$3B
30 Apr 2002,$2.96B
31 May 2002,$2.86B
28 Jun 2002,$2.48B
31 Jul 2002,$2.26B
30 Aug 2002,$2.4B
30 Sep 2002,$2.17B
31 Oct 2002,$1.96B
29 Nov 2002,$1.89B
31 Dec 2002,$1.45B
31 Jan 2003,$1.53B
28 Feb 2003,$1.7B
31 Mar 2003,$1.37B
30 Apr 2003,$1.25B
30 May 2003,$1.38B
30 Jun 2003,$1.68B
31 Jul 2003,$1.71B
29 Aug 2003,$2.04B
31 Oct 2003,$2.2B
28 Nov 2003,$1.96B
31 Dec 2003,$1.91B
30 Jan 2004,$1.77B
27 Feb 2004,$1.78B
31 Mar 2004,$1.84B
30 Apr 2004,$1.9B
31 May 2004,$1.69B
30 Jun 2004,$1.79B
30 Jul 2004,$1.68B
31 Aug 2004,$1.64B
30 Sep 2004,$1.58B
30 Nov 2004,$1.46B
31 Dec 2004,$1.57B
31 Jan 2005,$1.59B
28 Feb 2005,$1.68B
31 Mar 2005,$1.62B
29 Apr 2005,$1.47B
31 May 2005,$1.56B
30 Jun 2005,$1.58B
29 Jul 2005,$1.65B
31 Aug 2005,$1.61B
30 Sep 2005,$1.65B
31 Oct 2005,$1.59B
30 Nov 2005,$2.29B
30 Dec 2005,$2.21B
31 Jan 2006,$2.47B
28 Feb 2006,$2.48B
31 Mar 2006,$2.86B
28 Apr 2006,$2.59B
31 May 2006,$2.33B
30 Jun 2006,$2.19B
31 Jul 2006,$2.05B
31 Aug 2006,$2.33B
29 Sep 2006,$2.27B
31 Oct 2006,$2.51B
30 Nov 2006,$2.83B
29 Dec 2006,$2.93B
31 Jan 2007,$2.81B
