timeline,Makita
31 Jan 2001,$1.13B
28 Feb 2001,$1.02B
30 Mar 2001,$1.04B
30 Apr 2001,$1.07B
31 May 2001,$1.01B
29 Jun 2001,$1.06B
31 Jul 2001,$0.99B
31 Aug 2001,$1.01B
28 Sep 2001,$0.86B
31 Oct 2001,$0.89B
30 Nov 2001,$0.98B
31 Dec 2001,$0.87B
31 Jan 2002,$0.9B
28 Feb 2002,$1.05B
29 Mar 2002,$1.16B
30 Apr 2002,$1.14B
31 May 2002,$1.1B
28 Jun 2002,$1.04B
31 Jul 2002,$1.01B
30 Aug 2002,$0.94B
30 Sep 2002,$0.93B
31 Oct 2002,$1.06B
29 Nov 2002,$1.21B
31 Dec 2002,$1.16B
31 Jan 2003,$1.04B
28 Feb 2003,$1.07B
31 Mar 2003,$1.12B
30 Apr 2003,$1.21B
30 May 2003,$1.25B
30 Jun 2003,$1.32B
31 Jul 2003,$1.3B
29 Aug 2003,$1.42B
30 Sep 2003,$1.37B
31 Oct 2003,$1.47B
28 Nov 2003,$1.35B
31 Dec 2003,$1.45B
30 Jan 2004,$1.53B
27 Feb 2004,$1.75B
30 Apr 2004,$1.95B
31 May 2004,$2.02B
30 Jun 2004,$2.13B
30 Jul 2004,$2.06B
31 Aug 2004,$2.11B
30 Sep 2004,$2.03B
29 Oct 2004,$1.91B
30 Nov 2004,$2.08B
31 Dec 2004,$2.34B
31 Jan 2005,$2.43B
28 Feb 2005,$2.6B
31 Mar 2005,$2.48B
29 Apr 2005,$2.51B
31 May 2005,$2.69B
30 Jun 2005,$2.76B
29 Jul 2005,$3B
31 Aug 2005,$2.79B
30 Sep 2005,$2.92B
31 Oct 2005,$3.41B
30 Nov 2005,$3.73B
30 Dec 2005,$3.68B
31 Jan 2006,$4.32B
28 Feb 2006,$4.31B
31 Mar 2006,$4.6B
28 Apr 2006,$4.28B
31 May 2006,$4.4B
30 Jun 2006,$4.59B
31 Jul 2006,$4.76B
31 Aug 2006,$4.37B
29 Sep 2006,$4.4B
31 Oct 2006,$4.41B
30 Nov 2006,$4.23B
29 Dec 2006,$4.62B
31 Jan 2007,$5.28B
28 Feb 2007,$5.51B
30 Mar 2007,$5.62B
30 Apr 2007,$5.88B
31 May 2007,$6.51B
29 Jun 2007,$7.05B
31 Jul 2007,$7.08B
31 Aug 2007,$5.77B
28 Sep 2007,$6.49B
31 Oct 2007,$7.09B
30 Nov 2007,$6.34B
31 Dec 2007,$6.1B
31 Jan 2008,$5.07B
