timeline,Omron
31 Mar 2006,$6.86B
28 Apr 2006,$6.68B
31 May 2006,$6.24B
30 Jun 2006,$5.97B
31 Aug 2006,$5.69B
29 Sep 2006,$6B
31 Oct 2006,$6.22B
30 Nov 2006,$6.41B
29 Dec 2006,$7.01B
31 Jan 2007,$6.68B
28 Feb 2007,$6.74B
30 Mar 2007,$6.49B
30 Apr 2007,$6.74B
31 May 2007,$6.49B
29 Jun 2007,$6.76B
31 Jul 2007,$6.57B
31 Aug 2007,$6.28B
28 Sep 2007,$6.26B
31 Oct 2007,$5.78B
30 Nov 2007,$5.98B
31 Dec 2007,$5.52B
31 Jan 2008,$4.58B
29 Feb 2008,$4.84B
31 Mar 2008,$4.25B
30 Apr 2008,$4.5B
30 May 2008,$4.8B
30 Jun 2008,$4.73B
31 Jul 2008,$4.05B
29 Aug 2008,$4.07B
30 Sep 2008,$3.45B
31 Oct 2008,$2.97B
28 Nov 2008,$2.66B
31 Dec 2008,$2.53B
30 Jan 2009,$2.26B
27 Feb 2009,$2.3B
31 Mar 2009,$2.25B
30 Apr 2009,$2.81B
29 May 2009,$2.82B
30 Jun 2009,$2.72B
31 Jul 2009,$2.94B
31 Aug 2009,$3.1B
30 Sep 2009,$3.28B
30 Oct 2009,$3B
30 Nov 2009,$2.8B
31 Dec 2009,$3.15B
29 Jan 2010,$3.51B
26 Feb 2010,$3.74B
31 Mar 2010,$4.2B
30 Apr 2010,$4.22B
31 May 2010,$3.74B
30 Jun 2010,$3.77B
30 Jul 2010,$4.06B
31 Aug 2010,$3.46B
30 Sep 2010,$3.69B
29 Oct 2010,$3.6B
30 Nov 2010,$4.04B
31 Dec 2010,$4.2B
31 Jan 2011,$4.11B
28 Feb 2011,$4.41B
31 Mar 2011,$4.54B
29 Apr 2011,$4.28B
31 May 2011,$4.05B
30 Jun 2011,$4.33B
29 Jul 2011,$4.19B
31 Aug 2011,$3.48B
30 Sep 2011,$3.19B
31 Oct 2011,$3.61B
30 Nov 2011,$3.37B
30 Dec 2011,$2.97B
31 Jan 2012,$2.96B
29 Feb 2012,$3.47B
30 Mar 2012,$3.42B
30 Apr 2012,$3.29B
31 May 2012,$3B
29 Jun 2012,$3.57B
31 Jul 2012,$3.32B
31 Aug 2012,$3.22B
28 Sep 2012,$3.16B
31 Oct 2012,$3.33B
30 Nov 2012,$3.83B
31 Dec 2012,$3.96B
31 Jan 2013,$4.25B
28 Feb 2013,$4.39B
29 Mar 2013,$4.48B
30 Apr 2013,$5.98B
31 May 2013,$6.01B
28 Jun 2013,$5.78B
31 Jul 2013,$5.7B
30 Aug 2013,$5.79B
30 Sep 2013,$6.88B
31 Oct 2013,$7.26B
29 Nov 2013,$8.18B
31 Dec 2013,$9.01B
31 Jan 2014,$7.94B
28 Feb 2014,$8.3B
31 Mar 2014,$8.27B
30 Apr 2014,$7B
30 May 2014,$7.41B
30 Jun 2014,$8.29B
31 Jul 2014,$8.99B
29 Aug 2014,$8.74B
30 Sep 2014,$9.66B
31 Oct 2014,$10.05B
28 Nov 2014,$10.71B
31 Dec 2014,$10.44B
30 Jan 2015,$9.11B
27 Feb 2015,$10.11B
31 Mar 2015,$10.38B
30 Apr 2015,$10.57B
29 May 2015,$11.09B
30 Jun 2015,$10.19B
31 Jul 2015,$9.32B
31 Aug 2015,$8.73B
30 Sep 2015,$6.87B
30 Oct 2015,$7.73B
30 Nov 2015,$8.67B
31 Dec 2015,$7.66B
29 Jan 2016,$5.82B
29 Feb 2016,$5.53B
31 Mar 2016,$6.31B
29 Apr 2016,$6.71B
31 May 2016,$6.73B
30 Jun 2016,$6.24B
29 Jul 2016,$6.48B
31 Aug 2016,$6.62B
30 Sep 2016,$6.8B
31 Oct 2016,$7.6B
30 Nov 2016,$7.95B
30 Dec 2016,$8.45B
31 Jan 2017,$8.74B
28 Feb 2017,$9.1B
31 Mar 2017,$9.21B
28 Apr 2017,$8.79B
31 May 2017,$8.73B
30 Jun 2017,$9.19B
31 Jul 2017,$10.39B
31 Aug 2017,$10.4B
29 Sep 2017,$10.8B
31 Oct 2017,$11.88B
30 Nov 2017,$12.46B
29 Dec 2017,$12.63B
31 Jan 2018,$12.8B
28 Feb 2018,$11.88B
30 Mar 2018,$11.69B
30 Apr 2018,$11.06B
31 May 2018,$10.63B
29 Jun 2018,$9.59B
31 Jul 2018,$9.35B
31 Aug 2018,$9.21B
28 Sep 2018,$8.88B
31 Oct 2018,$8.44B
30 Nov 2018,$9.16B
31 Dec 2018,$7.3B
31 Jan 2019,$8.12B
28 Feb 2019,$8.75B
29 Mar 2019,$9.43B
30 Apr 2019,$10.77B
31 May 2019,$9.34B
28 Jun 2019,$10.18B
31 Jul 2019,$9.52B
30 Aug 2019,$9.56B
30 Sep 2019,$10.74B
31 Oct 2019,$11.63B
29 Nov 2019,$11.69B
31 Dec 2019,$11.62B
31 Jan 2020,$11.65B
28 Feb 2020,$10.57B
31 Mar 2020,$10.02B
30 Apr 2020,$11.35B
29 May 2020,$12.74B
30 Jun 2020,$12.84B
13 Jul 2020,$13.15B
22 Jul 2020,$13.22B
31 Jul 2020,$13.39B
11 Aug 2020,$13.71B
14 Aug 2020,$14.19B
20 Aug 2020,$13.71B
31 Aug 2020,$13.82B
2 Sep 2020,$14.01B
16 Sep 2020,$14.44B
25 Sep 2020,$14.3B
30 Sep 2020,$14.54B
8 Oct 2020,$14.46B
15 Oct 2020,$13.69B
22 Oct 2020,$14.06B
30 Oct 2020,$13.34B
16 Nov 2020,$14.97B
20 Nov 2020,$15.01B
30 Nov 2020,$16.77B
4 Dec 2020,$16.73B
11 Dec 2020,$15.81B
31 Dec 2020,$16.36B
8 Jan 2021,$16.96B
22 Jan 2021,$17B
29 Jan 2021,$16.43B
5 Feb 2021,$17B
12 Feb 2021,$17.16B
19 Feb 2021,$16.8B
1 Mar 2021,$15.74B
19 Mar 2021,$16.55B
25 Mar 2021,$15.82B
31 Mar 2021,$15.36B
7 Apr 2021,$16B
16 Apr 2021,$15.81B
22 Apr 2021,$15.5B
30 Apr 2021,$14.74B
7 May 2021,$15.01B
19 May 2021,$14.49B
31 May 2021,$15.33B
4 Jun 2021,$15.26B
11 Jun 2021,$14.88B
30 Jun 2021,$15.66B
16 Jul 2021,$16.23B
20 Jul 2021,$15.74B
30 Jul 2021,$17.28B
6 Aug 2021,$17.78B
13 Aug 2021,$18.05B
20 Aug 2021,$17.81B
27 Aug 2021,$18.52B
3 Sep 2021,$20.53B
10 Sep 2021,$20.85B
17 Sep 2021,$21.46B
24 Sep 2021,$20.89B
2 Oct 2021,$19.29B
9 Oct 2021,$18.37B
16 Oct 2021,$19.35B
23 Oct 2021,$18.82B
30 Oct 2021,$19.31B
6 Nov 2021,$20.84B
13 Nov 2021,$19.85B
20 Nov 2021,$20.17B
27 Nov 2021,$19.67B
4 Dec 2021,$19.9B
9 Dec 2021,$20.75B
