timeline,Sharp Corporation
31 Jan 2001,$162.97B
28 Feb 2001,$148.66B
30 Mar 2001,$158.6B
30 Apr 2001,$168.84B
31 May 2001,$169.24B
29 Jun 2001,$168.94B
31 Jul 2001,$142.7B
31 Aug 2001,$126.01B
28 Sep 2001,$104.94B
31 Oct 2001,$125.81B
30 Nov 2001,$158.8B
31 Dec 2001,$152.34B
31 Jan 2002,$134.95B
28 Feb 2002,$159B
29 Mar 2002,$172.29B
30 Apr 2002,$176.96B
31 May 2002,$159.67B
28 Jun 2002,$151.23B
31 Jul 2002,$145.66B
30 Aug 2002,$125.2B
30 Sep 2002,$116.15B
31 Oct 2002,$102.34B
29 Nov 2002,$132.25B
31 Dec 2002,$111.98B
31 Jan 2003,$116.25B
28 Feb 2003,$127.58B
31 Mar 2003,$11.25B
30 Apr 2003,$12.02B
30 May 2003,$12.64B
30 Jun 2003,$14.81B
31 Jul 2003,$16.39B
29 Aug 2003,$16.82B
30 Sep 2003,$15.72B
31 Oct 2003,$16.64B
28 Nov 2003,$15.76B
31 Dec 2003,$16.26B
30 Jan 2004,$18.3B
27 Feb 2004,$17.42B
31 Mar 2004,$17.88B
30 Apr 2004,$19.14B
31 May 2004,$18.06B
30 Jun 2004,$16.77B
30 Jul 2004,$15.48B
31 Aug 2004,$14.72B
30 Sep 2004,$14.58B
29 Oct 2004,$14.08B
30 Nov 2004,$15.9B
31 Dec 2004,$16.09B
31 Jan 2005,$15.27B
28 Feb 2005,$16.04B
31 Mar 2005,$15.89B
29 Apr 2005,$16.05B
31 May 2005,$16.52B
30 Jun 2005,$16.99B
29 Jul 2005,$16.67B
31 Aug 2005,$16.33B
30 Sep 2005,$16.11B
31 Oct 2005,$15.58B
30 Nov 2005,$18.18B
30 Dec 2005,$17.58B
31 Jan 2006,$21.01B
28 Feb 2006,$20.28B
31 Mar 2006,$20.43B
28 Apr 2006,$19.58B
31 May 2006,$18.22B
30 Jun 2006,$17.71B
31 Jul 2006,$18.98B
31 Aug 2006,$20.57B
29 Sep 2006,$19.84B
31 Oct 2006,$20.43B
30 Nov 2006,$19.09B
29 Dec 2006,$20.08B
31 Jan 2007,$20.13B
28 Feb 2007,$21.5B
30 Mar 2007,$21.84B
30 Apr 2007,$21.26B
31 May 2007,$22.42B
29 Jun 2007,$22.51B
31 Jul 2007,$19.87B
31 Aug 2007,$19.38B
28 Sep 2007,$20.06B
31 Oct 2007,$17.36B
30 Nov 2007,$17.51B
31 Dec 2007,$19.34B
31 Jan 2008,$17.69B
29 Feb 2008,$18.55B
31 Mar 2008,$16.44B
30 Apr 2008,$16.96B
30 May 2008,$17.86B
30 Jun 2008,$16.78B
31 Jul 2008,$14.62B
29 Aug 2008,$13.59B
30 Sep 2008,$10.93B
31 Oct 2008,$6.67B
28 Nov 2008,$6.25B
31 Dec 2008,$6.17B
30 Jan 2009,$6.57B
27 Feb 2009,$7.44B
31 Mar 2009,$7.53B
30 Apr 2009,$9.96B
29 May 2009,$10.49B
30 Jun 2009,$9.74B
31 Jul 2009,$10.22B
31 Aug 2009,$10.43B
30 Sep 2009,$9.69B
30 Oct 2009,$9.62B
30 Nov 2009,$9.59B
31 Dec 2009,$11.33B
29 Jan 2010,$10.52B
26 Feb 2010,$10B
31 Mar 2010,$11.35B
30 Apr 2010,$11.9B
31 May 2010,$9.63B
30 Jun 2010,$9.18B
30 Jul 2010,$9.19B
31 Aug 2010,$7.8B
30 Sep 2010,$8.07B
29 Oct 2010,$7.72B
30 Nov 2010,$7.81B
31 Dec 2010,$8.12B
31 Jan 2011,$8.26B
28 Feb 2011,$8.59B
