timeline,Advantest
29 Jun 2001,$9.37B
31 Jul 2001,$8.05B
31 Aug 2001,$5.91B
28 Sep 2001,$4.69B
31 Oct 2001,$5.52B
30 Nov 2001,$6.89B
31 Dec 2001,$6.51B
31 Jan 2002,$6.23B
28 Feb 2002,$7.73B
29 Mar 2002,$8.44B
30 Apr 2002,$8.11B
31 May 2002,$7.45B
28 Jun 2002,$6.56B
31 Jul 2002,$5.38B
30 Aug 2002,$5.03B
30 Sep 2002,$4.16B
31 Oct 2002,$3.55B
29 Nov 2002,$5.46B
31 Dec 2002,$4.68B
31 Jan 2003,$4.64B
28 Feb 2003,$4.51B
31 Mar 2003,$3.66B
30 Apr 2003,$3.46B
30 May 2003,$4.07B
30 Jun 2003,$4.61B
31 Jul 2003,$5.72B
29 Aug 2003,$7.01B
30 Sep 2003,$6.42B
31 Oct 2003,$7.09B
28 Nov 2003,$6.78B
31 Dec 2003,$7.36B
30 Jan 2004,$7.62B
27 Feb 2004,$7.04B
31 Mar 2004,$7.39B
30 Apr 2004,$7.27B
31 May 2004,$6.51B
30 Jun 2004,$6.33B
30 Jul 2004,$5.65B
31 Aug 2004,$6.03B
30 Sep 2004,$5.68B
29 Oct 2004,$6.42B
30 Nov 2004,$6.66B
31 Dec 2004,$7.62B
31 Jan 2005,$7.51B
28 Feb 2005,$7.86B
31 Mar 2005,$6.7B
29 Apr 2005,$6.03B
31 May 2005,$6.67B
29 Jul 2005,$7.33B
31 Aug 2005,$7.04B
30 Sep 2005,$7.74B
31 Oct 2005,$7.35B
30 Nov 2005,$9.59B
30 Dec 2005,$10.46B
31 Jan 2006,$12.66B
28 Feb 2006,$11.72B
31 Mar 2006,$11.54B
28 Apr 2006,$10.8B
31 May 2006,$9.35B
30 Jun 2006,$10.26B
31 Jul 2006,$9.76B
31 Aug 2006,$9.83B
29 Sep 2006,$9.67B
31 Oct 2006,$9.75B
30 Nov 2006,$10B
29 Dec 2006,$11.25B
31 Jan 2007,$9.96B
28 Feb 2007,$9.14B
30 Mar 2007,$8.65B
30 Apr 2007,$8.85B
31 May 2007,$8.6B
29 Jun 2007,$8.88B
31 Jul 2007,$7.68B
31 Aug 2007,$7.05B
28 Sep 2007,$5.92B
31 Oct 2007,$5.48B
30 Nov 2007,$5.21B
31 Dec 2007,$5.26B
31 Jan 2008,$3.86B
29 Feb 2008,$4.38B
31 Mar 2008,$4.07B
30 Apr 2008,$4.5B
30 May 2008,$4.35B
30 Jun 2008,$3.52B
31 Jul 2008,$3.51B
29 Aug 2008,$3.65B
30 Sep 2008,$3.44B
31 Oct 2008,$2.17B
28 Nov 2008,$1.96B
31 Dec 2008,$2.25B
30 Jan 2009,$1.95B
27 Feb 2009,$1.89B
31 Mar 2009,$2.33B
30 Apr 2009,$2.46B
29 May 2009,$2.73B
30 Jun 2009,$2.76B
31 Jul 2009,$3.25B
31 Aug 2009,$3.66B
30 Sep 2009,$3.92B
30 Oct 2009,$3.25B
30 Nov 2009,$3.03B
31 Dec 2009,$3.79B
29 Jan 2010,$3.55B
26 Feb 2010,$3.33B
31 Mar 2010,$3.68B
30 Apr 2010,$3.74B
31 May 2010,$3.14B
30 Jun 2010,$2.97B
30 Jul 2010,$2.94B
31 Aug 2010,$2.51B
30 Sep 2010,$2.54B
29 Oct 2010,$2.34B
30 Nov 2010,$2.63B
31 Dec 2010,$2.81B
31 Jan 2011,$2.56B
28 Feb 2011,$2.59B
31 Mar 2011,$2.29B
29 Apr 2011,$2.44B
31 May 2011,$2.31B
30 Jun 2011,$2.25B
29 Jul 2011,$2.09B
31 Aug 2011,$1.51B
30 Sep 2011,$1.3B
31 Oct 2011,$1.43B
30 Nov 2011,$1.28B
30 Dec 2011,$1.12B
31 Jan 2012,$1.34B
29 Feb 2012,$1.75B
30 Mar 2012,$1.99B
30 Apr 2012,$2.05B
31 May 2012,$1.63B
29 Jun 2012,$1.88B
31 Jul 2012,$1.54B
31 Aug 2012,$1.74B
28 Sep 2012,$1.55B
31 Oct 2012,$1.54B
30 Nov 2012,$1.68B
31 Dec 2012,$2.06B
31 Jan 2013,$1.9B
28 Feb 2013,$2.04B
29 Mar 2013,$2.06B
30 Apr 2013,$2.24B
31 May 2013,$2.42B
28 Jun 2013,$2.51B
31 Jul 2013,$1.97B
30 Aug 2013,$1.86B
30 Sep 2013,$1.74B
31 Oct 2013,$1.8B
29 Nov 2013,$2.02B
31 Dec 2013,$2.01B
31 Jan 2014,$1.69B
28 Feb 2014,$1.7B
31 Mar 2014,$1.72B
30 Apr 2014,$1.73B
30 May 2014,$1.77B
30 Jun 2014,$1.92B
31 Jul 2014,$1.79B
29 Aug 2014,$1.86B
30 Sep 2014,$2.17B
31 Oct 2014,$1.97B
28 Nov 2014,$2.18B
31 Dec 2014,$2.32B
27 Feb 2015,$2.43B
31 Mar 2015,$2.34B
30 Apr 2015,$2.18B
29 May 2015,$2.29B
30 Jun 2015,$1.96B
31 Jul 2015,$1.67B
31 Aug 2015,$1.5B
30 Sep 2015,$1.32B
30 Oct 2015,$1.49B
30 Nov 2015,$1.72B
31 Dec 2015,$1.56B
29 Jan 2016,$1.7B
29 Feb 2016,$1.59B
31 Mar 2016,$1.6B
29 Apr 2016,$1.63B
31 May 2016,$1.9B
30 Jun 2016,$1.75B
29 Jul 2016,$2.11B
31 Aug 2016,$2.38B
30 Sep 2016,$2.1B
31 Oct 2016,$2.32B
30 Nov 2016,$2.39B
30 Dec 2016,$3.04B
31 Jan 2017,$3.26B
28 Feb 2017,$3.05B
31 Mar 2017,$3.24B
31 May 2017,$3.09B
30 Jun 2017,$3B
31 Jul 2017,$3.16B
31 Aug 2017,$2.86B
29 Sep 2017,$3.28B
31 Oct 2017,$4.01B
30 Nov 2017,$3.48B
29 Dec 2017,$3.26B
31 Jan 2018,$3.62B
28 Feb 2018,$3.53B
30 Mar 2018,$3.48B
30 Apr 2018,$4.14B
31 May 2018,$4.04B
29 Jun 2018,$3.64B
31 Jul 2018,$4.17B
31 Aug 2018,$4.2B
28 Sep 2018,$3.78B
31 Oct 2018,$3.28B
30 Nov 2018,$3.84B
31 Dec 2018,$3.54B
31 Jan 2019,$3.9B
28 Feb 2019,$4.15B
29 Mar 2019,$4.06B
30 Apr 2019,$5.48B
31 May 2019,$4.45B
28 Jun 2019,$5.17B
31 Jul 2019,$7.45B
30 Aug 2019,$7.61B
30 Sep 2019,$8.33B
31 Oct 2019,$8.62B
29 Nov 2019,$9.33B
31 Dec 2019,$10.74B
31 Jan 2020,$10.24B
28 Feb 2020,$8.57B
6 Mar 2020,$8.52B
31 Mar 2020,$7.59B
30 Apr 2020,$9.22B
29 May 2020,$9.31B
30 Jun 2020,$10.71B
17 Jul 2020,$11.72B
31 Jul 2020,$10.01B
20 Aug 2020,$8.96B
31 Aug 2020,$8.82B
30 Sep 2020,$8.85B
15 Oct 2020,$9.53B
22 Oct 2020,$9.58B
30 Oct 2020,$10.45B
5 Nov 2020,$11.02B
12 Nov 2020,$11.8B
26 Nov 2020,$12.64B
30 Nov 2020,$12.56B
18 Dec 2020,$12.39B
31 Dec 2020,$13.37B
8 Jan 2021,$14.58B
22 Jan 2021,$15.78B
29 Jan 2021,$14.34B
5 Feb 2021,$14.62B
15 Feb 2021,$16.09B
1 Mar 2021,$15.78B
18 Mar 2021,$16.14B
25 Mar 2021,$15.26B
31 Mar 2021,$16.74B
7 Apr 2021,$18.89B
13 Apr 2021,$18.39B
22 Apr 2021,$18.04B
7 May 2021,$17.83B
13 May 2021,$15.38B
19 May 2021,$15.81B
31 May 2021,$17.11B
4 Jun 2021,$17.85B
11 Jun 2021,$17.25B
30 Jun 2021,$17.34B
12 Jul 2021,$16.76B
20 Jul 2021,$15.81B
30 Jul 2021,$17.35B
6 Aug 2021,$18.23B
13 Aug 2021,$16.52B
20 Aug 2021,$15.83B
3 Sep 2021,$18.12B
10 Sep 2021,$19.84B
17 Sep 2021,$20.21B
24 Sep 2021,$19.73B
2 Oct 2021,$17.32B
9 Oct 2021,$15.89B
23 Oct 2021,$15.6B
30 Oct 2021,$16.02B
6 Nov 2021,$17.17B
13 Nov 2021,$17.25B
20 Nov 2021,$17.68B
4 Dec 2021,$17.42B
9 Dec 2021,$17.62B
