timeline,Rohm
31 Mar 2006,$12.51B
28 Apr 2006,$12.36B
31 May 2006,$10.45B
30 Jun 2006,$10.38B
31 Jul 2006,$9.97B
31 Aug 2006,$11.03B
29 Sep 2006,$11.04B
31 Oct 2006,$10.95B
30 Nov 2006,$10.76B
29 Dec 2006,$12.09B
31 Jan 2007,$11.16B
28 Feb 2007,$10.89B
30 Apr 2007,$10.95B
31 May 2007,$10.94B
29 Jun 2007,$11.02B
31 Jul 2007,$10.18B
31 Aug 2007,$10.36B
28 Sep 2007,$10.23B
31 Oct 2007,$10.06B
30 Nov 2007,$10.17B
31 Dec 2007,$9.74B
31 Jan 2008,$7.94B
29 Feb 2008,$7.69B
31 Mar 2008,$6.1B
30 Apr 2008,$7.19B
30 May 2008,$6.95B
30 Jun 2008,$6.11B
31 Jul 2008,$6.19B
29 Aug 2008,$6.36B
30 Sep 2008,$5.71B
31 Oct 2008,$4.89B
28 Nov 2008,$4.52B
30 Jan 2009,$4.55B
27 Feb 2009,$4.74B
31 Mar 2009,$4.91B
30 Apr 2009,$6.07B
29 May 2009,$6.17B
30 Jun 2009,$7.35B
31 Jul 2009,$7.29B
31 Aug 2009,$6.62B
30 Sep 2009,$6.55B
30 Oct 2009,$6.33B
30 Nov 2009,$6.02B
31 Dec 2009,$6.39B
29 Jan 2010,$6.41B
26 Feb 2010,$6.4B
31 Mar 2010,$6.75B
30 Apr 2010,$6.77B
31 May 2010,$5.62B
30 Jun 2010,$5.19B
30 Jul 2010,$5.32B
31 Aug 2010,$4.89B
30 Sep 2010,$5.03B
29 Oct 2010,$4.83B
30 Nov 2010,$4.91B
31 Dec 2010,$5.15B
31 Jan 2011,$5.13B
28 Feb 2011,$5.54B
31 Mar 2011,$4.96B
29 Apr 2011,$4.62B
31 May 2011,$4.4B
30 Jun 2011,$4.29B
29 Jul 2011,$4.19B
31 Aug 2011,$3.63B
30 Sep 2011,$3.74B
31 Oct 2011,$3.79B
30 Nov 2011,$3.43B
30 Dec 2011,$3.32B
31 Jan 2012,$3.49B
29 Feb 2012,$3.8B
30 Mar 2012,$3.88B
30 Apr 2012,$3.46B
31 May 2012,$2.69B
29 Jun 2012,$2.91B
31 Jul 2012,$2.66B
31 Aug 2012,$2.43B
28 Sep 2012,$2.51B
31 Oct 2012,$2.44B
30 Nov 2012,$2.22B
31 Dec 2012,$2.65B
31 Jan 2013,$2.9B
28 Feb 2013,$3.16B
29 Mar 2013,$3.25B
30 Apr 2013,$3.26B
31 May 2013,$3.56B
28 Jun 2013,$3.83B
31 Jul 2013,$3.6B
30 Aug 2013,$3.3B
30 Sep 2013,$3.83B
31 Oct 2013,$3.82B
29 Nov 2013,$4.23B
31 Dec 2013,$4.87B
31 Jan 2014,$4.92B
28 Feb 2014,$5B
31 Mar 2014,$4.38B
30 Apr 2014,$4.63B
30 May 2014,$5.51B
30 Jun 2014,$5.52B
31 Jul 2014,$5.62B
29 Aug 2014,$6.31B
30 Sep 2014,$6.56B
31 Oct 2014,$6.34B
28 Nov 2014,$7.3B
31 Dec 2014,$7B
30 Jan 2015,$7.27B
27 Feb 2015,$7.33B
31 Mar 2015,$7.82B
30 Apr 2015,$7.93B
29 May 2015,$8.37B
30 Jun 2015,$7.8B
31 Jul 2015,$6.82B
31 Aug 2015,$6.26B
30 Sep 2015,$5.03B
30 Oct 2015,$5.73B
30 Nov 2015,$6.29B
31 Dec 2015,$5.87B
29 Jan 2016,$5.12B
29 Feb 2016,$4.58B
31 Mar 2016,$4.42B
29 Apr 2016,$4.57B
31 May 2016,$4.42B
30 Jun 2016,$3.66B
29 Jul 2016,$4.05B
31 Aug 2016,$4.72B
30 Sep 2016,$4.82B
31 Oct 2016,$5.05B
30 Nov 2016,$5.71B
30 Dec 2016,$6.15B
31 Jan 2017,$6.61B
28 Feb 2017,$6.63B
31 Mar 2017,$6.9B
28 Apr 2017,$7.29B
31 May 2017,$8.29B
30 Jun 2017,$8.05B
31 Jul 2017,$7.97B
