timeline,Hamamatsu
29 Sep 2006,$2.47B
31 Oct 2006,$2.31B
30 Nov 2006,$2.28B
29 Dec 2006,$2.44B
28 Feb 2007,$2.37B
30 Mar 2007,$2.44B
30 Apr 2007,$2.37B
31 May 2007,$2.56B
29 Jun 2007,$2.64B
31 Jul 2007,$2.56B
31 Aug 2007,$2.41B
28 Sep 2007,$2.26B
31 Oct 2007,$2.55B
30 Nov 2007,$2.75B
31 Dec 2007,$2.62B
31 Jan 2008,$2.6B
29 Feb 2008,$2.26B
31 Mar 2008,$1.97B
30 Apr 2008,$2.24B
30 May 2008,$2.22B
30 Jun 2008,$1.95B
31 Jul 2008,$2.04B
29 Aug 2008,$1.92B
30 Sep 2008,$1.8B
31 Oct 2008,$1.53B
28 Nov 2008,$1.27B
31 Dec 2008,$1.21B
30 Jan 2009,$1.08B
27 Feb 2009,$1.12B
31 Mar 2009,$1.31B
30 Apr 2009,$1.4B
29 May 2009,$1.33B
30 Jun 2009,$1.31B
31 Jul 2009,$1.32B
31 Aug 2009,$1.41B
30 Sep 2009,$1.52B
30 Oct 2009,$1.62B
30 Nov 2009,$1.41B
31 Dec 2009,$1.59B
29 Jan 2010,$1.53B
26 Feb 2010,$1.54B
31 Mar 2010,$1.87B
30 Apr 2010,$1.91B
31 May 2010,$1.75B
30 Jun 2010,$1.76B
30 Jul 2010,$1.79B
31 Aug 2010,$1.81B
30 Sep 2010,$1.93B
29 Oct 2010,$1.84B
30 Nov 2010,$1.95B
31 Dec 2010,$2.1B
31 Jan 2011,$2.13B
28 Feb 2011,$2.23B
31 Mar 2011,$2.34B
29 Apr 2011,$2.25B
31 May 2011,$2.35B
30 Jun 2011,$2.46B
31 Aug 2011,$2.2B
30 Sep 2011,$2.23B
31 Oct 2011,$2.15B
30 Nov 2011,$1.98B
30 Dec 2011,$1.91B
31 Jan 2012,$1.94B
29 Feb 2012,$2.05B
30 Mar 2012,$2.22B
30 Apr 2012,$2.26B
31 May 2012,$1.94B
29 Jun 2012,$1.9B
31 Jul 2012,$1.95B
31 Aug 2012,$1.96B
28 Sep 2012,$1.9B
31 Oct 2012,$1.96B
30 Nov 2012,$2.06B
31 Dec 2012,$2.21B
31 Jan 2013,$2.48B
28 Feb 2013,$2.61B
29 Mar 2013,$2.69B
30 Apr 2013,$2.84B
31 May 2013,$2.41B
28 Jun 2013,$2.54B
31 Jul 2013,$2.41B
30 Aug 2013,$2.25B
30 Sep 2013,$2.62B
31 Oct 2013,$2.6B
29 Nov 2013,$2.86B
31 Dec 2013,$2.98B
31 Jan 2014,$3.07B
28 Feb 2014,$2.93B
31 Mar 2014,$3.3B
30 Apr 2014,$3.26B
30 May 2014,$3.48B
30 Jun 2014,$3.52B
31 Jul 2014,$3.47B
29 Aug 2014,$3.5B
30 Sep 2014,$3.69B
31 Oct 2014,$3.56B
28 Nov 2014,$4.25B
31 Dec 2014,$4.1B
30 Jan 2015,$3.96B
27 Feb 2015,$4.72B
31 Mar 2015,$5.15B
30 Apr 2015,$4.96B
29 May 2015,$5.44B
30 Jun 2015,$5.12B
31 Jul 2015,$4.58B
31 Aug 2015,$4.26B
30 Sep 2015,$3.83B
30 Oct 2015,$4.39B
30 Nov 2015,$4.37B
31 Dec 2015,$4.73B
29 Jan 2016,$4.2B
29 Feb 2016,$3.93B
31 Mar 2016,$4.4B
29 Apr 2016,$4.37B
31 May 2016,$4.28B
30 Jun 2016,$4.05B
29 Jul 2016,$4.32B
31 Aug 2016,$4.61B
30 Sep 2016,$4.28B
31 Oct 2016,$4.41B
30 Nov 2016,$4.21B
30 Dec 2016,$4.26B
31 Jan 2017,$4.53B
28 Feb 2017,$4.59B
31 Mar 2017,$4.45B
28 Apr 2017,$4.54B
31 May 2017,$4.89B
