timeline,Nitto Denko
31 Mar 2006,$15.3B
28 Apr 2006,$14.63B
31 May 2006,$13.17B
30 Jun 2006,$12.49B
31 Jul 2006,$12.76B
31 Aug 2006,$12.91B
29 Sep 2006,$10.72B
31 Oct 2006,$10.22B
30 Nov 2006,$8.56B
29 Dec 2006,$9.13B
31 Jan 2007,$9.05B
28 Feb 2007,$9.27B
30 Mar 2007,$8.47B
30 Apr 2007,$7.74B
31 May 2007,$8.81B
29 Jun 2007,$9.05B
31 Jul 2007,$9.14B
31 Aug 2007,$7.86B
28 Sep 2007,$7.77B
31 Oct 2007,$8.14B
30 Nov 2007,$8.36B
31 Dec 2007,$8.62B
31 Jan 2008,$7.56B
29 Feb 2008,$7.51B
31 Mar 2008,$6.13B
30 Apr 2008,$6.27B
30 May 2008,$7.29B
30 Jun 2008,$5.94B
31 Jul 2008,$4.53B
29 Aug 2008,$4.8B
30 Sep 2008,$3.84B
31 Oct 2008,$3.12B
28 Nov 2008,$2.32B
31 Dec 2008,$2.48B
30 Jan 2009,$2.46B
27 Feb 2009,$2.59B
31 Mar 2009,$2.92B
30 Apr 2009,$3.33B
29 May 2009,$3.88B
30 Jun 2009,$4.32B
31 Jul 2009,$4.48B
31 Aug 2009,$4.14B
30 Sep 2009,$4.04B
30 Oct 2009,$4.08B
30 Nov 2009,$4.07B
31 Dec 2009,$4.88B
29 Jan 2010,$5.1B
26 Feb 2010,$4.81B
31 Mar 2010,$5.33B
30 Apr 2010,$5.43B
31 May 2010,$4.77B
30 Jun 2010,$4.32B
30 Jul 2010,$4.4B
31 Aug 2010,$3.96B
30 Sep 2010,$4.8B
29 Oct 2010,$4.42B
30 Nov 2010,$5.1B
31 Dec 2010,$5.62B
31 Jan 2011,$6.01B
28 Feb 2011,$7.23B
31 Mar 2011,$6.39B
29 Apr 2011,$6.24B
31 May 2011,$6.15B
30 Jun 2011,$5.89B
29 Jul 2011,$5.39B
31 Aug 2011,$4.3B
30 Sep 2011,$4.48B
31 Oct 2011,$4.87B
30 Nov 2011,$4.51B
30 Dec 2011,$3.99B
31 Jan 2012,$3.92B
29 Feb 2012,$4.84B
30 Mar 2012,$5.11B
30 Apr 2012,$5.07B
31 May 2012,$4.87B
29 Jun 2012,$5.17B
31 Jul 2012,$4.96B
31 Aug 2012,$5.24B
28 Sep 2012,$5.39B
31 Oct 2012,$5.25B
30 Nov 2012,$6.23B
31 Dec 2012,$6.12B
31 Jan 2013,$7.48B
28 Feb 2013,$7.9B
29 Mar 2013,$8.08B
30 Apr 2013,$9.3B
31 May 2013,$8.89B
28 Jun 2013,$9.27B
31 Jul 2013,$8.04B
30 Aug 2013,$7.61B
30 Sep 2013,$9.29B
31 Oct 2013,$7.45B
29 Nov 2013,$7.57B
31 Dec 2013,$6.44B
31 Jan 2014,$6.69B
28 Feb 2014,$6.91B
31 Mar 2014,$7.19B
30 Apr 2014,$6.42B
30 May 2014,$6.83B
30 Jun 2014,$6.91B
31 Jul 2014,$6.81B
29 Aug 2014,$7.93B
30 Sep 2014,$8.75B
31 Oct 2014,$8.66B
28 Nov 2014,$9.11B
31 Dec 2014,$9.85B
30 Jan 2015,$10.31B
27 Feb 2015,$11.03B
31 Mar 2015,$11.69B
30 Apr 2015,$11.21B
29 May 2015,$14.06B
30 Jun 2015,$14.65B
31 Jul 2015,$13.67B
31 Aug 2015,$11.9B
30 Sep 2015,$10.37B
30 Oct 2015,$11.39B
30 Nov 2015,$12.08B
31 Dec 2015,$12.98B
29 Jan 2016,$9.93B
29 Feb 2016,$8.7B
31 Mar 2016,$8.95B
29 Apr 2016,$8.64B
31 May 2016,$10.43B
30 Jun 2016,$9.21B
29 Jul 2016,$9.89B
31 Aug 2016,$10.11B
30 Sep 2016,$9.31B
31 Oct 2016,$10.48B
30 Nov 2016,$11.3B
30 Dec 2016,$12.83B
31 Jan 2017,$12.8B
28 Feb 2017,$13.54B
31 Mar 2017,$12.31B
28 Apr 2017,$12.01B
31 May 2017,$12.72B
30 Jun 2017,$13.22B
31 Jul 2017,$14.11B
31 Aug 2017,$13.88B
29 Sep 2017,$13.43B
31 Oct 2017,$15.03B
30 Nov 2017,$15.79B
29 Dec 2017,$14.33B
31 Jan 2018,$14.28B
28 Feb 2018,$12.66B
30 Mar 2018,$11.34B
30 Apr 2018,$11.44B
31 May 2018,$11.93B
29 Jun 2018,$11.69B
31 Jul 2018,$11.17B
31 Aug 2018,$11.93B
28 Sep 2018,$11.77B
31 Oct 2018,$9.79B
30 Nov 2018,$8.58B
31 Dec 2018,$7.66B
31 Jan 2019,$8.49B
28 Feb 2019,$8.22B
29 Mar 2019,$8.04B
30 Apr 2019,$8.28B
31 May 2019,$6.57B
28 Jun 2019,$7.35B
31 Jul 2019,$7.45B
30 Aug 2019,$6.84B
30 Sep 2019,$7.2B
31 Oct 2019,$8.35B
29 Nov 2019,$8.49B
31 Dec 2019,$8.55B
31 Jan 2020,$8.56B
28 Feb 2020,$7.5B
1 Apr 2020,$6.39B
30 Apr 2020,$7.25B
3 Jun 2020,$8.12B
30 Jun 2020,$8.01B
17 Jul 2020,$7.92B
