timeline,Mitsubishi Heavy Industries
31 Jan 2001,$14.49B
28 Feb 2001,$13.83B
30 Mar 2001,$13.72B
30 Apr 2001,$15.02B
31 May 2001,$15.05B
29 Jun 2001,$16.93B
31 Jul 2001,$14.07B
31 Aug 2001,$14.43B
28 Sep 2001,$12.05B
31 Oct 2001,$12.26B
30 Nov 2001,$10.15B
31 Dec 2001,$10.41B
31 Jan 2002,$9.97B
28 Feb 2002,$10.89B
29 Mar 2002,$12.86B
30 Apr 2002,$12.11B
31 May 2002,$12.94B
28 Jun 2002,$10.8B
31 Jul 2002,$9.55B
30 Aug 2002,$10.21B
30 Sep 2002,$9.88B
31 Oct 2002,$7.74B
29 Nov 2002,$9.25B
31 Dec 2002,$8.63B
31 Jan 2003,$8.57B
28 Feb 2003,$9.61B
31 Mar 2003,$8.45B
30 Apr 2003,$7.89B
30 May 2003,$7.59B
30 Jun 2003,$9.25B
31 Jul 2003,$9.52B
29 Aug 2003,$11.22B
30 Sep 2003,$9.64B
31 Oct 2003,$8.99B
28 Nov 2003,$8.69B
31 Dec 2003,$8.87B
30 Jan 2004,$9.25B
27 Feb 2004,$9.52B
31 Mar 2004,$10.06B
30 Apr 2004,$9.05B
31 May 2004,$8.75B
30 Jun 2004,$8.81B
30 Jul 2004,$8.66B
31 Aug 2004,$8.84B
30 Sep 2004,$9.25B
29 Oct 2004,$8.87B
30 Nov 2004,$8.78B
31 Dec 2004,$8.66B
31 Jan 2005,$8.36B
28 Feb 2005,$8.39B
31 Mar 2005,$8.48B
29 Apr 2005,$8.3B
31 May 2005,$8.33B
30 Jun 2005,$8.63B
29 Jul 2005,$8.39B
31 Aug 2005,$9.25B
30 Sep 2005,$11.96B
31 Oct 2005,$13.03B
30 Nov 2005,$15.03B
30 Dec 2005,$15.47B
31 Jan 2006,$15.8B
28 Feb 2006,$16.37B
31 Mar 2006,$16.66B
28 Apr 2006,$16.78B
31 May 2006,$14.76B
30 Jun 2006,$14.7B
31 Jul 2006,$13.96B
31 Aug 2006,$14.64B
29 Sep 2006,$14.55B
31 Oct 2006,$15.53B
30 Nov 2006,$14.97B
29 Dec 2006,$16.1B
31 Jan 2007,$18.45B
28 Feb 2007,$19.91B
30 Mar 2007,$22.67B
30 Apr 2007,$22.08B
31 May 2007,$21.99B
29 Jun 2007,$23.54B
31 Jul 2007,$25.09B
31 Aug 2007,$21.1B
28 Sep 2007,$22.35B
31 Oct 2007,$19.76B
30 Nov 2007,$15.92B
31 Dec 2007,$14.31B
31 Jan 2008,$12.94B
29 Feb 2008,$14.85B
31 Mar 2008,$12.68B
30 Apr 2008,$14.34B
30 May 2008,$15.83B
30 Jun 2008,$15.06B
31 Jul 2008,$14.28B
29 Aug 2008,$15.65B
30 Sep 2008,$13.27B
31 Oct 2008,$9.22B
28 Nov 2008,$11.52B
31 Dec 2008,$11.75B
30 Jan 2009,$10.27B
27 Feb 2009,$8.27B
31 Mar 2009,$8.82B
30 Apr 2009,$9.5B
