timeline,Japan Post Insurance
30 Nov 2015,$17.78B
31 Dec 2015,$16.49B
29 Jan 2016,$14.51B
29 Feb 2016,$13.09B
31 Mar 2016,$13.77B
29 Apr 2016,$13.35B
31 May 2016,$13.18B
30 Jun 2016,$11.07B
29 Jul 2016,$11.81B
31 Aug 2016,$11.57B
30 Sep 2016,$11.63B
31 Oct 2016,$11.65B
30 Nov 2016,$12.22B
30 Dec 2016,$13.24B
31 Jan 2017,$13.68B
28 Feb 2017,$14.33B
31 Mar 2017,$13.5B
28 Apr 2017,$13.43B
31 May 2017,$12.58B
30 Jun 2017,$13.11B
31 Jul 2017,$12.83B
31 Aug 2017,$12.53B
29 Sep 2017,$12.75B
31 Oct 2017,$12.95B
30 Nov 2017,$12.94B
29 Dec 2017,$14.04B
31 Jan 2018,$15.26B
28 Feb 2018,$14.34B
30 Mar 2018,$13.2B
30 Apr 2018,$14.24B
31 May 2018,$12.82B
29 Jun 2018,$12.05B
31 Jul 2018,$12.55B
31 Aug 2018,$13.19B
28 Sep 2018,$14.25B
31 Oct 2018,$14.24B
30 Nov 2018,$15.16B
31 Dec 2018,$13.48B
31 Jan 2019,$13.13B
28 Feb 2019,$13.33B
29 Mar 2019,$12.67B
30 Apr 2019,$11.14B
31 May 2019,$10.28B
28 Jun 2019,$9.25B
31 Jul 2019,$8.42B
30 Aug 2019,$7.07B
30 Sep 2019,$8.09B
31 Oct 2019,$8.5B
29 Nov 2019,$9.34B
31 Dec 2019,$9.24B
31 Jan 2020,$9.19B
28 Feb 2020,$8.22B
31 Mar 2020,$6.65B
30 Apr 2020,$6.86B
29 May 2020,$6.79B
2 Jun 2020,$6.91B
30 Jun 2020,$7.01B
8 Jul 2020,$7.07B
31 Jul 2020,$6.93B
20 Aug 2020,$7.96B
31 Aug 2020,$8.4B
24 Sep 2020,$8.48B
30 Sep 2020,$8.19B
15 Oct 2020,$8.75B
22 Oct 2020,$8.72B
30 Oct 2020,$8.19B
12 Nov 2020,$8.56B
26 Nov 2020,$8.93B
30 Nov 2020,$8.63B
3 Dec 2020,$8.99B
9 Dec 2020,$9.19B
16 Dec 2020,$9.38B
23 Dec 2020,$10.11B
31 Dec 2020,$10.48B
5 Jan 2021,$10.85B
12 Jan 2021,$11.11B
18 Jan 2021,$11.16B
25 Jan 2021,$11.01B
29 Jan 2021,$10.18B
1 Feb 2021,$10.56B
15 Feb 2021,$10.79B
26 Feb 2021,$10.81B
11 Mar 2021,$11.22B
25 Mar 2021,$11.77B
31 Mar 2021,$11.28B
1 Apr 2021,$11.13B
7 Apr 2021,$11.07B
16 Apr 2021,$10.55B
22 Apr 2021,$10.42B
30 Apr 2021,$10.45B
7 May 2021,$10.85B
13 May 2021,$10.75B
19 May 2021,$11.46B
26 May 2021,$10.58B
31 May 2021,$10.42B
4 Jun 2021,$11.12B
11 Jun 2021,$10.57B
30 Jun 2021,$7.24B
12 Jul 2021,$6.98B
20 Jul 2021,$6.78B
30 Jul 2021,$7.07B
6 Aug 2021,$7B
13 Aug 2021,$6.91B
20 Aug 2021,$6.97B
27 Aug 2021,$7.19B
3 Sep 2021,$7.48B
17 Sep 2021,$7.6B
24 Sep 2021,$7.5B
2 Oct 2021,$7.15B
9 Oct 2021,$7.19B
16 Oct 2021,$6.76B
23 Oct 2021,$6.61B
30 Oct 2021,$6.5B
6 Nov 2021,$6.27B
13 Nov 2021,$6.47B
20 Nov 2021,$6.29B
27 Nov 2021,$6.24B
4 Dec 2021,$6.27B
10 Dec 2021,$6.33B
