timeline,Mazda
31 Jan 2001,$3.12B
28 Feb 2001,$3.29B
30 Apr 2001,$3.6B
31 May 2001,$3.26B
29 Jun 2001,$3.36B
31 Jul 2001,$2.68B
31 Aug 2001,$2.64B
28 Sep 2001,$1.73B
31 Oct 2001,$2.28B
30 Nov 2001,$2.32B
31 Dec 2001,$2.51B
31 Jan 2002,$2.86B
28 Feb 2002,$3.57B
29 Mar 2002,$3.44B
30 Apr 2002,$4.14B
31 May 2002,$3.88B
28 Jun 2002,$3.42B
31 Jul 2002,$3.69B
30 Aug 2002,$3.42B
30 Sep 2002,$3.08B
31 Oct 2002,$2.95B
29 Nov 2002,$2.67B
31 Dec 2002,$2.37B
31 Jan 2003,$2.67B
28 Feb 2003,$2.7B
31 Mar 2003,$2.3B
30 Apr 2003,$2.26B
30 May 2003,$2.58B
30 Jun 2003,$3.15B
31 Jul 2003,$3.21B
29 Aug 2003,$3.31B
30 Sep 2003,$3.04B
28 Nov 2003,$2.89B
31 Dec 2003,$3.09B
30 Jan 2004,$3.31B
27 Feb 2004,$3.63B
31 Mar 2004,$3.74B
30 Apr 2004,$3.78B
31 May 2004,$3.74B
30 Jun 2004,$4.14B
30 Jul 2004,$4.12B
31 Aug 2004,$3.84B
30 Sep 2004,$3.68B
29 Oct 2004,$3.39B
30 Nov 2004,$3.41B
31 Dec 2004,$3.47B
31 Jan 2005,$3.74B
28 Feb 2005,$3.89B
31 Mar 2005,$3.95B
29 Apr 2005,$4.01B
31 May 2005,$4.43B
30 Jun 2005,$4.5B
29 Jul 2005,$4.85B
31 Aug 2005,$4.71B
30 Sep 2005,$5.38B
31 Oct 2005,$5.89B
30 Nov 2005,$5.64B
30 Dec 2005,$5.83B
31 Jan 2006,$5.86B
28 Feb 2006,$7.19B
31 Mar 2006,$8.88B
28 Apr 2006,$9.25B
31 May 2006,$8.35B
30 Jun 2006,$8.9B
31 Jul 2006,$9.26B
31 Aug 2006,$9.33B
29 Sep 2006,$8.89B
31 Oct 2006,$9.82B
30 Nov 2006,$9.86B
29 Dec 2006,$10.09B
31 Jan 2007,$9.83B
28 Feb 2007,$8.66B
30 Mar 2007,$8.14B
30 Apr 2007,$7.54B
31 May 2007,$8.41B
29 Jun 2007,$8.77B
31 Jul 2007,$8.5B
31 Aug 2007,$7.28B
28 Sep 2007,$7.25B
31 Oct 2007,$8.57B
30 Nov 2007,$7.45B
31 Dec 2007,$6.96B
31 Jan 2008,$5.6B
29 Feb 2008,$5.43B
31 Mar 2008,$4.39B
30 Apr 2008,$5.59B
30 May 2008,$6.84B
30 Jun 2008,$6.85B
31 Jul 2008,$7.78B
29 Aug 2008,$7.3B
30 Sep 2008,$5.2B
31 Oct 2008,$2.65B
28 Nov 2008,$2.04B
31 Dec 2008,$1.85B
30 Jan 2009,$1.77B
27 Feb 2009,$1.57B
31 Mar 2009,$1.9B
30 Apr 2009,$2.81B
29 May 2009,$2.86B
31 Jul 2009,$2.87B
31 Aug 2009,$2.98B
30 Sep 2009,$2.33B
30 Oct 2009,$2.44B
30 Nov 2009,$2.13B
31 Dec 2009,$2.45B
29 Jan 2010,$2.83B
26 Feb 2010,$2.71B
31 Mar 2010,$4.11B
30 Apr 2010,$4.37B
31 May 2010,$3.7B
30 Jun 2010,$3.28B
30 Jul 2010,$3.26B
31 Aug 2010,$2.94B
30 Sep 2010,$3.14B
29 Oct 2010,$3.2B
30 Nov 2010,$3.64B
31 Jan 2011,$3.78B
28 Feb 2011,$3.28B
31 Mar 2011,$2.86B
29 Apr 2011,$2.89B
31 May 2011,$3.2B
30 Jun 2011,$3.29B
29 Jul 2011,$3.33B
31 Aug 2011,$2.55B
