timeline,Subaru
31 Jan 2001,$4.66B
28 Feb 2001,$4.69B
30 Mar 2001,$5.49B
30 Apr 2001,$5.92B
31 May 2001,$5.46B
29 Jun 2001,$6.04B
31 Jul 2001,$5.53B
31 Aug 2001,$5.24B
28 Sep 2001,$3.41B
31 Oct 2001,$3.94B
30 Nov 2001,$3.42B
31 Dec 2001,$3.7B
31 Jan 2002,$4.01B
28 Feb 2002,$4.67B
29 Mar 2002,$4.11B
30 Apr 2002,$4.26B
31 May 2002,$3.94B
28 Jun 2002,$3.76B
31 Jul 2002,$3.36B
30 Aug 2002,$3.09B
30 Sep 2002,$2.81B
31 Oct 2002,$2.47B
29 Nov 2002,$2.86B
31 Dec 2002,$3.09B
31 Jan 2003,$2.86B
28 Feb 2003,$3B
31 Mar 2003,$2.87B
30 Apr 2003,$2.81B
30 May 2003,$2.99B
30 Jun 2003,$3.57B
31 Jul 2003,$3.9B
29 Aug 2003,$3.78B
30 Sep 2003,$3.76B
31 Oct 2003,$3.28B
28 Nov 2003,$3.42B
30 Jan 2004,$3.23B
27 Feb 2004,$3.53B
31 Mar 2004,$3.89B
30 Apr 2004,$3.66B
31 May 2004,$3.75B
30 Jun 2004,$4.22B
30 Jul 2004,$4.21B
31 Aug 2004,$3.82B
30 Sep 2004,$3.84B
29 Oct 2004,$3.55B
30 Nov 2004,$3.29B
31 Dec 2004,$3.45B
31 Jan 2005,$3.38B
28 Feb 2005,$3.37B
31 Mar 2005,$3.62B
29 Apr 2005,$3.32B
31 May 2005,$3.14B
30 Jun 2005,$3.19B
29 Jul 2005,$3.33B
31 Aug 2005,$3.32B
30 Sep 2005,$3.54B
31 Oct 2005,$4.02B
30 Nov 2005,$4.42B
31 Jan 2006,$4.23B
28 Feb 2006,$4.35B
31 Mar 2006,$4.78B
28 Apr 2006,$4.91B
31 May 2006,$4.59B
30 Jun 2006,$4.62B
31 Jul 2006,$4.87B
31 Aug 2006,$4.69B
29 Sep 2006,$4.64B
31 Oct 2006,$4.66B
30 Nov 2006,$4.15B
29 Dec 2006,$4.22B
31 Jan 2007,$4.36B
28 Feb 2007,$4.46B
30 Mar 2007,$4.22B
30 Apr 2007,$4.11B
31 May 2007,$4.04B
29 Jun 2007,$4.07B
31 Jul 2007,$3.85B
31 Aug 2007,$3.35B
28 Sep 2007,$3.49B
31 Oct 2007,$4.11B
30 Nov 2007,$3.8B
31 Dec 2007,$3.6B
31 Jan 2008,$2.93B
29 Feb 2008,$3.19B
31 Mar 2008,$2.64B
30 Apr 2008,$2.82B
30 May 2008,$3.13B
30 Jun 2008,$3.29B
31 Jul 2008,$3.69B
29 Aug 2008,$3.99B
30 Sep 2008,$3.3B
31 Oct 2008,$2.13B
28 Nov 2008,$1.82B
31 Dec 2008,$1.51B
30 Jan 2009,$1.68B
27 Feb 2009,$2.01B
31 Mar 2009,$2.21B
30 Apr 2009,$2.71B
29 May 2009,$2.58B
30 Jun 2009,$2.69B
31 Jul 2009,$2.62B
31 Aug 2009,$2.76B
30 Sep 2009,$2.4B
30 Oct 2009,$2.5B
30 Nov 2009,$2.36B
31 Dec 2009,$3.09B
29 Jan 2010,$2.92B
26 Feb 2010,$2.78B
31 Mar 2010,$3.32B
30 Apr 2010,$3.64B
31 May 2010,$3.6B
30 Jun 2010,$3.3B
30 Jul 2010,$3.28B
31 Aug 2010,$3.24B
30 Sep 2010,$3.65B
29 Oct 2010,$3.83B
30 Nov 2010,$4.26B
