timeline,Shimano
29 Dec 2006,$2.98B
31 Jan 2007,$3.02B
28 Feb 2007,$3.05B
30 Mar 2007,$3.14B
30 Apr 2007,$3.39B
31 May 2007,$3.52B
29 Jun 2007,$3.65B
31 Jul 2007,$3.29B
31 Aug 2007,$3.2B
28 Sep 2007,$3.44B
31 Oct 2007,$3.61B
30 Nov 2007,$3.56B
31 Dec 2007,$3.41B
31 Jan 2008,$3.44B
29 Feb 2008,$3.73B
31 Mar 2008,$3.89B
30 Apr 2008,$3.94B
30 May 2008,$4.28B
30 Jun 2008,$4.54B
31 Jul 2008,$4.23B
29 Aug 2008,$3.73B
30 Sep 2008,$3.02B
31 Oct 2008,$2.59B
28 Nov 2008,$3.03B
31 Dec 2008,$2.97B
30 Jan 2009,$2.62B
27 Feb 2009,$2.67B
31 Mar 2009,$2.59B
30 Apr 2009,$2.45B
29 May 2009,$2.93B
30 Jun 2009,$3.15B
31 Jul 2009,$3.25B
31 Aug 2009,$3.39B
30 Sep 2009,$3.28B
30 Oct 2009,$2.98B
30 Nov 2009,$3.04B
31 Dec 2009,$3.14B
29 Jan 2010,$3.09B
26 Feb 2010,$3.26B
31 Mar 2010,$3.47B
30 Apr 2010,$3.56B
31 May 2010,$3.13B
30 Jun 2010,$3.2B
30 Jul 2010,$3.67B
31 Aug 2010,$3.43B
30 Sep 2010,$3.73B
29 Oct 2010,$3.38B
30 Nov 2010,$3.47B
31 Dec 2010,$3.44B
31 Jan 2011,$3.39B
28 Feb 2011,$3.36B
31 Mar 2011,$3.4B
29 Apr 2011,$3.56B
31 May 2011,$3.48B
30 Jun 2011,$3.63B
29 Jul 2011,$3.36B
31 Aug 2011,$3.23B
30 Sep 2011,$3.36B
31 Oct 2011,$3.26B
30 Nov 2011,$3.03B
30 Dec 2011,$3.05B
31 Jan 2012,$3.1B
29 Feb 2012,$3.92B
30 Mar 2012,$4.08B
30 Apr 2012,$4.32B
31 May 2012,$3.84B
29 Jun 2012,$4.22B
31 Jul 2012,$4.29B
31 Aug 2012,$4.67B
28 Sep 2012,$4.57B
31 Oct 2012,$4.05B
30 Nov 2012,$4.44B
31 Dec 2012,$4.51B
31 Jan 2013,$5.06B
28 Feb 2013,$5.44B
29 Mar 2013,$6.49B
30 Apr 2013,$6.87B
31 May 2013,$6.45B
28 Jun 2013,$6.87B
31 Jul 2013,$7.23B
30 Aug 2013,$6.66B
30 Sep 2013,$7.17B
31 Oct 2013,$7.03B
29 Nov 2013,$7.44B
31 Dec 2013,$7.38B
31 Jan 2014,$7.46B
28 Feb 2014,$7.53B
31 Mar 2014,$8.48B
30 Apr 2014,$8.34B
30 May 2014,$8.58B
30 Jun 2014,$9.19B
31 Jul 2014,$9.89B
29 Aug 2014,$10.14B
30 Sep 2014,$10.9B
31 Oct 2014,$11.98B
28 Nov 2014,$13.16B
31 Dec 2014,$12.79B
30 Jan 2015,$12.8B
27 Feb 2015,$14.71B
31 Mar 2015,$14.61B
30 Apr 2015,$13.98B
29 May 2015,$14.44B
30 Jun 2015,$13.65B
31 Jul 2015,$14.07B
31 Aug 2015,$13.35B
30 Sep 2015,$13.68B
30 Oct 2015,$15.68B
30 Nov 2015,$14.93B
31 Dec 2015,$15.25B
29 Jan 2016,$15.53B
29 Feb 2016,$14.43B
31 Mar 2016,$14.42B
29 Apr 2016,$13.14B
31 May 2016,$14.13B
30 Jun 2016,$12.69B
29 Jul 2016,$13.28B
31 Aug 2016,$12.29B
30 Sep 2016,$12.19B
31 Oct 2016,$14.68B
30 Nov 2016,$15.36B
30 Dec 2016,$14.99B
31 Jan 2017,$14.56B
28 Feb 2017,$13.57B
31 Mar 2017,$13.28B
28 Apr 2017,$13.92B
31 May 2017,$14.06B
30 Jun 2017,$14.53B
31 Jul 2017,$13.22B
31 Aug 2017,$12.15B
29 Sep 2017,$12.25B
31 Oct 2017,$12.64B
30 Nov 2017,$12.68B
29 Dec 2017,$12.95B
31 Jan 2018,$12.75B
28 Feb 2018,$12.65B
30 Mar 2018,$12.54B
30 Apr 2018,$11.88B
31 May 2018,$12.58B
29 Jun 2018,$13.29B
31 Jul 2018,$13.12B
31 Aug 2018,$14.01B
28 Sep 2018,$14.96B
31 Oct 2018,$12.62B
30 Nov 2018,$13.55B
31 Dec 2018,$12.68B
31 Jan 2019,$12.44B
28 Feb 2019,$13.82B
29 Mar 2019,$14.71B
30 Apr 2019,$13.31B
31 May 2019,$13.6B
28 Jun 2019,$13.1B
31 Jul 2019,$12.61B
30 Aug 2019,$12.48B
30 Sep 2019,$13.31B
31 Oct 2019,$14.79B
29 Nov 2019,$14.47B
31 Dec 2019,$14.52B
31 Jan 2020,$13.78B
28 Feb 2020,$12.36B
31 Mar 2020,$12.62B
1 May 2020,$12.7B
29 May 2020,$16.19B
5 Jun 2020,$16.28B
30 Jun 2020,$16.96B
14 Jul 2020,$17.49B
31 Jul 2020,$18.8B
12 Aug 2020,$18.35B
28 Aug 2020,$18.2B
31 Aug 2020,$18.35B
25 Sep 2020,$17.4B
30 Sep 2020,$16.93B
16 Oct 2020,$16.71B
22 Oct 2020,$16.48B
30 Oct 2020,$19.42B
6 Nov 2020,$20.24B
13 Nov 2020,$19.12B
20 Nov 2020,$19.16B
30 Nov 2020,$20.22B
4 Dec 2020,$19.94B
18 Dec 2020,$19.5B
25 Dec 2020,$19.81B
31 Dec 2020,$19.68B
15 Jan 2021,$20.47B
22 Jan 2021,$21.47B
29 Jan 2021,$20.11B
5 Feb 2021,$20.08B
26 Feb 2021,$19.46B
11 Mar 2021,$19.81B
17 Mar 2021,$20.86B
23 Mar 2021,$21.06B
31 Mar 2021,$21.56B
7 Apr 2021,$21.07B
16 Apr 2021,$22.09B
30 Apr 2021,$20.46B
7 May 2021,$20.56B
14 May 2021,$19.62B
20 May 2021,$19.67B
28 May 2021,$20.48B
31 May 2021,$20.27B
4 Jun 2021,$19.57B
11 Jun 2021,$19.45B
30 Jun 2021,$21.54B
9 Jul 2021,$22.85B
16 Jul 2021,$22.72B
20 Jul 2021,$22.47B
30 Jul 2021,$23.76B
6 Aug 2021,$25.12B
13 Aug 2021,$26.78B
20 Aug 2021,$25.6B
27 Aug 2021,$26.56B
3 Sep 2021,$27.77B
10 Sep 2021,$29.09B
17 Sep 2021,$29.91B
24 Sep 2021,$28.72B
2 Oct 2021,$26.54B
9 Oct 2021,$25.01B
16 Oct 2021,$24.64B
23 Oct 2021,$24.07B
30 Oct 2021,$25.67B
6 Nov 2021,$25.89B
13 Nov 2021,$25.61B
20 Nov 2021,$26.65B
27 Nov 2021,$25.44B
4 Dec 2021,$26.76B
9 Dec 2021,$26.3B
