timeline,Pan Pacific
30 Jun 2006,$1.63B
31 Jul 2006,$1.34B
31 Aug 2006,$1.51B
29 Sep 2006,$1.57B
30 Nov 2006,$1.5B
29 Dec 2006,$1.43B
31 Jan 2007,$1.63B
28 Feb 2007,$1.47B
30 Mar 2007,$1.45B
30 Apr 2007,$1.37B
31 May 2007,$1.51B
29 Jun 2007,$1.55B
31 Jul 2007,$1.5B
31 Aug 2007,$1.51B
28 Sep 2007,$1.5B
31 Oct 2007,$1.48B
30 Nov 2007,$1.49B
31 Dec 2007,$1.39B
31 Jan 2008,$1.19B
29 Feb 2008,$1.07B
31 Mar 2008,$1.15B
30 Apr 2008,$1.2B
30 May 2008,$1.4B
30 Jun 2008,$1.18B
31 Jul 2008,$1.23B
29 Aug 2008,$1.17B
30 Sep 2008,$1.15B
31 Oct 2008,$1.08B
28 Nov 2008,$1.25B
31 Dec 2008,$1.09B
30 Jan 2009,$0.87B
27 Feb 2009,$0.71B
31 Mar 2009,$0.77B
30 Apr 2009,$0.91B
29 May 2009,$1.01B
30 Jun 2009,$1.13B
31 Jul 2009,$1.2B
31 Aug 2009,$1.36B
30 Sep 2009,$1.3B
30 Oct 2009,$1.48B
30 Nov 2009,$1.33B
31 Dec 2009,$1.38B
29 Jan 2010,$1.24B
26 Feb 2010,$1.38B
31 Mar 2010,$1.43B
30 Apr 2010,$1.55B
31 May 2010,$1.47B
30 Jun 2010,$1.46B
30 Jul 2010,$1.38B
31 Aug 2010,$1.26B
30 Sep 2010,$1.27B
29 Oct 2010,$1.35B
30 Nov 2010,$1.48B
31 Dec 2010,$1.52B
31 Jan 2011,$1.62B
28 Feb 2011,$1.75B
31 Mar 2011,$1.61B
29 Apr 2011,$1.85B
31 May 2011,$1.74B
30 Jun 2011,$1.71B
29 Jul 2011,$1.63B
31 Aug 2011,$1.76B
30 Sep 2011,$1.71B
31 Oct 2011,$1.77B
30 Nov 2011,$1.62B
31 Jan 2012,$1.74B
29 Feb 2012,$1.91B
30 Mar 2012,$2.04B
30 Apr 2012,$2B
31 May 2012,$1.91B
29 Jun 2012,$1.86B
31 Jul 2012,$1.78B
31 Aug 2012,$1.94B
28 Sep 2012,$2.04B
31 Oct 2012,$2.14B
30 Nov 2012,$2.18B
31 Dec 2012,$2.16B
31 Jan 2013,$2.48B
29 Mar 2013,$2.84B
30 Apr 2013,$3.62B
31 May 2013,$3.13B
28 Jun 2013,$3.3B
31 Jul 2013,$3.52B
30 Aug 2013,$3.51B
30 Sep 2013,$4.23B
31 Oct 2013,$4.48B
29 Nov 2013,$4.31B
31 Dec 2013,$4.39B
31 Jan 2014,$4.37B
28 Feb 2014,$3.81B
31 Mar 2014,$3.68B
30 Apr 2014,$3.72B
30 May 2014,$4.14B
30 Jun 2014,$3.9B
31 Jul 2014,$3.89B
29 Aug 2014,$3.81B
30 Sep 2014,$4.35B
31 Oct 2014,$4.56B
28 Nov 2014,$5.12B
31 Dec 2014,$5.79B
30 Jan 2015,$5.98B
27 Feb 2015,$6.45B
31 Mar 2015,$6.8B
30 Apr 2015,$6.34B
29 May 2015,$6.68B
30 Jun 2015,$7.25B
31 Jul 2015,$7.37B
31 Aug 2015,$6.56B
30 Sep 2015,$6.26B
30 Oct 2015,$6.24B
30 Nov 2015,$6.8B
31 Dec 2015,$5.96B
29 Jan 2016,$5.61B
29 Feb 2016,$5.26B
31 Mar 2016,$5.45B
29 Apr 2016,$5.54B
31 May 2016,$4.96B
30 Jun 2016,$5.27B
29 Jul 2016,$5.65B
31 Aug 2016,$4.71B
30 Sep 2016,$5.14B
31 Oct 2016,$5.57B
30 Nov 2016,$6.1B
