timeline,Dai Nippon Printing
30 Mar 2001,$8.52B
30 Apr 2001,$9.54B
31 May 2001,$9.21B
29 Jun 2001,$8.65B
31 Jul 2001,$8.1B
31 Aug 2001,$7.21B
28 Sep 2001,$6.57B
31 Oct 2001,$7.41B
30 Nov 2001,$7.5B
31 Dec 2001,$7.44B
31 Jan 2002,$6.67B
28 Feb 2002,$7.31B
29 Mar 2002,$8.07B
30 Apr 2002,$9.19B
31 May 2002,$9.78B
28 Jun 2002,$9.04B
31 Jul 2002,$7.72B
30 Aug 2002,$7.75B
30 Sep 2002,$7.5B
31 Oct 2002,$7.11B
29 Nov 2002,$8.26B
31 Dec 2002,$7.46B
31 Jan 2003,$7.13B
28 Feb 2003,$6.78B
31 Mar 2003,$6.45B
30 Apr 2003,$6.59B
30 May 2003,$7.01B
30 Jun 2003,$7.22B
31 Jul 2003,$8.05B
29 Aug 2003,$8.46B
30 Sep 2003,$8.71B
31 Oct 2003,$9.66B
28 Nov 2003,$8.59B
31 Dec 2003,$8.56B
30 Jan 2004,$9.04B
27 Feb 2004,$9.67B
31 Mar 2004,$9.78B
30 Apr 2004,$9.51B
31 May 2004,$9.71B
30 Jun 2004,$9.9B
30 Jul 2004,$8.96B
31 Aug 2004,$9.14B
30 Sep 2004,$8.38B
29 Oct 2004,$8.25B
30 Nov 2004,$8.74B
31 Dec 2004,$9.34B
31 Jan 2005,$9.29B
28 Feb 2005,$10.01B
31 Mar 2005,$9.94B
29 Apr 2005,$9.57B
31 May 2005,$9.78B
30 Jun 2005,$10.16B
29 Jul 2005,$10B
31 Aug 2005,$10.01B
30 Sep 2005,$10.4B
31 Oct 2005,$10.79B
30 Nov 2005,$11.62B
30 Dec 2005,$11.94B
31 Jan 2006,$12.02B
28 Feb 2006,$11.71B
31 Mar 2006,$12.1B
28 Apr 2006,$11.59B
31 May 2006,$10.5B
30 Jun 2006,$10.06B
31 Jul 2006,$10.26B
31 Aug 2006,$9.93B
29 Sep 2006,$10.36B
31 Oct 2006,$9.89B
30 Nov 2006,$9.86B
29 Dec 2006,$10.44B
31 Jan 2007,$10.75B
28 Feb 2007,$10.17B
30 Mar 2007,$10.54B
30 Apr 2007,$10.86B
31 May 2007,$10.14B
29 Jun 2007,$10.45B
31 Jul 2007,$9.94B
31 Aug 2007,$9.61B
28 Sep 2007,$9.33B
31 Oct 2007,$9.47B
30 Nov 2007,$9.19B
31 Dec 2007,$9.34B
31 Jan 2008,$8.75B
29 Feb 2008,$9.4B
31 Mar 2008,$9.01B
30 Apr 2008,$9.1B
30 May 2008,$9.17B
30 Jun 2008,$8.89B
31 Jul 2008,$8.46B
29 Aug 2008,$8.81B
30 Sep 2008,$8.06B
31 Oct 2008,$6.48B
28 Nov 2008,$5.72B
31 Dec 2008,$5.56B
30 Jan 2009,$5.07B
27 Feb 2009,$4.77B
31 Mar 2009,$5.11B
30 Apr 2009,$5.92B
29 May 2009,$6.92B
30 Jun 2009,$7.52B
31 Jul 2009,$7.88B
31 Aug 2009,$7.72B
30 Sep 2009,$7.02B
30 Oct 2009,$6.55B
30 Nov 2009,$6.06B
31 Dec 2009,$6.71B
29 Jan 2010,$7.04B
26 Feb 2010,$6.68B
31 Mar 2010,$7.18B
30 Apr 2010,$7.42B
31 May 2010,$6.34B
30 Jun 2010,$5.87B
30 Jul 2010,$5.94B
31 Aug 2010,$5.55B
30 Sep 2010,$5.79B
29 Oct 2010,$5.77B
30 Nov 2010,$5.99B
31 Dec 2010,$6.28B
31 Jan 2011,$6.38B
28 Feb 2011,$6.26B
31 Mar 2011,$5.76B
29 Apr 2011,$5.49B
31 May 2011,$5.28B
30 Jun 2011,$5.13B
29 Jul 2011,$4.98B
31 Aug 2011,$4.52B
30 Sep 2011,$4.59B
31 Oct 2011,$4.72B
30 Nov 2011,$4.23B
30 Dec 2011,$4.2B
31 Jan 2012,$4.66B
29 Feb 2012,$4.76B
30 Mar 2012,$4.81B
30 Apr 2012,$4.05B
31 May 2012,$3.37B
29 Jun 2012,$3.53B
31 Jul 2012,$3.4B
31 Aug 2012,$3.15B
28 Sep 2012,$3.09B
31 Oct 2012,$3.21B
30 Nov 2012,$3.51B
31 Dec 2012,$3.82B
31 Jan 2013,$4.2B
28 Feb 2013,$4.63B
29 Mar 2013,$5.03B
30 Apr 2013,$5.41B
31 May 2013,$4.97B
28 Jun 2013,$5.15B
31 Jul 2013,$4.96B
30 Aug 2013,$5.42B
30 Sep 2013,$5.9B
31 Oct 2013,$5.84B
29 Nov 2013,$6B
31 Dec 2013,$6.34B
31 Jan 2014,$5.82B
28 Feb 2014,$5.81B
31 Mar 2014,$5.62B
30 Apr 2014,$5.24B
30 May 2014,$5.79B
30 Jun 2014,$6.01B
31 Jul 2014,$6.04B
29 Aug 2014,$6.2B
30 Sep 2014,$6.24B
31 Oct 2014,$6.15B
28 Nov 2014,$5.92B
31 Dec 2014,$6.19B
30 Jan 2015,$6.05B
27 Feb 2015,$6.58B
31 Mar 2015,$6.63B
30 Apr 2015,$7.06B
29 May 2015,$7.46B
30 Jun 2015,$6.96B
31 Jul 2015,$7.58B
31 Aug 2015,$6.87B
30 Sep 2015,$6.35B
30 Oct 2015,$6.92B
30 Nov 2015,$6.62B
31 Dec 2015,$6.63B
29 Jan 2016,$6.13B
29 Feb 2016,$5.34B
31 Mar 2016,$5.54B
29 Apr 2016,$5.77B
31 May 2016,$6.3B
30 Jun 2016,$6.12B
29 Jul 2016,$6.22B
31 Aug 2016,$5.67B
30 Sep 2016,$5.32B
31 Oct 2016,$5.69B
