timeline,Yamaha
31 Jan 2001,$2.25B
28 Feb 2001,$2.51B
30 Mar 2001,$2.4B
30 Apr 2001,$2.29B
31 May 2001,$2.25B
29 Jun 2001,$2.29B
31 Jul 2001,$2.27B
31 Aug 2001,$2.2B
28 Sep 2001,$1.56B
31 Oct 2001,$1.77B
30 Nov 2001,$1.89B
31 Dec 2001,$1.77B
31 Jan 2002,$1.75B
28 Feb 2002,$1.57B
29 Mar 2002,$1.66B
30 Apr 2002,$1.76B
31 May 2002,$2.22B
28 Jun 2002,$2.12B
31 Jul 2002,$2.01B
30 Aug 2002,$2.07B
30 Sep 2002,$2.1B
31 Oct 2002,$1.92B
29 Nov 2002,$2.15B
31 Dec 2002,$2B
31 Jan 2003,$2.38B
28 Feb 2003,$2.42B
31 Mar 2003,$2.43B
30 Apr 2003,$2.46B
30 May 2003,$2.94B
30 Jun 2003,$3B
31 Jul 2003,$2.94B
29 Aug 2003,$3.5B
30 Sep 2003,$3.85B
31 Oct 2003,$4.03B
28 Nov 2003,$3.56B
31 Dec 2003,$3.83B
30 Jan 2004,$3.66B
27 Feb 2004,$3.69B
31 Mar 2004,$3.54B
30 Apr 2004,$3.77B
31 May 2004,$3.03B
30 Jun 2004,$3.26B
30 Jul 2004,$3.08B
31 Aug 2004,$2.98B
30 Sep 2004,$3.05B
29 Oct 2004,$2.95B
30 Nov 2004,$2.65B
31 Dec 2004,$2.85B
31 Jan 2005,$2.88B
28 Feb 2005,$2.87B
31 Mar 2005,$2.82B
29 Apr 2005,$2.83B
31 May 2005,$2.89B
30 Jun 2005,$3.15B
29 Jul 2005,$3.3B
31 Aug 2005,$3.47B
30 Sep 2005,$3.58B
31 Oct 2005,$3.73B
30 Nov 2005,$3.41B
30 Dec 2005,$3.57B
31 Jan 2006,$3.74B
28 Feb 2006,$3.65B
31 Mar 2006,$3.79B
28 Apr 2006,$3.83B
31 May 2006,$4.19B
30 Jun 2006,$3.91B
31 Jul 2006,$4.05B
31 Aug 2006,$4.43B
29 Sep 2006,$4.52B
31 Oct 2006,$4.55B
30 Nov 2006,$4.41B
29 Dec 2006,$4.59B
31 Jan 2007,$4.48B
28 Feb 2007,$4.93B
30 Mar 2007,$4.79B
30 Apr 2007,$5.05B
31 May 2007,$4.68B
29 Jun 2007,$4.66B
31 Jul 2007,$4.73B
31 Aug 2007,$4.46B
28 Sep 2007,$4.69B
31 Oct 2007,$4.86B
30 Nov 2007,$4.89B
31 Dec 2007,$4.65B
31 Jan 2008,$3.99B
29 Feb 2008,$3.77B
31 Mar 2008,$3.47B
30 Apr 2008,$3.72B
30 May 2008,$3.81B
30 Jun 2008,$3.73B
31 Jul 2008,$4.05B
29 Aug 2008,$3.51B
30 Sep 2008,$3.25B
31 Oct 2008,$1.69B
28 Nov 2008,$1.6B
31 Dec 2008,$1.49B
30 Jan 2009,$1.46B
27 Feb 2009,$1.39B
31 Mar 2009,$1.68B
30 Apr 2009,$1.97B
29 May 2009,$2.11B
30 Jun 2009,$2.1B
31 Jul 2009,$2.19B
31 Aug 2009,$2.08B
30 Sep 2009,$1.85B
30 Oct 2009,$1.66B
30 Nov 2009,$1.53B
31 Dec 2009,$1.94B
29 Jan 2010,$1.88B
26 Feb 2010,$1.83B
31 Mar 2010,$2.1B
30 Apr 2010,$2.01B
31 May 2010,$1.62B
30 Jun 2010,$1.59B
30 Jul 2010,$1.67B
31 Aug 2010,$1.5B
30 Sep 2010,$1.69B
29 Oct 2010,$1.72B
30 Nov 2010,$1.71B
31 Dec 2010,$1.75B
28 Feb 2011,$1.82B
31 Mar 2011,$1.61B
29 Apr 2011,$1.73B
31 May 2011,$1.56B
31 Aug 2011,$1.47B
30 Sep 2011,$1.45B
31 Oct 2011,$1.38B
30 Nov 2011,$1.24B
30 Dec 2011,$1.21B
31 Jan 2012,$1.2B
29 Feb 2012,$1.33B
30 Mar 2012,$1.46B
30 Apr 2012,$1.33B
31 May 2012,$1.15B
29 Jun 2012,$1.39B
31 Jul 2012,$1.3B
31 Aug 2012,$1.34B
28 Sep 2012,$1.24B
31 Oct 2012,$1.19B
30 Nov 2012,$1.24B
31 Dec 2012,$1.55B
31 Jan 2013,$1.65B
28 Feb 2013,$1.57B
29 Mar 2013,$1.59B
30 Apr 2013,$1.78B
31 May 2013,$1.88B
28 Jun 2013,$1.94B
31 Jul 2013,$2.15B
30 Aug 2013,$2.12B
30 Sep 2013,$2.39B
31 Oct 2013,$2.49B
29 Nov 2013,$2.75B
31 Dec 2013,$2.85B
31 Jan 2014,$2.61B
28 Feb 2014,$2.37B
31 Mar 2014,$2.27B
30 Apr 2014,$2.34B
30 May 2014,$2.71B
30 Jun 2014,$2.73B
31 Jul 2014,$2.72B
29 Aug 2014,$2.55B
30 Sep 2014,$2.45B
31 Oct 2014,$2.56B
28 Nov 2014,$3.02B
31 Dec 2014,$3.06B
30 Jan 2015,$2.95B
27 Feb 2015,$3.46B
31 Mar 2015,$3.59B
30 Apr 2015,$3.72B
29 May 2015,$4.32B
30 Jun 2015,$4.22B
31 Jul 2015,$4.99B
31 Aug 2015,$4.74B
30 Sep 2015,$4.5B
30 Oct 2015,$5.16B
30 Nov 2015,$5.29B
31 Dec 2015,$5.03B
29 Jan 2016,$4.83B
29 Feb 2016,$5.38B
31 Mar 2016,$5.63B
29 Apr 2016,$5.31B
31 May 2016,$5.58B
30 Jun 2016,$4.54B
29 Jul 2016,$4.75B
31 Aug 2016,$5.57B
30 Sep 2016,$5.39B
31 Oct 2016,$6.23B
30 Nov 2016,$5.78B
30 Dec 2016,$5.93B
31 Jan 2017,$5.73B
28 Feb 2017,$4.86B
31 Mar 2017,$5.06B
28 Apr 2017,$5.11B
31 May 2017,$5.92B
30 Jun 2017,$6.41B
31 Jul 2017,$6.44B
31 Aug 2017,$6.33B
29 Sep 2017,$6.86B
31 Oct 2017,$7.34B
30 Nov 2017,$6.83B
29 Dec 2017,$6.88B
31 Jan 2018,$7.32B
28 Feb 2018,$7.63B
30 Mar 2018,$7.54B
30 Apr 2018,$8.48B
31 May 2018,$9.11B
29 Jun 2018,$9.23B
31 Jul 2018,$8.11B
31 Aug 2018,$8.25B
28 Sep 2018,$9.35B
31 Oct 2018,$7.73B
30 Nov 2018,$7.59B
31 Dec 2018,$7.27B
31 Jan 2019,$7.39B
28 Feb 2019,$8.74B
29 Mar 2019,$8.82B
30 Apr 2019,$9.05B
31 May 2019,$7.68B
28 Jun 2019,$8.04B
31 Jul 2019,$8.11B
30 Aug 2019,$7.21B
30 Sep 2019,$7.63B
31 Oct 2019,$7.97B
29 Nov 2019,$9.48B
31 Dec 2019,$9.5B
31 Jan 2020,$8.82B
27 Feb 2020,$8.43B
28 Feb 2020,$8.26B
31 Mar 2020,$6.53B
30 Apr 2020,$6.79B
29 May 2020,$8.12B
30 Jun 2020,$7.86B
13 Jul 2020,$7.54B
31 Jul 2020,$7.52B
7 Aug 2020,$7.8B
18 Aug 2020,$7.84B
20 Aug 2020,$7.75B
2 Sep 2020,$7.84B
10 Sep 2020,$7.55B
16 Sep 2020,$8.04B
30 Sep 2020,$7.78B
8 Oct 2020,$7.91B
15 Oct 2020,$7.56B
23 Oct 2020,$7.62B
30 Oct 2020,$7.63B
12 Nov 2020,$8.9B
20 Nov 2020,$8.76B
26 Nov 2020,$9.05B
4 Dec 2020,$10.06B
11 Dec 2020,$9.97B
18 Dec 2020,$8.88B
31 Dec 2020,$9.41B
8 Jan 2021,$9.61B
22 Jan 2021,$9.27B
5 Feb 2021,$9.77B
15 Feb 2021,$9.39B
22 Feb 2021,$8.94B
26 Feb 2021,$9.19B
11 Mar 2021,$9.66B
19 Mar 2021,$9.86B
25 Mar 2021,$9.49B
7 Apr 2021,$9.69B
13 Apr 2021,$9.89B
22 Apr 2021,$9.5B
30 Apr 2021,$9.22B
21 May 2021,$9.6B
27 May 2021,$10.04B
4 Jun 2021,$10.08B
11 Jun 2021,$9.97B
30 Jun 2021,$9.35B
16 Jul 2021,$9.42B
21 Jul 2021,$9.35B
6 Aug 2021,$10.18B
13 Aug 2021,$10.13B
20 Aug 2021,$9.5B
27 Aug 2021,$10.13B
10 Sep 2021,$11.6B
17 Sep 2021,$11.66B
24 Sep 2021,$11.42B
2 Oct 2021,$10.77B
9 Oct 2021,$10.44B
23 Oct 2021,$10.8B
30 Oct 2021,$10.91B
6 Nov 2021,$9.91B
13 Nov 2021,$9.89B
20 Nov 2021,$9.7B
