timeline,Pigeon
31 Jan 2006,$0.29B
28 Apr 2006,$0.3B
31 May 2006,$0.29B
30 Jun 2006,$0.31B
31 Aug 2006,$0.34B
29 Sep 2006,$0.35B
31 Oct 2006,$0.37B
29 Dec 2006,$0.36B
31 Jan 2007,$0.37B
28 Feb 2007,$0.36B
30 Apr 2007,$0.32B
31 May 2007,$0.35B
31 Jul 2007,$0.34B
31 Oct 2007,$0.35B
30 Nov 2007,$0.34B
31 Dec 2007,$0.33B
31 Jan 2008,$0.3B
29 Feb 2008,$0.29B
31 Mar 2008,$0.36B
30 Apr 2008,$0.34B
30 Jun 2008,$0.37B
31 Jul 2008,$0.44B
29 Aug 2008,$0.45B
30 Sep 2008,$0.52B
31 Oct 2008,$0.5B
28 Nov 2008,$0.54B
31 Dec 2008,$0.47B
30 Jan 2009,$0.4B
27 Feb 2009,$0.33B
31 Mar 2009,$0.43B
30 Jun 2009,$0.54B
31 Jul 2009,$0.6B
31 Aug 2009,$0.68B
30 Sep 2009,$0.63B
30 Oct 2009,$0.62B
30 Nov 2009,$0.66B
31 Dec 2009,$0.64B
29 Jan 2010,$0.63B
26 Feb 2010,$0.61B
30 Apr 2010,$0.62B
31 May 2010,$0.55B
30 Jun 2010,$0.58B
30 Jul 2010,$0.56B
31 Aug 2010,$0.55B
30 Sep 2010,$0.47B
29 Oct 2010,$0.42B
30 Nov 2010,$0.5B
31 Dec 2010,$0.49B
31 Jan 2011,$0.44B
28 Feb 2011,$0.43B
31 Mar 2011,$0.46B
29 Apr 2011,$0.49B
30 Jun 2011,$0.47B
29 Jul 2011,$0.52B
31 Aug 2011,$0.49B
30 Sep 2011,$0.56B
31 Oct 2011,$0.51B
30 Nov 2011,$0.53B
30 Dec 2011,$0.55B
31 Jan 2012,$0.51B
29 Feb 2012,$0.5B
30 Mar 2012,$0.54B
30 Apr 2012,$0.57B
31 May 2012,$0.56B
29 Jun 2012,$0.62B
31 Jul 2012,$0.6B
31 Aug 2012,$0.65B
28 Sep 2012,$0.63B
31 Oct 2012,$0.65B
31 Dec 2012,$0.73B
31 Jan 2013,$0.88B
28 Feb 2013,$0.92B
29 Mar 2013,$1.21B
30 Apr 2013,$1.48B
31 May 2013,$1.44B
28 Jun 2013,$1.39B
31 Jul 2013,$1.63B
30 Aug 2013,$1.6B
30 Sep 2013,$1.7B
31 Oct 2013,$1.78B
29 Nov 2013,$1.73B
31 Dec 2013,$1.8B
31 Jan 2014,$1.66B
28 Feb 2014,$1.62B
31 Mar 2014,$1.65B
30 Apr 2014,$1.62B
30 May 2014,$1.67B
30 Jun 2014,$1.89B
31 Jul 2014,$2.1B
29 Aug 2014,$2.17B
30 Sep 2014,$2.19B
31 Oct 2014,$2.42B
28 Nov 2014,$2.58B
31 Dec 2014,$2.49B
30 Jan 2015,$2.61B
27 Feb 2015,$2.92B
31 Mar 2015,$3.56B
30 Apr 2015,$3.35B
29 May 2015,$3.44B
30 Jun 2015,$4.07B
31 Jul 2015,$3.99B
