timeline,Marubeni
31 Jan 2001,$3.17B
28 Feb 2001,$3.07B
30 Mar 2001,$2.95B
30 Apr 2001,$3.4B
31 May 2001,$2.96B
29 Jun 2001,$3.16B
31 Jul 2001,$2.53B
31 Aug 2001,$2.38B
28 Sep 2001,$1.65B
31 Oct 2001,$1.79B
30 Nov 2001,$1.38B
31 Dec 2001,$1.04B
28 Feb 2002,$1.32B
29 Mar 2002,$1.25B
30 Apr 2002,$1.2B
31 May 2002,$1.75B
28 Jun 2002,$1.62B
31 Jul 2002,$1.67B
30 Aug 2002,$1.88B
30 Sep 2002,$1.94B
31 Oct 2002,$1.62B
29 Nov 2002,$1.49B
31 Dec 2002,$1.44B
31 Jan 2003,$1.57B
28 Feb 2003,$1.53B
31 Mar 2003,$1.46B
30 Apr 2003,$1.49B
30 May 2003,$1.58B
30 Jun 2003,$2.05B
31 Jul 2003,$1.98B
29 Aug 2003,$2.32B
30 Sep 2003,$2.29B
31 Oct 2003,$2.61B
28 Nov 2003,$2.37B
31 Dec 2003,$2.7B
30 Jan 2004,$2.69B
27 Feb 2004,$2.9B
31 Mar 2004,$3.73B
30 Apr 2004,$3.66B
31 May 2004,$3.33B
30 Jun 2004,$3.53B
30 Jul 2004,$3.32B
31 Aug 2004,$3.44B
30 Sep 2004,$3.85B
29 Oct 2004,$3.66B
30 Nov 2004,$3.85B
31 Dec 2004,$3.74B
31 Jan 2005,$3.98B
28 Feb 2005,$4.43B
31 Mar 2005,$4.53B
29 Apr 2005,$4.5B
31 May 2005,$4.54B
30 Jun 2005,$5.02B
29 Jul 2005,$5.51B
31 Aug 2005,$6.06B
30 Sep 2005,$6.95B
31 Oct 2005,$7.14B
30 Nov 2005,$7.84B
30 Dec 2005,$8.34B
31 Jan 2006,$8.25B
28 Feb 2006,$7.65B
31 Mar 2006,$8.74B
28 Apr 2006,$9.3B
31 May 2006,$8.61B
30 Jun 2006,$8.65B
31 Jul 2006,$8.64B
31 Aug 2006,$8.89B
29 Sep 2006,$8.34B
31 Oct 2006,$8.49B
30 Nov 2006,$8.35B
29 Dec 2006,$8.57B
31 Jan 2007,$9.22B
28 Feb 2007,$10.54B
30 Mar 2007,$10.95B
30 Apr 2007,$11.07B
31 May 2007,$13.02B
29 Jun 2007,$15.52B
31 Jul 2007,$17.64B
31 Aug 2007,$14.45B
28 Sep 2007,$16.12B
31 Oct 2007,$14.96B
30 Nov 2007,$12.92B
31 Dec 2007,$12.13B
31 Jan 2008,$11.14B
29 Feb 2008,$12.4B
31 Mar 2008,$11.12B
30 Apr 2008,$12.7B
30 May 2008,$14.4B
30 Jun 2008,$13.59B
31 Jul 2008,$12.15B
29 Aug 2008,$10.47B
30 Sep 2008,$7.17B
31 Oct 2008,$5.7B
28 Nov 2008,$5.12B
31 Dec 2008,$5.15B
30 Jan 2009,$5.01B
27 Feb 2009,$4.75B
31 Mar 2009,$4.67B
30 Apr 2009,$5.45B
29 May 2009,$6.6B
30 Jun 2009,$6.55B
31 Jul 2009,$6.69B
31 Aug 2009,$7.09B
30 Sep 2009,$6.94B
30 Oct 2009,$7.04B
30 Nov 2009,$6.98B
31 Dec 2009,$7.83B
29 Jan 2010,$8.07B
26 Feb 2010,$8.14B
31 Mar 2010,$8.9B
30 Apr 2010,$8.58B
31 May 2010,$7.77B
30 Jun 2010,$7.06B
30 Jul 2010,$7.11B
31 Aug 2010,$6.63B
30 Sep 2010,$7.23B
29 Oct 2010,$7.75B
30 Nov 2010,$8.32B
31 Dec 2010,$8.75B
31 Jan 2011,$9.45B
28 Feb 2011,$9.58B
31 Mar 2011,$9.18B
29 Apr 2011,$8.98B
31 May 2011,$8.69B
30 Jun 2011,$8.15B
29 Jul 2011,$8.86B
31 Aug 2011,$7.3B
30 Sep 2011,$6.73B
31 Oct 2011,$7.11B
30 Nov 2011,$7.06B
