timeline,Toyota Tsusho
31 Mar 2003,$1.4B
30 Apr 2003,$1.68B
30 May 2003,$1.81B
30 Jun 2003,$1.76B
31 Jul 2003,$1.91B
29 Aug 2003,$2.26B
30 Sep 2003,$2.71B
31 Oct 2003,$2.88B
28 Nov 2003,$2.38B
31 Dec 2003,$2.53B
30 Jan 2004,$2.26B
27 Feb 2004,$2.42B
31 Mar 2004,$2.76B
30 Apr 2004,$2.7B
31 May 2004,$2.56B
30 Jun 2004,$2.77B
30 Jul 2004,$2.89B
31 Aug 2004,$2.95B
30 Sep 2004,$3.05B
29 Oct 2004,$3.49B
30 Nov 2004,$3.87B
31 Dec 2004,$3.94B
31 Jan 2005,$4B
28 Feb 2005,$4.06B
31 Mar 2005,$4.49B
29 Apr 2005,$4.35B
31 May 2005,$4.6B
30 Jun 2005,$4.52B
29 Jul 2005,$4.6B
31 Aug 2005,$4.88B
30 Sep 2005,$5.15B
31 Oct 2005,$6.39B
30 Nov 2005,$6.09B
30 Dec 2005,$6.69B
31 Jan 2006,$7B
28 Feb 2006,$6.76B
31 Mar 2006,$7.96B
28 Apr 2006,$7.11B
31 May 2006,$6.74B
30 Jun 2006,$6.85B
31 Jul 2006,$6.99B
31 Aug 2006,$7.71B
29 Sep 2006,$7.76B
31 Oct 2006,$8.58B
30 Nov 2006,$7.53B
29 Dec 2006,$7.96B
31 Jan 2007,$7.91B
28 Feb 2007,$8.21B
30 Mar 2007,$9.4B
30 Apr 2007,$9.12B
31 May 2007,$9.37B
29 Jun 2007,$8.9B
31 Jul 2007,$9.74B
31 Aug 2007,$8.96B
28 Sep 2007,$9.52B
31 Oct 2007,$10.02B
31 Dec 2007,$9.46B
31 Jan 2008,$7.78B
29 Feb 2008,$8.4B
31 Mar 2008,$6.61B
30 Apr 2008,$6.95B
30 May 2008,$8.03B
30 Jun 2008,$7.78B
31 Jul 2008,$6.68B
29 Aug 2008,$5.91B
30 Sep 2008,$4.23B
31 Oct 2008,$2.88B
28 Nov 2008,$2.83B
31 Dec 2008,$2.95B
30 Jan 2009,$2.57B
27 Feb 2009,$2.51B
31 Mar 2009,$2.95B
30 Apr 2009,$3.6B
29 May 2009,$4.13B
30 Jun 2009,$4.44B
31 Jul 2009,$4.5B
31 Aug 2009,$4.68B
30 Sep 2009,$4.19B
30 Oct 2009,$4.11B
30 Nov 2009,$3.58B
31 Dec 2009,$4.23B
29 Jan 2010,$4.28B
26 Feb 2010,$3.95B
31 Mar 2010,$4.53B
30 Apr 2010,$4.37B
31 May 2010,$4B
30 Jun 2010,$3.96B
30 Jul 2010,$4.06B
31 Aug 2010,$3.71B
30 Sep 2010,$3.8B
29 Oct 2010,$3.86B
30 Nov 2010,$4.2B
31 Dec 2010,$4.41B
31 Jan 2011,$4.46B
28 Feb 2011,$4.77B
31 Mar 2011,$4.23B
29 Apr 2011,$4.14B
31 May 2011,$4.1B
30 Jun 2011,$4.24B
29 Jul 2011,$4.17B
31 Aug 2011,$3.92B
30 Sep 2011,$4.14B
31 Oct 2011,$3.89B
30 Nov 2011,$3.9B
30 Dec 2011,$4.2B
31 Jan 2012,$4.46B
29 Feb 2012,$5.03B
30 Mar 2012,$5.2B
30 Apr 2012,$4.92B
31 May 2012,$4.47B
29 Jun 2012,$4.66B
31 Jul 2012,$4.5B
31 Aug 2012,$4.93B
28 Sep 2012,$5.15B
31 Oct 2012,$5.38B
30 Nov 2012,$5.86B
31 Dec 2012,$6.52B
31 Jan 2013,$6.71B
28 Feb 2013,$7.29B
29 Mar 2013,$7.53B
30 Apr 2013,$8.39B
31 May 2013,$8.46B
28 Jun 2013,$7.91B
31 Jul 2013,$8.06B
30 Aug 2013,$7B
30 Sep 2013,$7.93B
31 Oct 2013,$8.41B
29 Nov 2013,$8.17B
31 Dec 2013,$8.05B
31 Jan 2014,$7.54B
28 Feb 2014,$7.75B
31 Mar 2014,$8.12B
30 Apr 2014,$8.33B
30 May 2014,$8.35B
30 Jun 2014,$9.03B
31 Jul 2014,$8.98B
29 Aug 2014,$8.51B
30 Sep 2014,$8.28B
31 Oct 2014,$8.52B
28 Nov 2014,$8.71B
31 Dec 2014,$8.75B
30 Jan 2015,$8.71B
27 Feb 2015,$10.27B
31 Mar 2015,$9.88B
30 Apr 2015,$9.59B
29 May 2015,$10.81B
30 Jun 2015,$10.19B
31 Jul 2015,$9.76B
31 Aug 2015,$8.67B
30 Sep 2015,$7.8B
30 Oct 2015,$8.64B
30 Nov 2015,$8.96B
31 Dec 2015,$8.84B
29 Jan 2016,$8.42B
29 Feb 2016,$7.08B
31 Mar 2016,$7.89B
29 Apr 2016,$7.82B
31 May 2016,$8.13B
30 Jun 2016,$6.78B
29 Jul 2016,$7.09B
31 Aug 2016,$7.34B
30 Sep 2016,$7.23B
31 Oct 2016,$7.71B
30 Nov 2016,$8.87B
30 Dec 2016,$9.45B
31 Jan 2017,$9.65B
28 Feb 2017,$10.4B
31 Mar 2017,$10.46B
28 Apr 2017,$10.91B
31 May 2017,$10.54B
30 Jun 2017,$10.44B
31 Jul 2017,$11.02B
31 Aug 2017,$10.51B
29 Sep 2017,$11.47B
31 Oct 2017,$12.73B
30 Nov 2017,$13.1B
29 Dec 2017,$14.08B
31 Jan 2018,$13.69B
28 Feb 2018,$12.4B
30 Mar 2018,$11.19B
30 Apr 2018,$12.21B
31 May 2018,$11.67B
29 Jun 2018,$11.52B
31 Jul 2018,$11.81B
31 Aug 2018,$11.76B
28 Sep 2018,$13.32B
31 Oct 2018,$12.68B
30 Nov 2018,$12.17B
31 Dec 2018,$10.07B
31 Jan 2019,$10.74B
28 Feb 2019,$10.97B
29 Mar 2019,$11.19B
30 Apr 2019,$11.42B
31 May 2019,$9.73B
28 Jun 2019,$10.13B
31 Jul 2019,$9.84B
30 Aug 2019,$10.23B
30 Sep 2019,$10.82B
31 Oct 2019,$11.7B
29 Nov 2019,$11.87B
31 Dec 2019,$11.98B
31 Jan 2020,$11.9B
28 Feb 2020,$10.13B
31 Mar 2020,$7.9B
28 Apr 2020,$7.79B
30 Apr 2020,$8.03B
2 Jun 2020,$8.73B
30 Jun 2020,$8.47B
14 Jul 2020,$8.58B
22 Jul 2020,$8.81B
31 Jul 2020,$8.25B
14 Aug 2020,$9.62B
20 Aug 2020,$9.3B
31 Aug 2020,$9.59B
25 Sep 2020,$9.37B
30 Sep 2020,$9.13B
8 Oct 2020,$9.62B
15 Oct 2020,$9.09B
30 Oct 2020,$9B
13 Nov 2020,$10.37B
30 Nov 2020,$11.2B
4 Dec 2020,$11.86B
11 Dec 2020,$11.73B
31 Dec 2020,$12.93B
8 Jan 2021,$13.66B
22 Jan 2021,$13.5B
29 Jan 2021,$12.68B
5 Feb 2021,$14.06B
19 Feb 2021,$14.12B
1 Mar 2021,$14.38B
11 Mar 2021,$14.65B
25 Mar 2021,$14.59B
1 Apr 2021,$14.38B
7 Apr 2021,$14.99B
16 Apr 2021,$14.9B
22 Apr 2021,$14.82B
30 Apr 2021,$14.34B
7 May 2021,$15.49B
19 May 2021,$14.93B
31 May 2021,$15.22B
11 Jun 2021,$16.32B
30 Jun 2021,$16.29B
9 Jul 2021,$15.8B
20 Jul 2021,$15.61B
21 Jul 2021,$15.89B
30 Jul 2021,$16.66B
12 Aug 2021,$17.36B
13 Aug 2021,$17.46B
27 Aug 2021,$14.72B
3 Sep 2021,$15.84B
10 Sep 2021,$15.94B
17 Sep 2021,$15.68B
24 Sep 2021,$15.22B
2 Oct 2021,$14.54B
9 Oct 2021,$14.45B
16 Oct 2021,$15.25B
23 Oct 2021,$15.09B
30 Oct 2021,$15.27B
6 Nov 2021,$15.92B
20 Nov 2021,$16.83B
27 Nov 2021,$16.04B
4 Dec 2021,$15.36B
10 Dec 2021,$15.25B
