timeline,Æon
Jan 2001,$7.75B
Feb 2001,$8.05B
Mar 2001,$7.52B
Apr 2001,$9.01B
May 2001,$7.7B
Jun 2001,$8.02B
Jul 2001,$8.92B
Aug 2001,$6.87B
Sep 2001,$6.63B
Oct 2001,$7.65B
Nov 2001,$7.55B
Dec 2001,$8.63B
Jan 2002,$7.48B
Feb 2002,$7.87B
Mar 2002,$7.39B
Apr 2002,$9.68B
May 2002,$10.5B
Jun 2002,$9.33B
Jul 2002,$9.65B
Aug 2002,$9.01B
Sep 2002,$9.1B
Oct 2002,$8.78B
Dec 2002,$8.19B
Jan 2003,$8B
Feb 2003,$6.98B
Mar 2003,$6.97B
Apr 2003,$7.95B
May 2003,$8.44B
Jun 2003,$8.07B
Jul 2003,$8.79B
Aug 2003,$8.47B
Sep 2003,$8.63B
Oct 2003,$10.65B
Nov 2003,$10.39B
Dec 2003,$10.53B
Jan 2004,$10.56B
Feb 2004,$11.65B
Mar 2004,$13.17B
Apr 2004,$14.2B
May 2004,$13.12B
Jun 2004,$12.85B
Jul 2004,$11.21B
Aug 2004,$10.7B
Sep 2004,$10.41B
Oct 2004,$9.95B
Nov 2004,$10.21B
Dec 2004,$10.04B
Jan 2005,$10.21B
Feb 2005,$10.67B
Mar 2005,$11.57B
Apr 2005,$10.41B
May 2005,$10.7B
Jun 2005,$10.8B
Jul 2005,$11.65B
Aug 2005,$13.16B
Sep 2005,$14.56B
Oct 2005,$15.33B
Nov 2005,$17.05B
Dec 2005,$19.16B
Jan 2006,$19.73B
Feb 2006,$17.82B
Mar 2006,$18.23B
Apr 2006,$18.11B
May 2006,$15.26B
Jun 2006,$16.03B
Jul 2006,$17.08B
Aug 2006,$18.87B
Sep 2006,$18.49B
Oct 2006,$17.6B
Nov 2006,$17.44B
Dec 2006,$16.45B
Jan 2007,$16.77B
Feb 2007,$17.39B
Mar 2007,$16.54B
Apr 2007,$15.49B
May 2007,$16.02B
Jun 2007,$16.12B
Jul 2007,$13.44B
Aug 2007,$11.14B
Sep 2007,$11.43B
Oct 2007,$12.7B
Nov 2007,$11.93B
Dec 2007,$11.53B
Jan 2008,$9.06B
Feb 2008,$9.03B
Mar 2008,$8.37B
Apr 2008,$10.69B
May 2008,$10.68B
Jun 2008,$9.24B
Jul 2008,$9.3B
Aug 2008,$8.89B
Sep 2008,$7.42B
Oct 2008,$6.52B
Nov 2008,$5.98B
Dec 2008,$6.29B
Jan 2009,$5.14B
Feb 2009,$3.94B
Mar 2009,$4.34B
Apr 2009,$5.17B
May 2009,$5.95B
Jun 2009,$6.43B
Jul 2009,$6.2B
Aug 2009,$6.65B
Sep 2009,$5.79B
Oct 2009,$5.78B
Nov 2009,$4.9B
Dec 2009,$5.3B
Jan 2010,$6.36B
Feb 2010,$6.16B
Mar 2010,$7.15B
Apr 2010,$7.28B
May 2010,$6.41B
Jun 2010,$6.37B
Jul 2010,$6.23B
Aug 2010,$6.04B
Oct 2010,$6.39B
Nov 2010,$6.88B
Dec 2010,$6.84B
Jan 2011,$6.95B
Feb 2011,$6.94B
Mar 2011,$6.49B
Apr 2011,$6.56B
May 2011,$6.31B
Jun 2011,$6.52B
Jul 2011,$6.54B
Aug 2011,$6.47B
Sep 2011,$7.07B
Oct 2011,$6.98B
Nov 2011,$7.06B
Dec 2011,$7.12B
Jan 2012,$6.77B
Feb 2012,$6.99B
Mar 2012,$7.37B
Apr 2012,$7.07B
May 2012,$6.44B
Jun 2012,$6.72B
Jul 2012,$6.39B
Aug 2012,$6.1B
Sep 2012,$5.98B
Oct 2012,$5.9B
Nov 2012,$6.25B
Dec 2012,$6.69B
Jan 2013,$7.03B
Feb 2013,$7.26B
Mar 2013,$8.46B
Apr 2013,$9.61B
May 2013,$8.36B
Jun 2013,$9.16B
Jul 2013,$9.48B
Aug 2013,$9.45B
Sep 2013,$9.76B
Oct 2013,$9.69B
Nov 2013,$9.99B
Dec 2013,$10.5B
Jan 2014,$9.5B
Feb 2014,$9.18B
Mar 2014,$8.58B
Apr 2014,$8.71B
May 2014,$9.05B
Jun 2014,$9.19B
Jul 2014,$8.58B
Aug 2014,$8.29B
Sep 2014,$8.06B
Oct 2014,$8.07B
Nov 2014,$8.73B
Dec 2014,$8.95B
Jan 2015,$9.5B
Feb 2015,$9.73B
Mar 2015,$9.7B
Apr 2015,$10.97B
May 2015,$12.22B
Jun 2015,$12.78B
Jul 2015,$13.95B
Aug 2015,$13.39B
Sep 2015,$13.64B
Oct 2015,$13.23B
Nov 2015,$14.05B
Dec 2015,$13.74B
Jan 2016,$11.75B
Feb 2016,$10.9B
Mar 2016,$11.98B
Apr 2016,$12.11B
May 2016,$12.4B
Jun 2016,$11.68B
Jul 2016,$10.92B
Aug 2016,$10.48B
Sep 2016,$10.97B
Oct 2016,$10.7B
Nov 2016,$11.61B
Dec 2016,$12.2B
Jan 2017,$12.02B
Feb 2017,$12.36B
Mar 2017,$11.99B
Apr 2017,$12.2B
May 2017,$12.35B
Jun 2017,$12.6B
Jul 2017,$12.27B
Aug 2017,$11.97B
Sep 2017,$12.27B
Oct 2017,$12.92B
Nov 2017,$13.46B
Dec 2017,$14.04B
Jan 2018,$13.71B
Feb 2018,$13.35B
Mar 2018,$14.04B
Apr 2018,$16.17B
May 2018,$15.96B
Jun 2018,$17.52B
Jul 2018,$16.75B
Aug 2018,$17.79B
Sep 2018,$20.24B
Oct 2018,$19.14B
Nov 2018,$20.11B
Dec 2018,$15.89B
Jan 2019,$16.32B
Feb 2019,$17.39B
Mar 2019,$17.17B
Apr 2019,$15.22B
May 2019,$13.91B
Jun 2019,$13.72B
Jul 2019,$14.02B
Aug 2019,$13.96B
Sep 2019,$14.68B
Oct 2019,$16.19B
Nov 2019,$16.55B
Dec 2019,$16.71B
Jan 2020,$16.7B
Feb 2020,$14.93B
Mar 2020,$17.78B
May 2020,$15.67B
May 2020,$17.66B
Jun 2020,$18.54B
Jun 2020,$18.56B
Jul 2020,$17.69B
Jul 2020,$18.39B
Jul 2020,$18.45B
Aug 2020,$19.06B
Aug 2020,$20.12B
Aug 2020,$19.93B
Aug 2020,$19.48B
Sep 2020,$20.05B
Sep 2020,$20.85B
Sep 2020,$20.94B
Oct 2020,$20.11B
Oct 2020,$19.74B
Nov 2020,$23.54B
Nov 2020,$23.01B
Dec 2020,$25.09B
Jan 2021,$25.02B
Jan 2021,$24.76B
Jan 2021,$24.57B
Jan 2021,$24.28B
Feb 2021,$24.97B
Feb 2021,$26.2B
Feb 2021,$23.74B
Mar 2021,$23.43B
Mar 2021,$23.57B
Apr 2021,$24.5B
Apr 2021,$23.57B
Apr 2021,$22.21B
Apr 2021,$22.1B
May 2021,$22.28B
May 2021,$22.22B
May 2021,$21.83B
Jun 2021,$22.39B
Jun 2021,$21.93B
Jun 2021,$22.22B
Jul 2021,$21.73B
Jul 2021,$21.98B
Jul 2021,$22.91B
Aug 2021,$23.12B
Aug 2021,$23.49B
Aug 2021,$23.29B
Sep 2021,$23.05B
Sep 2021,$24.14B
Sep 2021,$23.38B
Sep 2021,$23.07B
Oct 2021,$21.92B
Oct 2021,$19.49B
Oct 2021,$19.43B
Oct 2021,$19.48B
Nov 2021,$20.25B
Nov 2021,$20.5B
Nov 2021,$20.03B
Dec 2021,$20.19B
Dec 2021,$20.77B
