timeline,Shinkin Central Bank
31 Mar 2010,$1.02B
30 Apr 2010,$1.01B
31 May 2010,$1B
30 Sep 2010,$0.99B
29 Oct 2010,$0.97B
30 Nov 2010,$0.99B
31 Dec 2010,$1.01B
31 Jan 2011,$1.06B
31 Mar 2011,$0.96B
29 Apr 2011,$0.94B
30 Jun 2011,$0.93B
29 Jul 2011,$0.94B
31 Oct 2011,$0.97B
30 Nov 2011,$0.98B
30 Dec 2011,$1.04B
31 Jan 2012,$1.03B
29 Feb 2012,$1.02B
30 Mar 2012,$6.45B
30 Apr 2012,$6.53B
31 May 2012,$6.68B
29 Jun 2012,$6.73B
31 Jul 2012,$6.75B
31 Aug 2012,$6.8B
31 Oct 2012,$6.91B
30 Nov 2012,$6.9B
31 Dec 2012,$6.93B
31 Jan 2013,$6.92B
28 Feb 2013,$7.12B
29 Mar 2013,$6.8B
30 Apr 2013,$7.04B
31 May 2013,$6.99B
28 Jun 2013,$6.96B
31 Jul 2013,$7.02B
30 Aug 2013,$7.06B
30 Sep 2013,$7.04B
31 Oct 2013,$7.07B
29 Nov 2013,$7.26B
31 Dec 2013,$7.84B
31 Jan 2014,$7.97B
28 Feb 2014,$7.95B
31 Mar 2014,$7.84B
30 Apr 2014,$7.86B
30 May 2014,$7.85B
30 Jun 2014,$8.18B
31 Jul 2014,$8.38B
29 Aug 2014,$8.39B
30 Sep 2014,$8.64B
31 Oct 2014,$8.57B
28 Nov 2014,$8.72B
31 Dec 2014,$8.96B
30 Jan 2015,$9.12B
27 Feb 2015,$9.86B
31 Mar 2015,$9.93B
30 Apr 2015,$9.62B
29 May 2015,$9.38B
30 Jun 2015,$9.31B
31 Jul 2015,$9.33B
31 Aug 2015,$9.29B
30 Sep 2015,$13.03B
30 Oct 2015,$13.26B
30 Nov 2015,$13.31B
31 Dec 2015,$13.34B
29 Jan 2016,$13.38B
29 Feb 2016,$13.32B
31 Mar 2016,$13.21B
29 Apr 2016,$13.43B
31 May 2016,$13.38B
30 Jun 2016,$13.32B
29 Jul 2016,$13.39B
31 Aug 2016,$13.53B
30 Sep 2016,$13.62B
31 Oct 2016,$13.61B
30 Nov 2016,$13.59B
30 Dec 2016,$13.74B
31 Jan 2017,$13.71B
28 Feb 2017,$13.95B
31 Mar 2017,$13.87B
28 Apr 2017,$13.69B
31 May 2017,$13.67B
30 Jun 2017,$13.76B
31 Jul 2017,$13.78B
31 Aug 2017,$13.88B
29 Sep 2017,$13.75B
31 Oct 2017,$13.76B
30 Nov 2017,$13.77B
29 Dec 2017,$13.84B
31 Jan 2018,$14.18B
28 Feb 2018,$14.25B
30 Mar 2018,$13.83B
30 Apr 2018,$13.92B
31 May 2018,$13.96B
29 Jun 2018,$14.08B
31 Jul 2018,$14.21B
31 Aug 2018,$14.2B
28 Sep 2018,$14.15B
31 Oct 2018,$14.02B
30 Nov 2018,$14.18B
31 Dec 2018,$14.19B
31 Jan 2019,$14.22B
28 Feb 2019,$14.41B
29 Mar 2019,$14.14B
30 Apr 2019,$14.05B
31 May 2019,$14.03B
28 Jun 2019,$14.08B
31 Jul 2019,$14.11B
30 Aug 2019,$14.08B
30 Sep 2019,$14.09B
31 Oct 2019,$14.18B
29 Nov 2019,$14.28B
31 Dec 2019,$14.44B
31 Jan 2020,$14.45B
28 Feb 2020,$14.24B
26 Mar 2020,$13.95B
31 Mar 2020,$13.43B
30 Apr 2020,$12.86B
29 May 2020,$13.74B
30 Jun 2020,$13.43B
31 Jul 2020,$13.6B
14 Aug 2020,$13.55B
20 Aug 2020,$13.6B
24 Sep 2020,$13.71B
30 Sep 2020,$13.63B
22 Oct 2020,$13.7B
30 Oct 2020,$13.71B
19 Nov 2020,$13.78B
26 Nov 2020,$13.79B
4 Dec 2020,$13.83B
18 Dec 2020,$13.99B
31 Dec 2020,$14.04B
8 Jan 2021,$13.92B
29 Jan 2021,$14.13B
5 Feb 2021,$14.16B
12 Feb 2021,$14.18B
26 Feb 2021,$14.19B
3 Mar 2021,$14.2B
18 Mar 2021,$14.32B
2 Apr 2021,$14.07B
9 Apr 2021,$14.06B
15 Apr 2021,$14.11B
22 Apr 2021,$14.06B
28 Apr 2021,$14.07B
30 Apr 2021,$14.06B
6 May 2021,$14.08B
12 May 2021,$14.06B
21 May 2021,$14.08B
4 Jun 2021,$14.11B
30 Jun 2021,$14.18B
12 Jul 2021,$14.13B
16 Jul 2021,$14.19B
21 Jul 2021,$14.16B
30 Jul 2021,$14.63B
6 Aug 2021,$14.65B
12 Aug 2021,$14.58B
13 Aug 2021,$14.6B
20 Aug 2021,$14.68B
27 Aug 2021,$14.62B
3 Sep 2021,$14.69B
10 Sep 2021,$14.66B
17 Sep 2021,$14.67B
24 Sep 2021,$14.58B
2 Oct 2021,$14.49B
9 Oct 2021,$14.38B
16 Oct 2021,$14.15B
23 Oct 2021,$14.19B
30 Oct 2021,$14.21B
13 Nov 2021,$14.18B
27 Nov 2021,$14.23B
4 Dec 2021,$14.31B
9 Dec 2021,$14.34B
