timeline,Tokyo Century
31 Mar 2006,$0.91B
28 Apr 2006,$0.84B
31 May 2006,$0.8B
30 Jun 2006,$0.83B
31 Jul 2006,$0.78B
31 Aug 2006,$0.71B
29 Sep 2006,$0.7B
31 Oct 2006,$0.74B
30 Nov 2006,$0.83B
29 Dec 2006,$0.71B
31 Jan 2007,$0.78B
28 Feb 2007,$0.76B
30 Apr 2007,$0.74B
31 May 2007,$0.84B
29 Jun 2007,$0.79B
31 Jul 2007,$0.72B
31 Aug 2007,$0.65B
28 Sep 2007,$0.58B
31 Oct 2007,$0.55B
30 Nov 2007,$0.45B
31 Jan 2008,$0.44B
29 Feb 2008,$0.4B
30 May 2008,$0.54B
30 Jun 2008,$0.52B
31 Jul 2008,$0.62B
29 Aug 2008,$0.52B
30 Sep 2008,$0.41B
31 Oct 2008,$0.29B
28 Nov 2008,$0.39B
31 Dec 2008,$0.36B
30 Jan 2009,$0.37B
27 Feb 2009,$0.25B
31 Mar 2009,$0.27B
30 Apr 2009,$0.28B
29 May 2009,$0.4B
30 Jun 2009,$1.03B
31 Jul 2009,$0.96B
31 Aug 2009,$1.01B
30 Sep 2009,$0.92B
30 Oct 2009,$0.97B
30 Nov 2009,$0.84B
31 Dec 2009,$0.93B
29 Jan 2010,$1.01B
26 Feb 2010,$1.16B
31 Mar 2010,$1.22B
30 Apr 2010,$1.17B
31 May 2010,$1.1B
30 Jun 2010,$1.02B
30 Jul 2010,$0.98B
31 Aug 2010,$1.02B
30 Sep 2010,$0.95B
29 Oct 2010,$1.09B
30 Nov 2010,$1.16B
31 Dec 2010,$1.24B
31 Jan 2011,$1.36B
28 Feb 2011,$1.46B
31 Mar 2011,$1.28B
29 Apr 2011,$1.31B
31 May 2011,$1.3B
30 Jun 2011,$1.36B
29 Jul 2011,$1.4B
31 Aug 2011,$1.41B
30 Sep 2011,$1.45B
31 Oct 2011,$1.5B
30 Nov 2011,$1.42B
30 Dec 2011,$1.37B
31 Jan 2012,$1.46B
29 Feb 2012,$1.5B
30 Mar 2012,$1.57B
30 Apr 2012,$1.5B
31 May 2012,$1.3B
29 Jun 2012,$1.39B
31 Jul 2012,$1.28B
31 Aug 2012,$1.37B
28 Sep 2012,$1.42B
31 Oct 2012,$1.48B
30 Nov 2012,$1.51B
31 Dec 2012,$1.67B
31 Jan 2013,$1.91B
28 Feb 2013,$2.02B
29 Mar 2013,$2.34B
30 Apr 2013,$2.69B
31 May 2013,$2.45B
28 Jun 2013,$2.42B
31 Jul 2013,$2.53B
30 Aug 2013,$2.5B
30 Sep 2013,$2.89B
31 Oct 2013,$2.91B
29 Nov 2013,$3.3B
31 Dec 2013,$3.25B
31 Jan 2014,$2.83B
28 Feb 2014,$2.73B
31 Mar 2014,$2.7B
30 Apr 2014,$2.76B
30 May 2014,$2.94B
30 Jun 2014,$3.19B
31 Jul 2014,$3.13B
29 Aug 2014,$2.87B
30 Sep 2014,$2.72B
31 Oct 2014,$2.68B
28 Nov 2014,$2.74B
31 Dec 2014,$2.8B
30 Jan 2015,$2.62B
27 Feb 2015,$2.89B
31 Mar 2015,$3.4B
30 Apr 2015,$3.54B
29 May 2015,$3.62B
30 Jun 2015,$3.69B
31 Jul 2015,$3.91B
31 Aug 2015,$3.49B
30 Sep 2015,$3.21B
30 Oct 2015,$3.85B
30 Nov 2015,$3.95B
31 Dec 2015,$4.05B
29 Jan 2016,$4.09B
29 Feb 2016,$3.58B
31 Mar 2016,$3.89B
29 Apr 2016,$3.51B
31 May 2016,$3.59B
30 Jun 2016,$3.06B
29 Jul 2016,$3.34B
31 Aug 2016,$3.62B
30 Sep 2016,$3.39B
31 Oct 2016,$3.45B
30 Nov 2016,$3.44B
30 Dec 2016,$3.72B
31 Jan 2017,$3.58B
28 Feb 2017,$3.53B
28 Apr 2017,$3.58B
31 May 2017,$3.91B
30 Jun 2017,$4.18B
31 Jul 2017,$4.38B
31 Aug 2017,$4.44B
29 Sep 2017,$4.71B
31 Oct 2017,$4.59B
30 Nov 2017,$4.74B
29 Dec 2017,$5.09B
31 Jan 2018,$5.48B
28 Feb 2018,$5.65B
30 Mar 2018,$6.14B
30 Apr 2018,$6.37B
31 May 2018,$6.1B
29 Jun 2018,$5.85B
31 Jul 2018,$5.68B
31 Aug 2018,$5.72B
28 Sep 2018,$6.58B
31 Oct 2018,$5.63B
30 Nov 2018,$5.05B
31 Dec 2018,$4.5B
31 Jan 2019,$4.73B
28 Feb 2019,$4.62B
29 Mar 2019,$4.48B
30 Apr 2019,$4.77B
31 May 2019,$4.1B
28 Jun 2019,$4.23B
31 Jul 2019,$4.22B
30 Aug 2019,$3.99B
30 Sep 2019,$4.65B
31 Oct 2019,$4.7B
29 Nov 2019,$5.44B
31 Dec 2019,$5.45B
31 Jan 2020,$5.27B
28 Feb 2020,$4.82B
31 Mar 2020,$3.64B
30 Apr 2020,$3.97B
7 May 2020,$3.68B
29 May 2020,$5.04B
5 Jun 2020,$5.32B
30 Jun 2020,$5.93B
31 Jul 2020,$6.32B
21 Aug 2020,$6.03B
31 Aug 2020,$5.86B
2 Sep 2020,$5.95B
30 Sep 2020,$6.15B
22 Oct 2020,$6.03B
30 Oct 2020,$5.48B
12 Nov 2020,$6.95B
18 Nov 2020,$6.93B
25 Nov 2020,$7.44B
3 Dec 2020,$7.71B
9 Dec 2020,$7.75B
18 Dec 2020,$8.29B
25 Dec 2020,$8.6B
31 Dec 2020,$8.81B
8 Jan 2021,$9.25B
15 Jan 2021,$9.18B
22 Jan 2021,$9.73B
29 Jan 2021,$9.11B
1 Feb 2021,$9.56B
15 Feb 2021,$8.54B
19 Feb 2021,$8.03B
1 Mar 2021,$7.68B
5 Mar 2021,$7.71B
19 Mar 2021,$8.3B
26 Mar 2021,$8.17B
1 Apr 2021,$7.73B
7 Apr 2021,$7.79B
16 Apr 2021,$8B
22 Apr 2021,$7.34B
30 Apr 2021,$7.27B
7 May 2021,$7.41B
13 May 2021,$7.03B
20 May 2021,$7.14B
31 May 2021,$6.93B
4 Jun 2021,$7.08B
11 Jun 2021,$6.47B
30 Jun 2021,$6.43B
9 Jul 2021,$5.97B
16 Jul 2021,$6.49B
20 Jul 2021,$6.34B
30 Jul 2021,$6.61B
6 Aug 2021,$6.83B
13 Aug 2021,$6.89B
20 Aug 2021,$6.27B
27 Aug 2021,$6.55B
3 Sep 2021,$6.96B
10 Sep 2021,$7.33B
17 Sep 2021,$7.38B
24 Sep 2021,$7.29B
2 Oct 2021,$6.66B
9 Oct 2021,$6.75B
16 Oct 2021,$6.87B
23 Oct 2021,$7.13B
30 Oct 2021,$6.98B
6 Nov 2021,$6.68B
13 Nov 2021,$6.82B
20 Nov 2021,$6.23B
27 Nov 2021,$6.13B
4 Dec 2021,$6.11B
10 Dec 2021,$6.13B
