timeline,Acom
29 Mar 2002,$9.96B
30 Apr 2002,$12.67B
31 May 2002,$11.02B
28 Jun 2002,$10.59B
31 Jul 2002,$9.34B
30 Aug 2002,$9.04B
30 Sep 2002,$6.65B
31 Oct 2002,$4.9B
29 Nov 2002,$6.03B
31 Dec 2002,$5.04B
31 Jan 2003,$4.75B
28 Feb 2003,$5.02B
31 Mar 2003,$4.01B
30 Apr 2003,$4.33B
30 May 2003,$5.3B
30 Jun 2003,$5.61B
31 Jul 2003,$5.88B
29 Aug 2003,$6.26B
30 Sep 2003,$6.48B
31 Oct 2003,$6.36B
28 Nov 2003,$5.72B
31 Dec 2003,$6.29B
30 Jan 2004,$7.79B
27 Feb 2004,$8.51B
31 Mar 2004,$9.76B
30 Apr 2004,$10.1B
31 May 2004,$9.53B
30 Jun 2004,$9.11B
30 Jul 2004,$9.21B
31 Aug 2004,$9.26B
30 Sep 2004,$8.76B
29 Oct 2004,$8.54B
30 Nov 2004,$9.95B
31 Dec 2004,$9.85B
31 Jan 2005,$9.35B
28 Feb 2005,$9.24B
31 Mar 2005,$10.21B
29 Apr 2005,$9.5B
31 May 2005,$9.84B
30 Jun 2005,$10.01B
29 Jul 2005,$9.93B
31 Aug 2005,$10.22B
30 Sep 2005,$11.6B
31 Oct 2005,$10.6B
30 Nov 2005,$10.07B
30 Dec 2005,$10.67B
31 Jan 2006,$9.46B
28 Feb 2006,$10.05B
31 Mar 2006,$9.73B
28 Apr 2006,$9.35B
30 Jun 2006,$8.74B
31 Jul 2006,$7.32B
31 Aug 2006,$7.39B
29 Sep 2006,$7.1B
31 Oct 2006,$6.34B
30 Nov 2006,$6.15B
29 Dec 2006,$5.63B
31 Jan 2007,$6.45B
28 Feb 2007,$6.18B
30 Mar 2007,$7.05B
30 Apr 2007,$6.1B
31 May 2007,$6.67B
29 Jun 2007,$6.22B
31 Jul 2007,$5.98B
31 Aug 2007,$4.87B
28 Sep 2007,$3.6B
31 Oct 2007,$3.87B
30 Nov 2007,$3.85B
31 Dec 2007,$3.22B
31 Jan 2008,$3.69B
29 Feb 2008,$4.28B
31 Mar 2008,$3.72B
30 Apr 2008,$4.53B
30 May 2008,$4.67B
30 Jun 2008,$4.63B
31 Jul 2008,$4.48B
29 Aug 2008,$4.31B
30 Sep 2008,$5.05B
31 Oct 2008,$5.21B
28 Nov 2008,$5.34B
31 Dec 2008,$5.29B
30 Jan 2009,$4.48B
27 Feb 2009,$3.41B
31 Mar 2009,$3.85B
30 Apr 2009,$3.28B
29 May 2009,$3.45B
30 Jun 2009,$3.35B
31 Jul 2009,$2.79B
31 Aug 2009,$2.65B
30 Sep 2009,$1.92B
30 Oct 2009,$1.63B
30 Nov 2009,$1.6B
31 Dec 2009,$1.96B
29 Jan 2010,$2.16B
26 Feb 2010,$1.77B
31 Mar 2010,$2.12B
30 Apr 2010,$2.06B
31 May 2010,$1.64B
30 Jun 2010,$1.6B
30 Jul 2010,$2.1B
31 Aug 2010,$1.76B
30 Sep 2010,$1.75B
29 Oct 2010,$1.28B
30 Nov 2010,$1.36B
31 Dec 2010,$1.39B
31 Jan 2011,$2.04B
28 Feb 2011,$2.03B
31 Mar 2011,$1.55B
29 Apr 2011,$1.64B
31 May 2011,$1.8B
30 Jun 2011,$1.83B
29 Jul 2011,$1.82B
31 Aug 2011,$1.85B
30 Sep 2011,$2.07B
31 Oct 2011,$1.95B
30 Nov 2011,$1.68B
30 Dec 2011,$1.9B
29 Feb 2012,$2.35B
30 Mar 2012,$2.56B
30 Apr 2012,$2.39B
31 May 2012,$2.1B
29 Jun 2012,$2.17B
31 Jul 2012,$2.27B
31 Aug 2012,$2.5B
28 Sep 2012,$2.74B
31 Oct 2012,$3.26B
30 Nov 2012,$3.11B
31 Dec 2012,$3.41B
