timeline,Japan Exchange Group
30 Sep 2008,$0.69B
31 Oct 2008,$0.74B
28 Nov 2008,$1.02B
31 Dec 2008,$0.94B
30 Jan 2009,$0.99B
27 Feb 2009,$0.78B
31 Mar 2009,$0.75B
30 Apr 2009,$0.74B
29 May 2009,$1.06B
30 Jun 2009,$1.1B
31 Jul 2009,$1.01B
30 Sep 2009,$0.97B
30 Oct 2009,$1.05B
30 Nov 2009,$1.03B
31 Dec 2009,$1.05B
29 Jan 2010,$1.2B
26 Feb 2010,$1.15B
31 Mar 2010,$1.16B
30 Apr 2010,$1.15B
31 May 2010,$1.07B
30 Jun 2010,$0.9B
30 Jul 2010,$1.02B
31 Aug 2010,$0.97B
29 Oct 2010,$0.96B
30 Nov 2010,$0.99B
31 Dec 2010,$0.97B
31 Jan 2011,$1B
28 Feb 2011,$1.06B
31 Mar 2011,$0.99B
29 Apr 2011,$0.98B
31 May 2011,$0.86B
30 Jun 2011,$0.85B
29 Jul 2011,$0.92B
31 Aug 2011,$0.97B
30 Sep 2011,$0.85B
31 Oct 2011,$0.88B
30 Nov 2011,$1.05B
31 Jan 2012,$1.06B
29 Feb 2012,$1.1B
30 Mar 2012,$1.09B
31 May 2012,$1.08B
29 Jun 2012,$1.07B
31 Jul 2012,$1.1B
31 Aug 2012,$0.85B
28 Sep 2012,$0.81B
31 Oct 2012,$0.71B
30 Nov 2012,$0.77B
31 Dec 2012,$1.02B
31 Jan 2013,$1.31B
28 Feb 2013,$4.54B
29 Mar 2013,$5.48B
30 Apr 2013,$5.79B
31 May 2013,$4.59B
28 Jun 2013,$4.85B
31 Jul 2013,$4.45B
30 Aug 2013,$3.76B
30 Sep 2013,$5.26B
31 Oct 2013,$5.49B
29 Nov 2013,$6.62B
31 Dec 2013,$7.23B
31 Jan 2014,$6.1B
28 Feb 2014,$5.84B
31 Mar 2014,$6.09B
30 Apr 2014,$4.88B
30 May 2014,$5.89B
30 Jun 2014,$6.04B
31 Jul 2014,$5.78B
29 Aug 2014,$5.97B
30 Sep 2014,$6.3B
31 Oct 2014,$6.5B
28 Nov 2014,$7.37B
31 Dec 2014,$6.86B
30 Jan 2015,$6.71B
27 Feb 2015,$8.16B
31 Mar 2015,$8.43B
30 Apr 2015,$8.45B
29 May 2015,$9.16B
30 Jun 2015,$9.62B
31 Jul 2015,$10.46B
31 Aug 2015,$9.15B
30 Sep 2015,$8.41B
30 Oct 2015,$9.51B
30 Nov 2015,$9.34B
31 Dec 2015,$9.25B
29 Jan 2016,$8.16B
29 Feb 2016,$8.48B
31 Mar 2016,$8.35B
29 Apr 2016,$8.11B
31 May 2016,$7.31B
30 Jun 2016,$5.65B
29 Jul 2016,$7.12B
31 Aug 2016,$7.82B
30 Sep 2016,$7.58B
31 Oct 2016,$7.57B
30 Nov 2016,$8.2B
30 Dec 2016,$8.08B
31 Jan 2017,$8.16B
28 Feb 2017,$7.52B
31 Mar 2017,$7.55B
28 Apr 2017,$7.44B
31 May 2017,$8.53B
30 Jun 2017,$9.62B
31 Jul 2017,$9.37B
31 Aug 2017,$8.86B
29 Sep 2017,$9.41B
31 Oct 2017,$9.6B
30 Nov 2017,$9.75B
29 Dec 2017,$9.27B
28 Feb 2018,$8.78B
30 Mar 2018,$9.32B
30 Apr 2018,$9.59B
31 May 2018,$9.77B
29 Jun 2018,$9.73B
31 Jul 2018,$9.38B
31 Aug 2018,$9.25B
28 Sep 2018,$9.35B
31 Oct 2018,$9.57B
30 Nov 2018,$9.66B
31 Dec 2018,$8.4B
31 Jan 2019,$9.03B
28 Feb 2019,$9.28B
29 Mar 2019,$9.32B
30 Apr 2019,$8.54B
31 May 2019,$7.95B
28 Jun 2019,$8.08B
31 Jul 2019,$7.57B
30 Aug 2019,$7.94B
30 Sep 2019,$8.02B
31 Oct 2019,$8.5B
29 Nov 2019,$8.79B
31 Dec 2019,$9.11B
31 Jan 2020,$9.37B
28 Feb 2020,$8.57B
31 Mar 2020,$9B
1 May 2020,$9.58B
29 May 2020,$10.94B
30 Jun 2020,$11.76B
14 Jul 2020,$11.98B
31 Jul 2020,$11.8B
7 Aug 2020,$11.84B
14 Aug 2020,$12.46B
19 Aug 2020,$12.85B
21 Aug 2020,$12.87B
31 Aug 2020,$12.97B
7 Sep 2020,$13.19B
18 Sep 2020,$13.56B
25 Sep 2020,$13.91B
30 Sep 2020,$13.87B
8 Oct 2020,$13.23B
16 Oct 2020,$12.74B
22 Oct 2020,$12.39B
30 Oct 2020,$12B
6 Nov 2020,$12.04B
13 Nov 2020,$11.34B
20 Nov 2020,$11.38B
30 Nov 2020,$12.2B
4 Dec 2020,$12.31B
11 Dec 2020,$11.78B
18 Dec 2020,$12B
24 Dec 2020,$11.86B
31 Dec 2020,$12.45B
8 Jan 2021,$12.6B
15 Jan 2021,$12.64B
22 Jan 2021,$12.61B
29 Jan 2021,$11.54B
12 Feb 2021,$11.36B
19 Feb 2021,$11.53B
26 Feb 2021,$10.83B
1 Mar 2021,$11.21B
11 Mar 2021,$11.99B
17 Mar 2021,$11.91B
25 Mar 2021,$12.55B
31 Mar 2021,$12.25B
1 Apr 2021,$12.34B
7 Apr 2021,$12.49B
16 Apr 2021,$13.18B
22 Apr 2021,$12.73B
30 Apr 2021,$12.09B
7 May 2021,$12.65B
13 May 2021,$11.44B
19 May 2021,$12.1B
28 May 2021,$12.12B
11 Jun 2021,$11.8B
30 Jun 2021,$11.65B
12 Jul 2021,$11.84B
16 Jul 2021,$11.98B
20 Jul 2021,$11.86B
30 Jul 2021,$12.19B
6 Aug 2021,$12.35B
13 Aug 2021,$12.64B
20 Aug 2021,$12.56B
27 Aug 2021,$12.67B
3 Sep 2021,$13.18B
10 Sep 2021,$14.35B
17 Sep 2021,$14.39B
24 Sep 2021,$14.25B
2 Oct 2021,$13.03B
9 Oct 2021,$13.26B
16 Oct 2021,$13.18B
23 Oct 2021,$12.82B
30 Oct 2021,$12.53B
6 Nov 2021,$12.21B
13 Nov 2021,$11.77B
20 Nov 2021,$11.2B
27 Nov 2021,$10.95B
4 Dec 2021,$11.31B
9 Dec 2021,$11.25B
