timeline,MS&AD Insurance
30 Apr 2008,$15.38B
30 May 2008,$15.42B
30 Jun 2008,$13.6B
31 Jul 2008,$13.37B
29 Aug 2008,$13.41B
30 Sep 2008,$12.96B
31 Oct 2008,$9.94B
28 Nov 2008,$8.43B
31 Dec 2008,$10.38B
30 Jan 2009,$8.86B
27 Feb 2009,$8.8B
31 Mar 2009,$8.41B
30 Apr 2009,$9.89B
29 May 2009,$10.31B
30 Jun 2009,$9.37B
31 Jul 2009,$8.98B
31 Aug 2009,$9.7B
30 Sep 2009,$9.15B
30 Oct 2009,$8.02B
30 Nov 2009,$8.39B
31 Dec 2009,$8.74B
29 Jan 2010,$8.37B
26 Feb 2010,$8.42B
31 Mar 2010,$9.49B
30 Apr 2010,$9.91B
31 May 2010,$8.23B
30 Jun 2010,$10.61B
30 Jul 2010,$10.62B
31 Aug 2010,$10.4B
30 Sep 2010,$10.51B
29 Oct 2010,$10.73B
30 Nov 2010,$10.52B
31 Dec 2010,$11.16B
31 Jan 2011,$10.7B
28 Feb 2011,$11.76B
31 Mar 2011,$10.38B
29 Apr 2011,$10.36B
31 May 2011,$10.39B
30 Jun 2011,$10.29B
29 Jul 2011,$10.59B
31 Aug 2011,$9.78B
30 Sep 2011,$9.3B
31 Oct 2011,$8.57B
30 Nov 2011,$8.15B
30 Dec 2011,$7.82B
31 Jan 2012,$8.57B
29 Feb 2012,$9.56B
30 Mar 2012,$9.32B
30 Apr 2012,$8.13B
31 May 2012,$6.6B
29 Jun 2012,$7.58B
31 Jul 2012,$6.95B
31 Aug 2012,$6.77B
28 Sep 2012,$7.41B
31 Oct 2012,$7.42B
30 Nov 2012,$7.84B
31 Dec 2012,$9.35B
31 Jan 2013,$10.52B
29 Mar 2013,$11.33B
30 Apr 2013,$14.3B
31 May 2013,$14.02B
28 Jun 2013,$13.83B
31 Jul 2013,$13.94B
30 Aug 2013,$13.62B
30 Sep 2013,$13.99B
31 Oct 2013,$13.8B
29 Nov 2013,$15.07B
31 Dec 2013,$15.42B
31 Jan 2014,$13.18B
28 Feb 2014,$13.16B
31 Mar 2014,$12.92B
30 Apr 2014,$12.52B
30 May 2014,$13.17B
30 Jun 2014,$13.66B
31 Jul 2014,$13.29B
29 Aug 2014,$13.1B
30 Sep 2014,$12.99B
31 Oct 2014,$12.8B
28 Nov 2014,$15.05B
31 Dec 2014,$15.64B
30 Jan 2015,$15.69B
27 Feb 2015,$17.94B
31 Mar 2015,$18.19B
30 Apr 2015,$18.58B
29 May 2015,$20.86B
