timeline,T&D Holdings
30 Apr 2004,$9.37B
31 May 2004,$9.91B
30 Jun 2004,$11.61B
30 Jul 2004,$11.01B
31 Aug 2004,$10.61B
30 Sep 2004,$10.27B
29 Oct 2004,$9.97B
30 Nov 2004,$10.22B
31 Dec 2004,$10.44B
31 Jan 2005,$10.35B
28 Feb 2005,$11.84B
31 Mar 2005,$11.61B
29 Apr 2005,$11.03B
31 May 2005,$11.63B
30 Jun 2005,$11.12B
29 Jul 2005,$11.35B
31 Aug 2005,$13.44B
30 Sep 2005,$14.4B
31 Oct 2005,$15.53B
30 Nov 2005,$16.13B
30 Dec 2005,$16.66B
31 Jan 2006,$17.83B
28 Feb 2006,$18.68B
31 Mar 2006,$19.99B
28 Apr 2006,$18.97B
31 May 2006,$16.93B
30 Jun 2006,$20.1B
31 Jul 2006,$19.79B
31 Aug 2006,$18.92B
29 Sep 2006,$18.58B
30 Nov 2006,$18.32B
29 Dec 2006,$17.1B
31 Jan 2007,$17.66B
28 Feb 2007,$18.62B
30 Mar 2007,$17.66B
30 Apr 2007,$16.53B
31 May 2007,$17.88B
29 Jun 2007,$18.09B
31 Jul 2007,$16.99B
31 Aug 2007,$14.62B
28 Sep 2007,$15.36B
31 Oct 2007,$14.92B
30 Nov 2007,$13.92B
31 Dec 2007,$12.53B
31 Jan 2008,$12.42B
29 Feb 2008,$11.77B
31 Mar 2008,$11.34B
30 Apr 2008,$14.38B
30 May 2008,$15.25B
30 Jun 2008,$14.19B
31 Jul 2008,$14.84B
29 Aug 2008,$12.6B
30 Sep 2008,$11.86B
31 Oct 2008,$7.91B
28 Nov 2008,$7.76B
31 Dec 2008,$8.04B
30 Jan 2009,$6.43B
27 Feb 2009,$4.85B
31 Mar 2009,$5.69B
30 Apr 2009,$7.05B
29 May 2009,$6.54B
30 Jun 2009,$6.69B
31 Jul 2009,$6.71B
31 Aug 2009,$6.75B
30 Sep 2009,$5.87B
30 Oct 2009,$5.82B
30 Nov 2009,$4.83B
31 Dec 2009,$4.59B
29 Jan 2010,$4.52B
26 Feb 2010,$4.63B
31 Mar 2010,$6.63B
30 Apr 2010,$7.39B
31 May 2010,$6.47B
30 Jun 2010,$5.76B
30 Jul 2010,$5.69B
31 Aug 2010,$4.8B
30 Sep 2010,$5.22B
29 Oct 2010,$4.95B
30 Nov 2010,$5.71B
31 Dec 2010,$6.19B
31 Jan 2011,$6.2B
28 Feb 2011,$7.09B
31 Mar 2011,$6.16B
29 Apr 2011,$5.98B
31 May 2011,$5.87B
30 Jun 2011,$5.72B
29 Jul 2011,$5.68B
31 Aug 2011,$4.71B
30 Sep 2011,$4.43B
31 Oct 2011,$4.73B
30 Nov 2011,$4.41B
30 Dec 2011,$4.31B
31 Jan 2012,$4.66B
29 Feb 2012,$5.7B
30 Apr 2012,$5.16B
31 May 2012,$4.45B
29 Jun 2012,$5.01B
31 Jul 2012,$4.77B
31 Aug 2012,$4.71B
28 Sep 2012,$5.03B
31 Oct 2012,$5.19B
30 Nov 2012,$5.27B
31 Dec 2012,$6.19B
31 Jan 2013,$6.72B
28 Feb 2013,$6.54B
29 Mar 2013,$6.76B
30 Apr 2013,$6.73B
31 May 2013,$7.48B
28 Jun 2013,$7.93B
31 Jul 2013,$7.38B
30 Aug 2013,$7.11B
30 Sep 2013,$7.2B
31 Oct 2013,$6.97B
29 Nov 2013,$8.03B
31 Dec 2013,$8.71B
31 Jan 2014,$7.5B
28 Feb 2014,$7.39B
31 Mar 2014,$7.28B
30 Apr 2014,$7.23B
30 May 2014,$7.86B
30 Jun 2014,$8.17B
31 Jul 2014,$7.76B
29 Aug 2014,$7.65B
30 Sep 2014,$8.26B
31 Oct 2014,$8.25B
28 Nov 2014,$8.43B
31 Dec 2014,$8.55B
30 Jan 2015,$7.86B
27 Feb 2015,$9.11B
31 Mar 2015,$9.7B
30 Apr 2015,$10.17B
29 May 2015,$10.91B
30 Jun 2015,$10.7B
31 Jul 2015,$11.08B
31 Aug 2015,$9.59B
30 Sep 2015,$8.04B
30 Oct 2015,$9.17B
30 Nov 2015,$9.87B
31 Dec 2015,$9.21B
29 Jan 2016,$7.77B
29 Feb 2016,$6.37B
31 Mar 2016,$6.01B
29 Apr 2016,$6.19B
31 May 2016,$6.33B
30 Jun 2016,$4.91B
29 Jul 2016,$6.1B
31 Aug 2016,$6.76B
30 Sep 2016,$6.33B
31 Oct 2016,$7.12B
30 Nov 2016,$8.01B
30 Dec 2016,$8.66B
31 Jan 2017,$9.43B
28 Feb 2017,$9.66B
31 Mar 2017,$9.02B
28 Apr 2017,$9.23B
31 May 2017,$8.74B
30 Jun 2017,$9.38B
31 Jul 2017,$8.96B
31 Aug 2017,$8.28B
29 Sep 2017,$8.96B
31 Oct 2017,$9.6B
30 Nov 2017,$10.13B
29 Dec 2017,$10.58B
31 Jan 2018,$10.66B
28 Feb 2018,$9.77B
30 Mar 2018,$9.27B
30 Apr 2018,$10.2B
31 May 2018,$9.38B
29 Jun 2018,$9.1B
31 Jul 2018,$9B
31 Aug 2018,$9.13B
28 Sep 2018,$10.13B
31 Oct 2018,$9.82B
30 Nov 2018,$8.71B
31 Dec 2018,$6.9B
31 Jan 2019,$7.27B
28 Feb 2019,$7.21B
29 Mar 2019,$6.28B
30 Apr 2019,$6.46B
31 May 2019,$6.06B
28 Jun 2019,$6.24B
31 Jul 2019,$6.5B
30 Aug 2019,$5.49B
30 Sep 2019,$6.07B
31 Oct 2019,$6.46B
29 Nov 2019,$6.82B
31 Dec 2019,$7.12B
31 Jan 2020,$6.08B
28 Feb 2020,$5.44B
31 Mar 2020,$4.68B
30 Apr 2020,$4.98B
29 May 2020,$5.16B
30 Jun 2020,$4.88B
14 Jul 2020,$5.08B
31 Jul 2020,$4.57B
7 Aug 2020,$4.88B
21 Aug 2020,$5.44B
31 Aug 2020,$5.88B
25 Sep 2020,$5.69B
30 Sep 2020,$5.47B
9 Oct 2020,$5.78B
16 Oct 2020,$5.63B
23 Oct 2020,$6.02B
30 Oct 2020,$5.49B
6 Nov 2020,$5.61B
13 Nov 2020,$5.91B
20 Nov 2020,$6.48B
27 Nov 2020,$6.46B
4 Dec 2020,$6.52B
18 Dec 2020,$6.37B
31 Dec 2020,$6.35B
8 Jan 2021,$7.22B
22 Jan 2021,$6.63B
29 Jan 2021,$6.32B
12 Feb 2021,$7.26B
19 Feb 2021,$7.53B
1 Mar 2021,$7.54B
19 Mar 2021,$7.92B
25 Mar 2021,$7.5B
1 Apr 2021,$7.44B
7 Apr 2021,$7.43B
16 Apr 2021,$7.07B
30 Apr 2021,$6.98B
7 May 2021,$7.22B
13 May 2021,$7.2B
19 May 2021,$7.81B
4 Jun 2021,$7.99B
11 Jun 2021,$7.52B
30 Jun 2021,$7.44B
12 Jul 2021,$7.29B
20 Jul 2021,$6.97B
30 Jul 2021,$7.49B
6 Aug 2021,$7.65B
13 Aug 2021,$7.62B
20 Aug 2021,$7B
27 Aug 2021,$7.32B
3 Sep 2021,$7.54B
10 Sep 2021,$7.72B
24 Sep 2021,$8.45B
2 Oct 2021,$8.03B
16 Oct 2021,$7.86B
23 Oct 2021,$7.79B
30 Oct 2021,$7.52B
6 Nov 2021,$7.28B
13 Nov 2021,$7.37B
20 Nov 2021,$7.23B
27 Nov 2021,$7.24B
4 Dec 2021,$6.56B
10 Dec 2021,$6.87B
