timeline,Nippon Building Fund
30 Jun 2009,$3.95B
31 Jul 2009,$4.06B
31 Aug 2009,$3.92B
30 Sep 2009,$3.83B
30 Oct 2009,$3.57B
30 Nov 2009,$3.35B
31 Dec 2009,$3.37B
29 Jan 2010,$3.81B
26 Feb 2010,$3.76B
31 Mar 2010,$3.83B
30 Apr 2010,$3.77B
31 May 2010,$3.53B
30 Jun 2010,$3.36B
30 Jul 2010,$3.52B
31 Aug 2010,$3.4B
30 Sep 2010,$3.49B
29 Oct 2010,$3.77B
30 Nov 2010,$3.9B
31 Dec 2010,$3.98B
31 Jan 2011,$4.11B
28 Feb 2011,$4.1B
31 Mar 2011,$3.87B
29 Apr 2011,$3.89B
31 May 2011,$3.97B
30 Jun 2011,$3.76B
29 Jul 2011,$3.77B
31 Aug 2011,$3.93B
30 Sep 2011,$3.82B
31 Oct 2011,$3.63B
30 Nov 2011,$3.39B
30 Dec 2011,$3.01B
31 Jan 2012,$3.49B
29 Feb 2012,$3.97B
30 Mar 2012,$4.01B
30 Apr 2012,$3.88B
31 May 2012,$3.65B
29 Jun 2012,$3.93B
31 Jul 2012,$4.1B
31 Aug 2012,$4.28B
28 Sep 2012,$4.55B
31 Oct 2012,$4.63B
30 Nov 2012,$4.66B
31 Dec 2012,$4.83B
31 Jan 2013,$5.1B
28 Feb 2013,$5.6B
29 Mar 2013,$7.03B
30 Apr 2013,$7.58B
31 May 2013,$5.65B
28 Jun 2013,$6.2B
31 Jul 2013,$6.51B
30 Aug 2013,$6.53B
30 Sep 2013,$7.44B
31 Oct 2013,$7.42B
29 Nov 2013,$7.35B
31 Dec 2013,$7.47B
31 Jan 2014,$7.11B
28 Feb 2014,$7.1B
31 Mar 2014,$6.71B
30 Apr 2014,$7.05B
30 May 2014,$7.42B
30 Jun 2014,$7.37B
31 Jul 2014,$7.22B
29 Aug 2014,$7.21B
30 Sep 2014,$7.18B
31 Oct 2014,$7.74B
28 Nov 2014,$7.44B
31 Dec 2014,$7.52B
30 Jan 2015,$7.22B
27 Feb 2015,$7.47B
