timeline,Japan Real Estate Investment
31 Mar 2009,$2.95B
30 Apr 2009,$2.72B
29 May 2009,$2.87B
30 Jun 2009,$3.13B
31 Jul 2009,$3.09B
31 Aug 2009,$2.96B
30 Sep 2009,$2.87B
30 Oct 2009,$2.84B
30 Nov 2009,$2.46B
31 Dec 2009,$2.67B
29 Jan 2010,$2.96B
26 Feb 2010,$3B
31 Mar 2010,$3.11B
30 Apr 2010,$3.07B
31 May 2010,$2.88B
30 Jun 2010,$2.83B
30 Jul 2010,$2.99B
31 Aug 2010,$2.91B
30 Sep 2010,$3.27B
29 Oct 2010,$3.34B
30 Nov 2010,$3.48B
31 Dec 2010,$3.63B
31 Jan 2011,$3.54B
28 Feb 2011,$3.63B
31 Mar 2011,$3.4B
29 Apr 2011,$3.46B
31 May 2011,$3.43B
30 Jun 2011,$3.41B
29 Jul 2011,$3.34B
31 Aug 2011,$3.33B
30 Sep 2011,$3.25B
31 Oct 2011,$2.9B
30 Nov 2011,$2.77B
30 Dec 2011,$2.59B
31 Jan 2012,$2.88B
29 Feb 2012,$3.1B
30 Mar 2012,$3.15B
30 Apr 2012,$3.43B
31 May 2012,$3.35B
29 Jun 2012,$3.54B
31 Aug 2012,$3.7B
28 Sep 2012,$3.81B
31 Oct 2012,$3.87B
30 Nov 2012,$3.92B
31 Dec 2012,$4.45B
31 Jan 2013,$4.84B
28 Feb 2013,$5.33B
29 Mar 2013,$6.76B
30 Apr 2013,$6.84B
31 May 2013,$5.26B
28 Jun 2013,$5.8B
31 Jul 2013,$5.43B
30 Aug 2013,$5.48B
30 Sep 2013,$6.02B
31 Oct 2013,$5.9B
29 Nov 2013,$5.67B
31 Dec 2013,$5.91B
31 Jan 2014,$5.54B
28 Feb 2014,$5.78B
31 Mar 2014,$5.43B
30 Apr 2014,$5.67B
30 May 2014,$6.24B
30 Jun 2014,$6.51B
31 Jul 2014,$6.42B
29 Aug 2014,$6.31B
30 Sep 2014,$6.23B
31 Oct 2014,$6.71B
28 Nov 2014,$6.46B
31 Dec 2014,$6.4B
30 Jan 2015,$6.33B
27 Feb 2015,$6.58B
31 Mar 2015,$6.24B
30 Apr 2015,$6.25B
29 May 2015,$6.31B
30 Jun 2015,$6.42B
31 Aug 2015,$5.89B
30 Sep 2015,$6.36B
30 Oct 2015,$6.47B
30 Nov 2015,$6.77B
31 Dec 2015,$6.78B
