timeline,Tobu Railway
30 Mar 2007,$4.29B
30 Apr 2007,$4.16B
31 May 2007,$4.15B
29 Jun 2007,$4.22B
31 Jul 2007,$3.95B
28 Sep 2007,$4.09B
31 Oct 2007,$4.11B
30 Nov 2007,$4.07B
31 Dec 2007,$3.95B
31 Jan 2008,$3.92B
29 Feb 2008,$3.8B
31 Mar 2008,$4.03B
30 Apr 2008,$4.01B
30 May 2008,$3.91B
30 Jun 2008,$3.81B
31 Jul 2008,$3.73B
29 Aug 2008,$3.76B
30 Sep 2008,$3.87B
31 Oct 2008,$3.75B
28 Nov 2008,$3.92B
31 Dec 2008,$4.05B
30 Jan 2009,$3.76B
27 Feb 2009,$3.71B
31 Mar 2009,$3.75B
30 Apr 2009,$3.87B
29 May 2009,$3.9B
30 Jun 2009,$4.26B
31 Jul 2009,$4.32B
31 Aug 2009,$4.4B
30 Sep 2009,$4.12B
30 Oct 2009,$3.73B
30 Nov 2009,$3.61B
31 Dec 2009,$3.65B
26 Feb 2010,$3.67B
31 Mar 2010,$3.92B
30 Apr 2010,$3.75B
31 May 2010,$3.59B
30 Jun 2010,$3.62B
30 Jul 2010,$3.75B
31 Aug 2010,$3.63B
29 Oct 2010,$3.42B
30 Nov 2010,$3.44B
31 Jan 2011,$3.42B
28 Feb 2011,$3B
31 Mar 2011,$3.21B
29 Apr 2011,$2.97B
31 May 2011,$2.9B
30 Jun 2011,$3.19B
29 Jul 2011,$3.17B
31 Aug 2011,$3.29B
30 Sep 2011,$3.45B
31 Oct 2011,$3.54B
30 Nov 2011,$3.67B
30 Dec 2011,$3.7B
31 Jan 2012,$3.76B
29 Feb 2012,$3.99B
30 Mar 2012,$4.14B
30 Apr 2012,$3.84B
31 May 2012,$3.62B
29 Jun 2012,$3.95B
31 Jul 2012,$4B
31 Aug 2012,$4.1B
28 Sep 2012,$3.96B
31 Oct 2012,$4B
30 Nov 2012,$4.02B
31 Dec 2012,$4.31B
31 Jan 2013,$4.63B
28 Feb 2013,$4.8B
29 Mar 2013,$5.06B
30 Apr 2013,$5.33B
31 May 2013,$4.98B
28 Jun 2013,$4.82B
31 Jul 2013,$4.77B
30 Aug 2013,$4.67B
30 Sep 2013,$4.88B
31 Oct 2013,$4.79B
29 Nov 2013,$4.71B
31 Dec 2013,$4.81B
31 Jan 2014,$4.51B
28 Feb 2014,$4.66B
31 Mar 2014,$4.7B
30 Apr 2014,$4.71B
30 May 2014,$4.77B
30 Jun 2014,$4.99B
31 Jul 2014,$5.12B
29 Aug 2014,$5.13B
30 Sep 2014,$5.2B
31 Oct 2014,$5.27B
28 Nov 2014,$5.04B
31 Dec 2014,$4.88B
30 Jan 2015,$5.35B
27 Feb 2015,$5.6B
31 Mar 2015,$5.37B
30 Apr 2015,$5.38B
29 May 2015,$5.16B
30 Jun 2015,$4.95B
31 Jul 2015,$5.62B
31 Aug 2015,$5.09B
30 Sep 2015,$4.83B
30 Oct 2015,$5.53B
30 Nov 2015,$5.65B
31 Dec 2015,$5.63B
29 Jan 2016,$5.5B
29 Feb 2016,$5.54B
31 Mar 2016,$5.3B
29 Apr 2016,$5.31B
31 May 2016,$5.32B
30 Jun 2016,$5.3B
29 Jul 2016,$5.24B
31 Aug 2016,$4.74B
30 Sep 2016,$4.84B
31 Oct 2016,$4.87B
30 Nov 2016,$5.17B
30 Dec 2016,$5.48B
31 Jan 2017,$5.41B
28 Feb 2017,$5.43B
31 Mar 2017,$5.32B
28 Apr 2017,$5.33B
31 May 2017,$5.58B
30 Jun 2017,$5.79B
31 Jul 2017,$5.51B
31 Aug 2017,$5.74B
29 Sep 2017,$5.83B
31 Oct 2017,$6.27B
30 Nov 2017,$6.73B
29 Dec 2017,$6.85B
31 Jan 2018,$6.86B
28 Feb 2018,$6.17B
30 Mar 2018,$5.97B
30 Apr 2018,$6.5B
31 May 2018,$6.29B
29 Jun 2018,$6.32B
31 Jul 2018,$6.13B
31 Aug 2018,$5.78B
28 Sep 2018,$6.26B
31 Oct 2018,$5.84B
30 Nov 2018,$6.06B
31 Dec 2018,$5.52B
31 Jan 2019,$5.72B
28 Feb 2019,$5.8B
29 Mar 2019,$5.95B
30 Apr 2019,$5.85B
31 May 2019,$5.89B
28 Jun 2019,$5.85B
31 Jul 2019,$5.8B
30 Aug 2019,$6.07B
30 Sep 2019,$6.52B
31 Oct 2019,$6.75B
29 Nov 2019,$7.46B
31 Dec 2019,$7.32B
31 Jan 2020,$7.13B
28 Feb 2020,$5.93B
26 Mar 2020,$6.95B
31 Mar 2020,$6.94B
30 Apr 2020,$6.74B
29 May 2020,$7.03B
30 Jun 2020,$6.56B
31 Jul 2020,$5.42B
6 Aug 2020,$5.62B
14 Aug 2020,$6.2B
20 Aug 2020,$6.16B
31 Aug 2020,$6.09B
10 Sep 2020,$6.17B
16 Sep 2020,$6.13B
24 Sep 2020,$6.07B
30 Sep 2020,$5.97B
8 Oct 2020,$6.01B
15 Oct 2020,$5.78B
22 Oct 2020,$5.51B
30 Oct 2020,$5.44B
12 Nov 2020,$6.47B
20 Nov 2020,$6.34B
30 Nov 2020,$5.76B
4 Dec 2020,$5.66B
8 Jan 2021,$5.53B
15 Jan 2021,$5.65B
29 Jan 2021,$5.42B
5 Feb 2021,$5.74B
12 Feb 2021,$5.84B
15 Feb 2021,$5.91B
22 Feb 2021,$5.59B
1 Mar 2021,$5.62B
12 Mar 2021,$5.71B
19 Mar 2021,$5.85B
25 Mar 2021,$5.59B
1 Apr 2021,$5.45B
7 Apr 2021,$5.43B
13 Apr 2021,$5.32B
30 Apr 2021,$5.17B
7 May 2021,$5.38B
13 May 2021,$5.11B
19 May 2021,$5.21B
26 May 2021,$5.12B
31 May 2021,$5.13B
11 Jun 2021,$5.66B
30 Jun 2021,$5.28B
12 Jul 2021,$5.38B
20 Jul 2021,$5.1B
30 Jul 2021,$5.36B
6 Aug 2021,$5.35B
13 Aug 2021,$5.37B
27 Aug 2021,$5.53B
3 Sep 2021,$5.44B
10 Sep 2021,$5.52B
17 Sep 2021,$5.58B
24 Sep 2021,$5.66B
2 Oct 2021,$5.48B
9 Oct 2021,$5.34B
16 Oct 2021,$5.19B
23 Oct 2021,$5.23B
30 Oct 2021,$5.2B
6 Nov 2021,$5.19B
13 Nov 2021,$5.14B
20 Nov 2021,$4.97B
27 Nov 2021,$5.09B
4 Dec 2021,$4.89B
10 Dec 2021,$4.86B
