timeline,Tokyu
30 Mar 2001,$5.29B
30 Apr 2001,$6.87B
31 May 2001,$6.21B
29 Jun 2001,$6.58B
31 Jul 2001,$6.79B
31 Aug 2001,$6.73B
28 Sep 2001,$5.32B
31 Oct 2001,$5.34B
30 Nov 2001,$4.61B
31 Dec 2001,$3.82B
31 Jan 2002,$3.67B
28 Feb 2002,$3.72B
29 Mar 2002,$4.02B
30 Apr 2002,$4.22B
31 May 2002,$5.15B
28 Jun 2002,$4.6B
31 Jul 2002,$4.52B
30 Aug 2002,$4.33B
30 Sep 2002,$4.45B
31 Oct 2002,$4.26B
29 Nov 2002,$4.23B
31 Dec 2002,$4.14B
31 Jan 2003,$3.97B
28 Feb 2003,$3.83B
31 Mar 2003,$3.52B
30 Apr 2003,$3.25B
30 May 2003,$3.2B
30 Jun 2003,$3.89B
31 Jul 2003,$3.59B
29 Aug 2003,$4.09B
30 Sep 2003,$4.63B
31 Oct 2003,$5.48B
28 Nov 2003,$5.12B
31 Dec 2003,$5.53B
30 Jan 2004,$5.46B
27 Feb 2004,$5.9B
31 Mar 2004,$6.56B
30 Apr 2004,$5.54B
31 May 2004,$5.45B
30 Jun 2004,$5.62B
30 Jul 2004,$5.14B
31 Aug 2004,$5.28B
30 Sep 2004,$5.05B
29 Oct 2004,$4.83B
30 Nov 2004,$5.27B
31 Dec 2004,$5.57B
31 Jan 2005,$5.74B
28 Feb 2005,$5.64B
29 Apr 2005,$5.13B
31 May 2005,$4.89B
30 Jun 2005,$5.03B
29 Jul 2005,$4.87B
31 Aug 2005,$5.24B
30 Sep 2005,$6.08B
31 Oct 2005,$6.38B
30 Nov 2005,$7.22B
30 Dec 2005,$8.42B
31 Jan 2006,$8.28B
28 Feb 2006,$7.38B
31 Mar 2006,$8.3B
28 Apr 2006,$8.4B
31 May 2006,$7.66B
30 Jun 2006,$6.99B
31 Jul 2006,$7.44B
31 Aug 2006,$8.17B
29 Sep 2006,$8.5B
31 Oct 2006,$8.29B
30 Nov 2006,$7.99B
29 Dec 2006,$7.98B
31 Jan 2007,$8.48B
28 Feb 2007,$9.99B
30 Mar 2007,$9.89B
30 Apr 2007,$9.42B
