timeline,Kintetsu GHD
31 Mar 2006,$6.88B
28 Apr 2006,$6.39B
31 May 2006,$6B
30 Jun 2006,$5.73B
31 Jul 2006,$5.4B
31 Aug 2006,$5.68B
29 Sep 2006,$5.55B
31 Oct 2006,$5.43B
30 Nov 2006,$5.4B
29 Dec 2006,$5.2B
31 Jan 2007,$5.32B
28 Feb 2007,$5.85B
30 Mar 2007,$5.56B
30 Apr 2007,$5.4B
31 May 2007,$5.43B
29 Jun 2007,$5.6B
31 Jul 2007,$5.31B
31 Aug 2007,$5.22B
28 Sep 2007,$5.38B
31 Oct 2007,$5.28B
30 Nov 2007,$5.55B
31 Dec 2007,$5.23B
31 Jan 2008,$5.41B
29 Feb 2008,$5.28B
31 Mar 2008,$5.37B
30 Apr 2008,$5.4B
30 May 2008,$5.19B
30 Jun 2008,$5.02B
31 Jul 2008,$4.93B
29 Aug 2008,$5.11B
30 Sep 2008,$5.55B
31 Oct 2008,$5.66B
28 Nov 2008,$5.75B
31 Dec 2008,$6.24B
30 Jan 2009,$6.15B
27 Feb 2009,$5.99B
31 Mar 2009,$6.14B
30 Apr 2009,$6.43B
29 May 2009,$6.4B
30 Jun 2009,$6.37B
31 Jul 2009,$6.61B
31 Aug 2009,$6.04B
30 Sep 2009,$5.2B
30 Oct 2009,$4.83B
30 Nov 2009,$4.99B
31 Dec 2009,$4.62B
29 Jan 2010,$4.68B
26 Feb 2010,$4.21B
31 Mar 2010,$4.36B
30 Apr 2010,$4.45B
31 May 2010,$4.03B
30 Jun 2010,$4.06B
30 Jul 2010,$4.18B
31 Aug 2010,$4.21B
30 Sep 2010,$4.23B
29 Oct 2010,$3.82B
30 Nov 2010,$3.75B
31 Dec 2010,$3.81B
31 Jan 2011,$3.79B
28 Feb 2011,$3.87B
31 Mar 2011,$4B
29 Apr 2011,$3.64B
31 May 2011,$3.67B
30 Jun 2011,$3.88B
29 Jul 2011,$3.91B
31 Aug 2011,$4.37B
30 Sep 2011,$4.39B
31 Oct 2011,$4.15B
30 Nov 2011,$4.28B
30 Dec 2011,$4.52B
31 Jan 2012,$4.61B
29 Feb 2012,$4.66B
30 Mar 2012,$4.73B
30 Apr 2012,$4.24B
31 May 2012,$4.1B
29 Jun 2012,$4.78B
31 Jul 2012,$4.67B
31 Aug 2012,$4.84B
28 Sep 2012,$4.6B
31 Oct 2012,$4.7B
30 Nov 2012,$4.93B
31 Dec 2012,$5.32B
31 Jan 2013,$5.65B
28 Feb 2013,$5.86B
29 Mar 2013,$6.55B
30 Apr 2013,$7.41B
31 May 2013,$6.31B
28 Jun 2013,$6.55B
31 Jul 2013,$6.33B
30 Aug 2013,$5.71B
30 Sep 2013,$6.13B
31 Oct 2013,$6.05B
29 Nov 2013,$6.01B
31 Dec 2013,$6.18B
31 Jan 2014,$5.93B
28 Feb 2014,$6.18B
31 Mar 2014,$6.15B
30 Apr 2014,$6.02B
30 May 2014,$5.98B
30 Jun 2014,$6.19B
31 Jul 2014,$6.32B
29 Aug 2014,$6.12B
30 Sep 2014,$6.19B
31 Oct 2014,$6.47B
28 Nov 2014,$6.72B
31 Dec 2014,$6.66B
30 Jan 2015,$6.97B
27 Feb 2015,$7.78B
31 Mar 2015,$7.39B
30 Apr 2015,$7.13B
29 May 2015,$6.97B
30 Jun 2015,$6.99B
31 Jul 2015,$7.41B
31 Aug 2015,$7.26B
30 Sep 2015,$7.19B
30 Oct 2015,$7.86B
30 Nov 2015,$7.91B
31 Dec 2015,$8.27B
29 Jan 2016,$8.28B
29 Feb 2016,$8.11B
31 Mar 2016,$7.65B
29 Apr 2016,$7.55B
31 May 2016,$7.48B
30 Jun 2016,$7.35B
29 Jul 2016,$7.46B
31 Aug 2016,$6.61B
30 Sep 2016,$7.1B
31 Oct 2016,$7.11B
30 Nov 2016,$7.41B
30 Dec 2016,$7.48B
31 Jan 2017,$7.28B
28 Feb 2017,$6.99B
31 Mar 2017,$6.73B
28 Apr 2017,$6.83B
31 May 2017,$7.16B
30 Jun 2017,$7.26B
31 Jul 2017,$7.1B
31 Aug 2017,$6.96B
29 Sep 2017,$7.02B
31 Oct 2017,$7.3B
30 Nov 2017,$7.37B
29 Dec 2017,$7.25B
31 Jan 2018,$7.23B
28 Feb 2018,$6.91B
30 Mar 2018,$6.95B
30 Apr 2018,$7.47B
31 May 2018,$7.64B
29 Jun 2018,$7.58B
31 Jul 2018,$7.45B
31 Aug 2018,$7.31B
28 Sep 2018,$7.66B
31 Oct 2018,$7.26B
30 Nov 2018,$7.93B
31 Dec 2018,$8B
31 Jan 2019,$7.96B
28 Feb 2019,$8.44B
29 Mar 2019,$8.65B
30 Apr 2019,$8.27B
31 May 2019,$8.72B
28 Jun 2019,$8.65B
31 Jul 2019,$8.69B
30 Aug 2019,$8.87B
30 Sep 2019,$9.44B
31 Oct 2019,$9.91B
29 Nov 2019,$10.38B
31 Dec 2019,$9.93B
31 Jan 2020,$9.68B
28 Feb 2020,$7.82B
31 Mar 2020,$8.38B
1 May 2020,$8.52B
29 May 2020,$8.87B
