timeline,Hankyu Hanshin Holdings
31 Mar 2006,$6.31B
28 Apr 2006,$6.24B
31 May 2006,$5.39B
30 Jun 2006,$5.18B
31 Jul 2006,$4.94B
31 Aug 2006,$5.81B
29 Sep 2006,$6.85B
31 Oct 2006,$6.49B
30 Nov 2006,$6.67B
29 Dec 2006,$6.29B
31 Jan 2007,$6.47B
28 Feb 2007,$7.33B
30 Mar 2007,$6.59B
30 Apr 2007,$6.32B
31 May 2007,$6.45B
29 Jun 2007,$6.02B
31 Jul 2007,$5.56B
31 Aug 2007,$5.44B
28 Sep 2007,$5.43B
31 Oct 2007,$4.99B
30 Nov 2007,$4.76B
31 Dec 2007,$4.47B
31 Jan 2008,$4.56B
29 Feb 2008,$4.3B
31 Mar 2008,$3.99B
30 Apr 2008,$4.35B
30 May 2008,$4.23B
31 Mar 2009,$4.97B
30 Apr 2009,$5.13B
29 May 2009,$5.2B
30 Jun 2009,$5.03B
31 Jul 2009,$4.85B
31 Aug 2009,$4.96B
30 Sep 2009,$4.78B
30 Oct 2009,$4.51B
30 Nov 2009,$4.46B
31 Dec 2009,$4.61B
29 Jan 2010,$4.64B
26 Feb 2010,$4.75B
31 Mar 2010,$4.82B
30 Apr 2010,$4.87B
31 May 2010,$4.48B
30 Jun 2010,$4.36B
30 Jul 2010,$4.35B
31 Aug 2010,$4.29B
30 Sep 2010,$4.46B
29 Oct 2010,$4.3B
30 Nov 2010,$4.23B
31 Dec 2010,$4.2B
31 Jan 2011,$4.23B
28 Feb 2011,$4.39B
31 Mar 2011,$4.27B
29 Apr 2011,$3.99B
31 May 2011,$3.4B
30 Jun 2011,$3.54B
29 Jul 2011,$3.45B
31 Aug 2011,$3.5B
30 Sep 2011,$3.7B
30 Nov 2011,$3.48B
30 Dec 2011,$3.61B
31 Jan 2012,$3.81B
29 Feb 2012,$3.83B
30 Mar 2012,$4.02B
30 Apr 2012,$4.18B
31 May 2012,$4.26B
29 Jun 2012,$4.51B
31 Jul 2012,$4.68B
31 Aug 2012,$4.95B
28 Sep 2012,$4.69B
31 Oct 2012,$4.92B
30 Nov 2012,$4.84B
31 Dec 2012,$4.96B
31 Jan 2013,$5.55B
28 Feb 2013,$5.66B
29 Mar 2013,$6.33B
30 Apr 2013,$7.01B
31 May 2013,$6.01B
28 Jun 2013,$6.28B
31 Jul 2013,$6.24B
30 Aug 2013,$5.91B
30 Sep 2013,$6.06B
31 Oct 2013,$6.12B
29 Nov 2013,$6.28B
31 Dec 2013,$6.32B
31 Jan 2014,$5.81B
28 Feb 2014,$6.21B
31 Mar 2014,$6.25B
30 Apr 2014,$6.23B
30 May 2014,$6.28B
30 Jun 2014,$6.43B
31 Jul 2014,$6.7B
29 Aug 2014,$6.81B
30 Sep 2014,$7.1B
31 Oct 2014,$7.24B
28 Nov 2014,$7.26B
31 Dec 2014,$7.21B
30 Jan 2015,$7.3B
27 Feb 2015,$8.42B
31 Mar 2015,$8.26B
30 Apr 2015,$8.05B
29 May 2015,$8.31B
30 Jun 2015,$8.04B
31 Jul 2015,$8.72B
31 Aug 2015,$8.1B
30 Sep 2015,$8.12B
30 Oct 2015,$8.8B
30 Nov 2015,$8.76B
31 Dec 2015,$8.77B
29 Jan 2016,$8.28B
29 Feb 2016,$8.04B
31 Mar 2016,$7.95B
29 Apr 2016,$7.7B
31 May 2016,$8.43B
30 Jun 2016,$8.44B
29 Jul 2016,$8.49B
31 Aug 2016,$7.4B
30 Sep 2016,$7.69B
31 Oct 2016,$7.71B
30 Nov 2016,$8.01B
30 Dec 2016,$8.31B
31 Jan 2017,$8.49B
28 Feb 2017,$8.33B
31 Mar 2017,$7.98B
28 Apr 2017,$8.11B
31 May 2017,$8.78B
30 Jun 2017,$8.89B
31 Jul 2017,$8.63B
31 Aug 2017,$9.19B
29 Sep 2017,$9.36B
31 Oct 2017,$9.66B
30 Nov 2017,$9.54B
29 Dec 2017,$9.93B
31 Jan 2018,$9.64B
28 Feb 2018,$8.77B
30 Mar 2018,$8.65B
30 Apr 2018,$9.4B
31 May 2018,$9.84B
29 Jun 2018,$9.71B
31 Jul 2018,$9.66B
31 Aug 2018,$8.61B
28 Sep 2018,$8.75B
31 Oct 2018,$8.08B
30 Nov 2018,$8.36B
31 Dec 2018,$7.93B
31 Jan 2019,$8.43B
28 Feb 2019,$8.78B
29 Mar 2019,$9.02B
30 Apr 2019,$8.96B
31 May 2019,$8.49B
28 Jun 2019,$8.38B
31 Jul 2019,$8.29B
30 Aug 2019,$8.72B
30 Sep 2019,$8.96B
31 Oct 2019,$9.35B
29 Nov 2019,$10.11B
31 Dec 2019,$10.06B
31 Jan 2020,$9.61B
28 Feb 2020,$7.63B
31 Mar 2020,$7.77B
30 Apr 2020,$7.91B
29 May 2020,$8.5B
30 Jun 2020,$7.84B
13 Jul 2020,$7.5B
31 Jul 2020,$6.48B
7 Aug 2020,$6.81B
20 Aug 2020,$7.33B
31 Aug 2020,$7.41B
2 Sep 2020,$7.34B
