timeline,Mitsui O.S.K. Lines
31 Jan 2001,$2.43B
28 Feb 2001,$2.66B
30 Mar 2001,$2.55B
30 Apr 2001,$3.55B
31 May 2001,$3.43B
29 Jun 2001,$3.89B
31 Jul 2001,$3.35B
31 Aug 2001,$2.84B
28 Sep 2001,$2.55B
31 Oct 2001,$3.14B
30 Nov 2001,$2.85B
31 Dec 2001,$2.81B
31 Jan 2002,$2.93B
28 Feb 2002,$2.74B
29 Mar 2002,$3.07B
30 Apr 2002,$2.79B
31 May 2002,$3.04B
28 Jun 2002,$2.68B
31 Jul 2002,$2.6B
30 Aug 2002,$2.5B
30 Sep 2002,$2.46B
31 Oct 2002,$2.25B
29 Nov 2002,$2.41B
31 Dec 2002,$2.62B
31 Jan 2003,$2.58B
28 Feb 2003,$3.08B
31 Mar 2003,$3.02B
30 Apr 2003,$3.32B
30 May 2003,$3.39B
30 Jun 2003,$3.88B
31 Jul 2003,$3.71B
29 Aug 2003,$4.31B
30 Sep 2003,$4.01B
31 Oct 2003,$4.75B
28 Nov 2003,$4.73B
31 Dec 2003,$5.56B
30 Jan 2004,$5.36B
27 Feb 2004,$5.57B
31 Mar 2004,$5.7B
30 Apr 2004,$5.14B
31 May 2004,$5.6B
30 Jun 2004,$6.1B
30 Jul 2004,$6.16B
31 Aug 2004,$6.91B
30 Sep 2004,$7.03B
29 Oct 2004,$6.68B
30 Nov 2004,$6.79B
31 Dec 2004,$6.54B
31 Jan 2005,$6.88B
28 Feb 2005,$7.63B
31 Mar 2005,$7.33B
29 Apr 2005,$7.04B
31 May 2005,$6.96B
30 Jun 2005,$7.28B
29 Jul 2005,$7.67B
31 Aug 2005,$8.59B
30 Sep 2005,$9.64B
31 Oct 2005,$8.68B
30 Nov 2005,$9.4B
30 Dec 2005,$10.94B
31 Jan 2006,$11.3B
28 Feb 2006,$9.11B
31 Mar 2006,$8.46B
28 Apr 2006,$8.67B
31 May 2006,$8.37B
30 Jun 2006,$8.27B
31 Jul 2006,$8.04B
31 Aug 2006,$9.52B
29 Sep 2006,$9.28B
31 Oct 2006,$10.37B
30 Nov 2006,$11.28B
29 Dec 2006,$12.48B
31 Jan 2007,$13.35B
28 Feb 2007,$14.23B
30 Mar 2007,$13.91B
30 Apr 2007,$16.15B
31 May 2007,$17.73B
29 Jun 2007,$17.8B
31 Jul 2007,$19.92B
31 Aug 2007,$18.14B
28 Sep 2007,$19.79B
31 Oct 2007,$20.03B
30 Nov 2007,$17.55B
