timeline,SG Holdings
29 Dec 2017,$6.27B
31 Jan 2018,$7.08B
28 Feb 2018,$6.43B
30 Mar 2018,$6.51B
30 Apr 2018,$6.85B
31 May 2018,$6.91B
29 Jun 2018,$6.8B
31 Jul 2018,$6.85B
31 Aug 2018,$7.36B
28 Sep 2018,$8.34B
31 Oct 2018,$7.96B
30 Nov 2018,$7.78B
31 Dec 2018,$8.02B
31 Jan 2019,$8.17B
28 Feb 2019,$9.13B
29 Mar 2019,$9.03B
30 Apr 2019,$8.33B
31 May 2019,$8.24B
28 Jun 2019,$8.55B
31 Jul 2019,$8.08B
30 Aug 2019,$7.96B
30 Sep 2019,$7.41B
31 Oct 2019,$7.53B
29 Nov 2019,$7.35B
31 Dec 2019,$6.89B
31 Jan 2020,$6.51B
28 Feb 2020,$5.96B
31 Mar 2020,$7.2B
24 Apr 2020,$8.48B
30 Apr 2020,$8.38B
29 May 2020,$9.84B
30 Jun 2020,$9.86B
10 Jul 2020,$10.37B
22 Jul 2020,$10.32B
31 Jul 2020,$10.84B
4 Aug 2020,$13.33B
14 Aug 2020,$13.58B
19 Aug 2020,$13.75B
31 Aug 2020,$13.65B
23 Sep 2020,$13.54B
25 Sep 2020,$15.32B
30 Sep 2020,$15.26B
8 Oct 2020,$15.57B
15 Oct 2020,$15.68B
22 Oct 2020,$15.51B
30 Oct 2020,$14.08B
13 Nov 2020,$14.61B
16 Nov 2020,$14.39B
20 Nov 2020,$15.25B
26 Nov 2020,$16.73B
30 Nov 2020,$17.47B
4 Dec 2020,$16.21B
11 Dec 2020,$15.97B
31 Dec 2020,$15.75B
8 Jan 2021,$16.63B
22 Jan 2021,$15.7B
29 Jan 2021,$15.07B
5 Feb 2021,$14.31B
12 Feb 2021,$14.78B
19 Feb 2021,$15.04B
26 Feb 2021,$13.71B
2 Mar 2021,$13.9B
8 Mar 2021,$13.45B
18 Mar 2021,$14.45B
26 Mar 2021,$14.31B
30 Mar 2021,$14.24B
31 Mar 2021,$14.21B
2 Apr 2021,$14.24B
8 Apr 2021,$14.32B
16 Apr 2021,$14.01B
22 Apr 2021,$14.43B
28 Apr 2021,$13.58B
30 Apr 2021,$13.91B
14 May 2021,$13.69B
20 May 2021,$13.53B
27 May 2021,$13.66B
31 May 2021,$13.7B
4 Jun 2021,$14.03B
11 Jun 2021,$15.31B
30 Jun 2021,$16.31B
12 Jul 2021,$16.89B
16 Jul 2021,$16.48B
21 Jul 2021,$16.64B
30 Jul 2021,$17.2B
6 Aug 2021,$17.53B
13 Aug 2021,$17.92B
20 Aug 2021,$17.57B
27 Aug 2021,$17.05B
3 Sep 2021,$17.6B
10 Sep 2021,$17.63B
17 Sep 2021,$19.76B
24 Sep 2021,$19.56B
2 Oct 2021,$17.74B
9 Oct 2021,$16.39B
16 Oct 2021,$16.89B
23 Oct 2021,$15.89B
30 Oct 2021,$15.93B
6 Nov 2021,$15.27B
13 Nov 2021,$14.89B
20 Nov 2021,$14.74B
27 Nov 2021,$14.26B
4 Dec 2021,$14.31B
9 Dec 2021,$14.57B
