timeline,Japan Airlines
28 Sep 2012,$5.84B
31 Oct 2012,$6.08B
30 Nov 2012,$6.06B
31 Dec 2012,$5.92B
31 Jan 2013,$6.05B
28 Feb 2013,$7.04B
29 Mar 2013,$6.99B
30 Apr 2013,$7.9B
31 May 2013,$8.35B
28 Jun 2013,$8.16B
31 Jul 2013,$8.32B
30 Aug 2013,$8.33B
30 Sep 2013,$9.5B
31 Oct 2013,$9.16B
29 Nov 2013,$8.33B
31 Dec 2013,$8.3B
31 Jan 2014,$8.25B
28 Feb 2014,$8.09B
31 Mar 2014,$8.12B
30 Apr 2014,$8.46B
30 May 2014,$8.49B
30 Jun 2014,$8.96B
31 Jul 2014,$9.16B
29 Aug 2014,$9.36B
30 Sep 2014,$9.6B
31 Oct 2014,$9.56B
28 Nov 2014,$11.16B
31 Dec 2014,$11.52B
30 Jan 2015,$12.83B
27 Feb 2015,$11.77B
31 Mar 2015,$11.96B
30 Apr 2015,$12.79B
29 May 2015,$13.67B
30 Jun 2015,$13.65B
31 Jul 2015,$14.96B
31 Aug 2015,$13.8B
30 Sep 2015,$13.48B
30 Oct 2015,$14.64B
30 Nov 2015,$13.46B
31 Dec 2015,$13.93B
29 Jan 2016,$14.31B
29 Feb 2016,$12.92B
31 Mar 2016,$13.18B
29 Apr 2016,$12.64B
31 May 2016,$12.15B
30 Jun 2016,$10.53B
29 Jul 2016,$10.22B
31 Aug 2016,$10.06B
30 Sep 2016,$9.46B
31 Oct 2016,$9.9B
30 Nov 2016,$10.82B
30 Dec 2016,$10.92B
31 Jan 2017,$11.52B
28 Feb 2017,$11.73B
31 Mar 2017,$10.99B
28 Apr 2017,$10.98B
31 May 2017,$10.12B
30 Jun 2017,$10.83B
31 Jul 2017,$11.13B
31 Aug 2017,$11.78B
29 Sep 2017,$11.87B
31 Oct 2017,$12.07B
30 Nov 2017,$12.83B
29 Dec 2017,$13.74B
31 Jan 2018,$12.83B
28 Feb 2018,$12.75B
30 Mar 2018,$13.35B
30 Apr 2018,$13.26B
31 May 2018,$12.98B
29 Jun 2018,$12B
31 Jul 2018,$12.52B
31 Aug 2018,$12.16B
28 Sep 2018,$12.4B
31 Oct 2018,$12.2B
30 Nov 2018,$12.43B
31 Dec 2018,$11.81B
31 Jan 2019,$12.03B
28 Feb 2019,$12.34B
29 Mar 2019,$11.84B
30 Apr 2019,$11.48B
31 May 2019,$10.46B
28 Jun 2019,$10.56B
31 Jul 2019,$10.44B
30 Aug 2019,$10.15B
30 Sep 2019,$9.72B
31 Oct 2019,$10.21B
29 Nov 2019,$10.29B
31 Dec 2019,$10.19B
31 Jan 2020,$9.23B
28 Feb 2020,$7.99B
31 Mar 2020,$5.91B
30 Apr 2020,$5.77B
29 May 2020,$6.29B
3 Jun 2020,$6.5B
30 Jun 2020,$5.77B
8 Jul 2020,$5.86B
10 Jul 2020,$5.67B
31 Jul 2020,$5.09B
12 Aug 2020,$5.89B
19 Aug 2020,$5.88B
31 Aug 2020,$6.28B
9 Sep 2020,$6.51B
16 Sep 2020,$6.43B
25 Sep 2020,$6.14B
30 Sep 2020,$5.84B
8 Oct 2020,$5.96B
16 Oct 2020,$5.87B
22 Oct 2020,$5.92B
30 Oct 2020,$5.4B
6 Nov 2020,$5.48B
13 Nov 2020,$5.46B
18 Nov 2020,$5.87B
20 Nov 2020,$5.69B
26 Nov 2020,$6.06B
30 Nov 2020,$5.88B
3 Dec 2020,$6.11B
8 Dec 2020,$5.74B
14 Dec 2020,$5.98B
21 Dec 2020,$5.68B
30 Dec 2020,$5.93B
31 Dec 2020,$7.69B
4 Jan 2021,$5.72B
8 Jan 2021,$5.67B
15 Jan 2021,$5.62B
29 Jan 2021,$5.54B
5 Feb 2021,$8.52B
12 Feb 2021,$8.63B
18 Feb 2021,$9.15B
26 Feb 2021,$9.75B
3 Mar 2021,$9.82B
11 Mar 2021,$9.57B
24 Mar 2021,$9.14B
31 Mar 2021,$9.52B
2 Apr 2021,$9.35B
9 Apr 2021,$9.01B
16 Apr 2021,$8.81B
22 Apr 2021,$8.3B
30 Apr 2021,$8.95B
11 May 2021,$8.83B
21 May 2021,$8.86B
31 May 2021,$9.63B
4 Jun 2021,$10.06B
11 Jun 2021,$10.35B
30 Jun 2021,$9.25B
12 Jul 2021,$9.52B
16 Jul 2021,$9.18B
21 Jul 2021,$8.79B
30 Jul 2021,$8.94B
6 Aug 2021,$8.67B
13 Aug 2021,$8.93B
20 Aug 2021,$8.79B
27 Aug 2021,$9.38B
3 Sep 2021,$9.48B
10 Sep 2021,$9.61B
17 Sep 2021,$9.51B
24 Sep 2021,$10.1B
2 Oct 2021,$10.28B
9 Oct 2021,$9.82B
16 Oct 2021,$9.57B
23 Oct 2021,$9.52B
30 Oct 2021,$9.43B
6 Nov 2021,$9.6B
13 Nov 2021,$9.74B
20 Nov 2021,$9.12B
27 Nov 2021,$8.18B
4 Dec 2021,$8.19B
10 Dec 2021,$8.52B
