timeline,ANA Holdings
30 Mar 2001,$5.31B
30 Apr 2001,$6.36B
31 May 2001,$5.53B
29 Jun 2001,$5.14B
31 Jul 2001,$4.74B
31 Aug 2001,$4.84B
28 Sep 2001,$3.78B
31 Oct 2001,$4.15B
30 Nov 2001,$3.88B
31 Dec 2001,$3.89B
31 Jan 2002,$4.01B
28 Feb 2002,$4.4B
29 Mar 2002,$4.62B
30 Apr 2002,$4.92B
31 May 2002,$4.77B
28 Jun 2002,$4.19B
31 Jul 2002,$4.18B
30 Aug 2002,$3.91B
31 Oct 2002,$3.38B
29 Nov 2002,$3.15B
31 Dec 2002,$2.96B
31 Jan 2003,$3.18B
28 Feb 2003,$2.96B
31 Mar 2003,$2.98B
30 Apr 2003,$2.71B
30 May 2003,$2.98B
30 Jun 2003,$3.11B
31 Jul 2003,$3.16B
29 Aug 2003,$3.45B
30 Sep 2003,$3.81B
31 Oct 2003,$3.83B
28 Nov 2003,$3.4B
31 Dec 2003,$3.59B
30 Jan 2004,$3.91B
27 Feb 2004,$4.56B
31 Mar 2004,$4.85B
30 Apr 2004,$4.54B
31 May 2004,$4.58B
30 Jun 2004,$4.84B
30 Jul 2004,$4.61B
31 Aug 2004,$4.82B
30 Sep 2004,$4.78B
29 Oct 2004,$4.48B
30 Nov 2004,$4.85B
31 Dec 2004,$4.84B
31 Jan 2005,$5.28B
28 Feb 2005,$5.26B
31 Mar 2005,$5.39B
29 Apr 2005,$5.01B
31 May 2005,$5.04B
30 Jun 2005,$4.98B
29 Jul 2005,$5.12B
31 Aug 2005,$5.33B
30 Sep 2005,$5.18B
31 Oct 2005,$5.55B
30 Nov 2005,$5.89B
30 Dec 2005,$7.07B
31 Jan 2006,$6.98B
28 Feb 2006,$6.27B
31 Mar 2006,$7.36B
28 Apr 2006,$7.29B
31 May 2006,$7.14B
30 Jun 2006,$7.55B
31 Jul 2006,$7.57B
31 Aug 2006,$7.88B
29 Sep 2006,$8.2B
31 Oct 2006,$7.86B
30 Nov 2006,$7.29B
29 Dec 2006,$7.23B
31 Jan 2007,$7.64B
28 Feb 2007,$7.95B
30 Mar 2007,$7.96B
30 Apr 2007,$7.99B
31 May 2007,$8.06B
31 Jul 2007,$7.74B
31 Aug 2007,$7.94B
28 Sep 2007,$7.7B
31 Oct 2007,$7.62B
30 Nov 2007,$7.43B
31 Dec 2007,$7.1B
31 Jan 2008,$7.27B
29 Feb 2008,$7.48B
31 Mar 2008,$7.55B
30 Apr 2008,$7.01B
30 May 2008,$6.96B
30 Jun 2008,$6.83B
31 Jul 2008,$6.81B
29 Aug 2008,$6.95B
30 Sep 2008,$6.45B
31 Oct 2008,$6.41B
28 Nov 2008,$5.97B
31 Dec 2008,$6.09B
30 Jan 2009,$5.85B
27 Feb 2009,$6.02B
31 Mar 2009,$6.63B
30 Apr 2009,$6.18B
29 May 2009,$6.06B
30 Jun 2009,$5.79B
31 Jul 2009,$4.53B
31 Aug 2009,$4.93B
30 Sep 2009,$4.43B
30 Oct 2009,$4.34B
30 Nov 2009,$3.9B
31 Dec 2009,$5.57B
29 Jan 2010,$5.81B
26 Feb 2010,$5.94B
31 Mar 2010,$5.9B
30 Apr 2010,$6.59B
31 May 2010,$6.05B
30 Jun 2010,$6.25B
30 Jul 2010,$6.47B
31 Aug 2010,$6.72B
30 Sep 2010,$6.83B
29 Oct 2010,$6.74B
30 Nov 2010,$6.54B
31 Dec 2010,$6.7B
31 Jan 2011,$6.65B
28 Feb 2011,$6.52B
31 Mar 2011,$5.49B
29 Apr 2011,$5.24B
31 May 2011,$5.46B
30 Jun 2011,$5.8B
29 Jul 2011,$5.77B
31 Aug 2011,$5.6B
30 Sep 2011,$5.38B
31 Oct 2011,$5.24B
30 Nov 2011,$5.13B
30 Dec 2011,$4.76B
31 Jan 2012,$4.91B
29 Feb 2012,$5.51B
30 Mar 2012,$5.57B
30 Apr 2012,$5.21B
31 May 2012,$4.76B
29 Jun 2012,$5.03B
31 Jul 2012,$3.99B
31 Aug 2012,$5.23B
28 Sep 2012,$4.96B
31 Oct 2012,$5.23B
30 Nov 2012,$5.47B
31 Dec 2012,$5.6B
31 Jan 2013,$5.53B
28 Feb 2013,$5.87B
29 Mar 2013,$5.94B
30 Apr 2013,$6.56B
31 May 2013,$6.59B
28 Jun 2013,$6.38B
31 Jul 2013,$6.25B
30 Aug 2013,$6.19B
30 Sep 2013,$6.62B
31 Oct 2013,$6.34B
29 Nov 2013,$6.41B
31 Dec 2013,$6.5B
31 Jan 2014,$6.75B
28 Feb 2014,$7.03B
31 Mar 2014,$6.86B
30 May 2014,$6.83B
30 Jun 2014,$7.35B
31 Jul 2014,$7.89B
29 Aug 2014,$7.78B
30 Sep 2014,$7.85B
31 Oct 2014,$7.92B
28 Nov 2014,$8.99B
31 Dec 2014,$9.21B
30 Jan 2015,$10.03B
27 Feb 2015,$9.99B
31 Mar 2015,$9.91B
30 Apr 2015,$10.22B
29 May 2015,$10.55B
30 Jun 2015,$10.23B
31 Jul 2015,$12.17B
31 Aug 2015,$10.96B
30 Sep 2015,$10.3B
30 Oct 2015,$11.16B
30 Nov 2015,$10.67B
31 Dec 2015,$10.78B
29 Jan 2016,$10.81B
29 Feb 2016,$9.84B
31 Mar 2016,$9.78B
29 Apr 2016,$9.5B
31 May 2016,$9.99B
30 Jun 2016,$8.98B
29 Jul 2016,$9.07B
31 Aug 2016,$8.67B
30 Sep 2016,$8.44B
31 Oct 2016,$9.1B
30 Nov 2016,$9.78B
30 Dec 2016,$9.71B
31 Jan 2017,$10.34B
28 Feb 2017,$10.35B
31 Mar 2017,$10.49B
28 Apr 2017,$10.36B
31 May 2017,$11.21B
30 Jun 2017,$12.05B
31 Jul 2017,$11.69B
31 Aug 2017,$12.62B
29 Sep 2017,$13.18B
31 Oct 2017,$13.16B
30 Nov 2017,$13.48B
29 Dec 2017,$14.16B
31 Jan 2018,$13.23B
28 Feb 2018,$12.71B
30 Mar 2018,$12.16B
30 Apr 2018,$12.8B
31 May 2018,$12.93B
29 Jun 2018,$12B
31 Jul 2018,$12.1B
31 Aug 2018,$11.36B
28 Sep 2018,$11.71B
31 Oct 2018,$11.2B
30 Nov 2018,$11.95B
31 Dec 2018,$11.63B
31 Jan 2019,$11.82B
28 Feb 2019,$12.19B
29 Mar 2019,$11.97B
30 Apr 2019,$11.47B
31 May 2019,$10.73B
28 Jun 2019,$10.53B
31 Jul 2019,$10.8B
30 Aug 2019,$10.72B
31 Oct 2019,$10.98B
11 Nov 2019,$11.09B
29 Nov 2019,$11B
31 Dec 2019,$10.74B
31 Jan 2020,$10.1B
28 Feb 2020,$8.58B
31 Mar 2020,$7.78B
30 Apr 2020,$6.79B
29 May 2020,$7.67B
30 Jun 2020,$7.23B
3 Jul 2020,$7.22B
17 Jul 2020,$7.31B
31 Jul 2020,$6.41B
13 Aug 2020,$7.16B
20 Aug 2020,$7.18B
31 Aug 2020,$7.81B
16 Sep 2020,$8.18B
23 Sep 2020,$8.21B
30 Sep 2020,$7.17B
8 Oct 2020,$7.19B
15 Oct 2020,$7.01B
22 Oct 2020,$6.84B
5 Nov 2020,$6.78B
13 Nov 2020,$7.22B
20 Nov 2020,$7.47B
30 Nov 2020,$7.42B
18 Dec 2020,$6.63B
31 Dec 2020,$9.25B
8 Jan 2021,$6.44B
22 Jan 2021,$6.52B
29 Jan 2021,$6.55B
12 Feb 2021,$9.91B
26 Feb 2021,$10.59B
5 Mar 2021,$10.49B
18 Mar 2021,$11.47B
31 Mar 2021,$10.66B
9 Apr 2021,$10.19B
15 Apr 2021,$10.1B
22 Apr 2021,$9.5B
30 Apr 2021,$10.39B
12 May 2021,$10.23B
21 May 2021,$10.17B
31 May 2021,$11.01B
4 Jun 2021,$11.46B
11 Jun 2021,$11.91B
30 Jun 2021,$11.15B
12 Jul 2021,$11.63B
21 Jul 2021,$10.76B
6 Aug 2021,$11.03B
13 Aug 2021,$10.99B
20 Aug 2021,$10.71B
27 Aug 2021,$11.29B
10 Sep 2021,$11.52B
17 Sep 2021,$11.31B
24 Sep 2021,$11.76B
2 Oct 2021,$12.12B
9 Oct 2021,$11.42B
23 Oct 2021,$11.14B
30 Oct 2021,$10.98B
6 Nov 2021,$11.45B
13 Nov 2021,$11.56B
20 Nov 2021,$10.99B
4 Dec 2021,$9.63B
9 Dec 2021,$9.95B
