timeline,Osaka Gas
31 Jan 2001,$6.36B
28 Feb 2001,$6.69B
30 Mar 2001,$6.99B
30 Apr 2001,$7.89B
31 May 2001,$8.21B
29 Jun 2001,$8.61B
31 Jul 2001,$8.34B
31 Aug 2001,$8.27B
28 Sep 2001,$8.01B
31 Oct 2001,$7.93B
30 Nov 2001,$6.9B
31 Dec 2001,$6.71B
31 Jan 2002,$6.28B
28 Feb 2002,$6.54B
29 Mar 2002,$6.06B
30 Apr 2002,$5.81B
31 May 2002,$6.35B
28 Jun 2002,$5.96B
31 Jul 2002,$5.87B
30 Aug 2002,$6.04B
30 Sep 2002,$6.21B
29 Nov 2002,$6B
31 Dec 2002,$6.12B
31 Jan 2003,$5.93B
28 Feb 2003,$6.29B
31 Mar 2003,$6.54B
30 Apr 2003,$7.21B
30 May 2003,$6.87B
30 Jun 2003,$6.21B
31 Jul 2003,$6.33B
29 Aug 2003,$6.12B
30 Sep 2003,$6.37B
31 Oct 2003,$6.35B
28 Nov 2003,$6B
31 Dec 2003,$6.06B
30 Jan 2004,$6.56B
27 Feb 2004,$6.58B
31 Mar 2004,$6.5B
30 Apr 2004,$6.39B
31 May 2004,$6.21B
30 Jun 2004,$6.33B
30 Jul 2004,$6.21B
31 Aug 2004,$6.33B
30 Sep 2004,$6.27B
29 Oct 2004,$6.42B
30 Nov 2004,$6.56B
31 Dec 2004,$6.69B
31 Jan 2005,$6.54B
28 Feb 2005,$6.58B
31 Mar 2005,$6.9B
31 May 2005,$7.02B
30 Jun 2005,$7.29B
29 Jul 2005,$7.42B
31 Aug 2005,$7.4B
30 Sep 2005,$8.3B
31 Oct 2005,$8.88B
30 Nov 2005,$8.21B
30 Dec 2005,$8.5B
31 Jan 2006,$8.82B
28 Feb 2006,$9.3B
31 Mar 2006,$8.44B
28 Apr 2006,$8.4B
31 May 2006,$7.73B
30 Jun 2006,$7.26B
31 Jul 2006,$7.63B
31 Aug 2006,$8.52B
29 Sep 2006,$8.12B
31 Oct 2006,$8.32B
30 Nov 2006,$8.22B
29 Dec 2006,$8.74B
31 Jan 2007,$9.25B
28 Feb 2007,$9.17B
30 Mar 2007,$9.01B
30 Apr 2007,$8.87B
31 May 2007,$8.93B
29 Jun 2007,$9.03B
31 Jul 2007,$8.09B
31 Aug 2007,$8.48B
28 Sep 2007,$7.95B
31 Oct 2007,$8.81B
30 Nov 2007,$8.7B
31 Jan 2008,$8.03B
29 Feb 2008,$8.28B
31 Mar 2008,$7.58B
30 Apr 2008,$7.04B
30 May 2008,$7.29B
30 Jun 2008,$7.41B
31 Jul 2008,$7.42B
29 Aug 2008,$7.58B
30 Sep 2008,$6.89B
31 Oct 2008,$6.55B
28 Nov 2008,$6.91B
31 Dec 2008,$7.88B
30 Jan 2009,$7.35B
27 Feb 2009,$6.7B
31 Mar 2009,$5.86B
30 Apr 2009,$5.96B
29 May 2009,$5.73B
30 Jun 2009,$5.86B
31 Jul 2009,$6B
31 Aug 2009,$6.13B
30 Sep 2009,$6B
30 Oct 2009,$5.77B
30 Nov 2009,$6B
31 Dec 2009,$5.98B
29 Jan 2010,$6.05B
26 Feb 2010,$6.13B
31 Mar 2010,$6.35B
30 Apr 2010,$6.2B
31 May 2010,$5.87B
30 Jun 2010,$6.06B
30 Jul 2010,$6.04B
31 Aug 2010,$6.01B
30 Sep 2010,$5.7B
29 Oct 2010,$5.76B
30 Nov 2010,$5.93B
31 Dec 2010,$5.97B
31 Jan 2011,$5.87B
28 Feb 2011,$5.89B
31 Mar 2011,$6.1B
29 Apr 2011,$5.47B
31 May 2011,$5.29B
30 Jun 2011,$5.6B
31 Aug 2011,$5.69B
30 Sep 2011,$5.91B
31 Oct 2011,$5.46B
30 Nov 2011,$5.4B
30 Dec 2011,$5.58B
31 Jan 2012,$5.62B
29 Feb 2012,$5.73B
30 Mar 2012,$6.1B
30 Apr 2012,$5.93B
31 May 2012,$5.64B
29 Jun 2012,$6.13B
31 Jul 2012,$5.86B
31 Aug 2012,$6.28B
28 Sep 2012,$6.32B
31 Oct 2012,$6.04B
30 Nov 2012,$5.95B
31 Dec 2012,$5.77B
31 Jan 2013,$6.3B
28 Feb 2013,$6.61B
29 Mar 2013,$7.6B
30 Apr 2013,$7.75B
31 May 2013,$7.53B
