timeline,Square Enix
31 Mar 2006,$2.96B
28 Apr 2006,$2.73B
31 May 2006,$2.33B
30 Jun 2006,$2.32B
31 Aug 2006,$2.66B
29 Sep 2006,$2.79B
31 Oct 2006,$2.86B
30 Nov 2006,$2.85B
29 Dec 2006,$3.04B
31 Jan 2007,$3.21B
28 Feb 2007,$2.96B
30 Apr 2007,$2.99B
31 May 2007,$3.11B
29 Jun 2007,$3.04B
31 Jul 2007,$3.37B
31 Aug 2007,$3.51B
28 Sep 2007,$3.71B
31 Oct 2007,$3.69B
30 Nov 2007,$3.44B
31 Dec 2007,$3.34B
31 Jan 2008,$2.98B
29 Feb 2008,$3.43B
31 Mar 2008,$3.4B
30 Apr 2008,$3.31B
30 May 2008,$3.16B
30 Jun 2008,$3.07B
31 Jul 2008,$3.29B
29 Aug 2008,$3.53B
30 Sep 2008,$2.99B
31 Oct 2008,$2.39B
28 Nov 2008,$2.66B
31 Dec 2008,$2.81B
30 Jan 2009,$2.39B
27 Feb 2009,$1.71B
31 Mar 2009,$1.89B
30 Apr 2009,$1.79B
29 May 2009,$2.14B
30 Jun 2009,$2.3B
31 Jul 2009,$2.14B
31 Aug 2009,$2.43B
30 Sep 2009,$2.47B
30 Oct 2009,$2.31B
30 Nov 2009,$1.91B
31 Dec 2009,$1.98B
29 Jan 2010,$1.83B
26 Feb 2010,$1.81B
31 Mar 2010,$2.07B
30 Apr 2010,$2.01B
31 May 2010,$1.73B
30 Jun 2010,$1.67B
30 Jul 2010,$1.69B
31 Aug 2010,$1.76B
30 Sep 2010,$1.9B
29 Oct 2010,$1.71B
30 Nov 2010,$1.62B
31 Dec 2010,$1.46B
31 Jan 2011,$1.45B
28 Feb 2011,$1.54B
31 Mar 2011,$1.46B
29 Apr 2011,$1.36B
31 May 2011,$1.33B
30 Jun 2011,$1.47B
29 Jul 2011,$1.52B
31 Aug 2011,$1.86B
30 Sep 2011,$1.42B
31 Oct 2011,$1.53B
30 Nov 2011,$1.58B
30 Dec 2011,$1.53B
31 Jan 2012,$1.56B
29 Feb 2012,$1.61B
30 Mar 2012,$1.76B
30 Apr 2012,$1.59B
31 May 2012,$1.26B
29 Jun 2012,$1.27B
31 Jul 2012,$1.23B
31 Aug 2012,$1.33B
28 Sep 2012,$1.21B
31 Oct 2012,$1.14B
30 Nov 2012,$1.13B
31 Dec 2012,$1.11B
31 Jan 2013,$1.15B
28 Feb 2013,$1.08B
29 Mar 2013,$1.02B
30 Apr 2013,$1.21B
31 May 2013,$1.34B
28 Jun 2013,$1.21B
31 Jul 2013,$1.37B
30 Aug 2013,$1.46B
30 Sep 2013,$1.58B
31 Oct 2013,$1.61B
29 Nov 2013,$1.78B
31 Dec 2013,$1.87B
31 Jan 2014,$2.94B
28 Feb 2014,$2.35B
31 Mar 2014,$2.16B
30 Apr 2014,$1.67B
30 May 2014,$1.61B
30 Jun 2014,$1.82B
31 Jul 2014,$2.16B
29 Aug 2014,$2.43B
30 Sep 2014,$2.37B
31 Oct 2014,$2.33B
28 Nov 2014,$2.36B
31 Dec 2014,$2.55B
30 Jan 2015,$2.65B
27 Feb 2015,$2.63B
31 Mar 2015,$2.77B
30 Apr 2015,$2.72B
29 May 2015,$2.92B
30 Jun 2015,$2.91B
31 Jul 2015,$3.36B
31 Aug 2015,$3.4B
30 Sep 2015,$3.19B
30 Oct 2015,$3.53B
30 Nov 2015,$3.01B
31 Dec 2015,$3.16B
29 Jan 2016,$3.08B
29 Feb 2016,$2.86B
31 Mar 2016,$3.27B
29 Apr 2016,$3.05B
31 May 2016,$3.77B
30 Jun 2016,$3.56B
29 Jul 2016,$3.46B
31 Aug 2016,$3.26B
30 Sep 2016,$3.74B
31 Oct 2016,$3.75B
30 Nov 2016,$3.1B
30 Dec 2016,$3.24B
31 Jan 2017,$3.48B
28 Feb 2017,$3.68B
31 Mar 2017,$3.39B
28 Apr 2017,$3.46B
31 May 2017,$3.78B
30 Jun 2017,$3.96B
31 Jul 2017,$3.8B
31 Aug 2017,$4.06B
29 Sep 2017,$4.44B
31 Oct 2017,$4.8B
30 Nov 2017,$5.37B
29 Dec 2017,$5.63B
31 Jan 2018,$5.23B
28 Feb 2018,$4.81B
30 Mar 2018,$5.11B
30 Apr 2018,$4.79B
31 May 2018,$5.68B
29 Jun 2018,$5.71B
31 Jul 2018,$5.55B
31 Aug 2018,$5.33B
28 Sep 2018,$4.94B
31 Oct 2018,$4.25B
30 Nov 2018,$3.89B
31 Dec 2018,$3.14B
31 Jan 2019,$3.79B
28 Feb 2019,$3.45B
29 Mar 2019,$4.08B
30 Apr 2019,$4.03B
31 May 2019,$4.02B
28 Jun 2019,$3.63B
31 Jul 2019,$3.94B
30 Aug 2019,$4.46B
30 Sep 2019,$5.52B
31 Oct 2019,$5.4B
29 Nov 2019,$5.69B
31 Dec 2019,$5.71B
