timeline,Capcom
31 Mar 2006,$0.59B
28 Apr 2006,$0.57B
30 Jun 2006,$0.67B
31 Jul 2006,$0.66B
31 Aug 2006,$0.83B
31 Oct 2006,$1.04B
30 Nov 2006,$1B
29 Dec 2006,$1.04B
31 Jan 2007,$1.11B
28 Feb 2007,$0.9B
30 Mar 2007,$0.82B
30 Apr 2007,$0.91B
31 May 2007,$1.14B
29 Jun 2007,$1.15B
31 Jul 2007,$1.2B
31 Aug 2007,$1.24B
28 Sep 2007,$1.32B
31 Oct 2007,$1.63B
30 Nov 2007,$1.49B
31 Dec 2007,$1.42B
31 Jan 2008,$1.28B
29 Feb 2008,$1.45B
31 Mar 2008,$1.83B
30 Apr 2008,$1.68B
30 May 2008,$1.88B
30 Jun 2008,$1.67B
31 Jul 2008,$1.82B
29 Aug 2008,$1.81B
30 Sep 2008,$1.61B
31 Oct 2008,$1.17B
28 Nov 2008,$1.05B
31 Dec 2008,$1.08B
30 Jan 2009,$0.88B
27 Feb 2009,$1.02B
31 Mar 2009,$0.94B
30 Apr 2009,$0.92B
29 May 2009,$1B
30 Jun 2009,$0.94B
31 Jul 2009,$1.03B
31 Aug 2009,$0.99B
30 Sep 2009,$0.95B
30 Oct 2009,$0.83B
30 Nov 2009,$0.75B
31 Dec 2009,$0.82B
29 Jan 2010,$0.8B
26 Feb 2010,$0.81B
31 Mar 2010,$0.94B
30 Apr 2010,$1.01B
31 May 2010,$0.86B
30 Jun 2010,$0.77B
30 Jul 2010,$0.71B
31 Aug 2010,$0.65B
30 Sep 2010,$0.7B
29 Oct 2010,$0.68B
31 Dec 2010,$0.7B
31 Jan 2011,$0.75B
28 Feb 2011,$0.84B
31 Mar 2011,$0.85B
29 Apr 2011,$0.8B
31 May 2011,$0.85B
30 Jun 2011,$0.99B
29 Jul 2011,$1.08B
31 Aug 2011,$1.19B
30 Sep 2011,$1.04B
31 Oct 2011,$1.1B
30 Nov 2011,$1.04B
30 Dec 2011,$0.97B
31 Jan 2012,$0.9B
29 Feb 2012,$0.94B
30 Mar 2012,$0.96B
30 Apr 2012,$0.93B
31 May 2012,$0.77B
29 Jun 2012,$0.84B
31 Jul 2012,$0.81B
31 Aug 2012,$0.79B
28 Sep 2012,$0.82B
31 Oct 2012,$0.77B
30 Nov 2012,$0.79B
31 Dec 2012,$0.67B
31 Jan 2013,$0.75B
28 Feb 2013,$0.72B
29 Mar 2013,$0.75B
30 Apr 2013,$0.82B
31 May 2013,$0.83B
28 Jun 2013,$0.82B
31 Jul 2013,$0.88B
30 Aug 2013,$0.86B
30 Sep 2013,$0.96B
31 Oct 2013,$0.93B
29 Nov 2013,$1.01B
31 Dec 2013,$0.96B
31 Jan 2014,$1.03B
28 Feb 2014,$0.99B
31 Mar 2014,$0.97B
30 Apr 2014,$0.88B
30 May 2014,$0.85B
