timeline,Japan Airport Terminal
31 Mar 2006,$0.99B
28 Apr 2006,$1.17B
31 May 2006,$1B
30 Jun 2006,$1.1B
31 Jul 2006,$1.04B
31 Aug 2006,$1.27B
29 Sep 2006,$1.14B
31 Oct 2006,$1.22B
30 Nov 2006,$1.16B
29 Dec 2006,$1.24B
31 Jan 2007,$1.39B
28 Feb 2007,$1.52B
30 Apr 2007,$1.96B
31 May 2007,$1.83B
29 Jun 2007,$1.72B
31 Jul 2007,$1.85B
31 Aug 2007,$2.06B
28 Sep 2007,$2.45B
31 Oct 2007,$1.98B
30 Nov 2007,$1.91B
31 Dec 2007,$1.69B
31 Jan 2008,$1.31B
29 Feb 2008,$1.74B
31 Mar 2008,$1.94B
30 Apr 2008,$1.84B
30 May 2008,$1.69B
30 Jun 2008,$1.48B
31 Jul 2008,$1.4B
29 Aug 2008,$1.24B
30 Sep 2008,$0.94B
31 Oct 2008,$1.05B
28 Nov 2008,$1.11B
31 Dec 2008,$1.06B
30 Jan 2009,$0.91B
27 Feb 2009,$0.96B
31 Mar 2009,$0.92B
30 Apr 2009,$0.87B
29 May 2009,$1.06B
30 Jun 2009,$1.04B
31 Jul 2009,$0.98B
31 Aug 2009,$0.96B
30 Sep 2009,$1B
30 Oct 2009,$1.14B
30 Nov 2009,$0.98B
31 Dec 2009,$1.11B
29 Jan 2010,$1.09B
26 Feb 2010,$1.19B
31 Mar 2010,$1.15B
30 Apr 2010,$1.33B
31 May 2010,$1.13B
30 Jun 2010,$1.17B
30 Jul 2010,$1.18B
31 Aug 2010,$1.27B
30 Sep 2010,$1.22B
29 Oct 2010,$1.17B
30 Nov 2010,$1.09B
31 Dec 2010,$1.11B
31 Jan 2011,$1.09B
28 Feb 2011,$1.1B
31 Mar 2011,$0.93B
29 Apr 2011,$0.92B
31 May 2011,$0.76B
30 Jun 2011,$0.66B
29 Jul 2011,$0.7B
31 Aug 2011,$0.81B
30 Sep 2011,$0.83B
31 Oct 2011,$0.74B
30 Nov 2011,$0.79B
30 Dec 2011,$0.71B
31 Jan 2012,$0.75B
29 Feb 2012,$0.77B
30 Mar 2012,$0.78B
30 Apr 2012,$0.79B
31 May 2012,$0.62B
29 Jun 2012,$0.69B
31 Jul 2012,$0.64B
31 Aug 2012,$0.65B
28 Sep 2012,$0.66B
31 Oct 2012,$0.62B
30 Nov 2012,$0.67B
31 Dec 2012,$0.64B
31 Jan 2013,$0.69B
28 Feb 2013,$0.75B
29 Mar 2013,$0.9B
30 Apr 2013,$1.08B
31 May 2013,$0.92B
28 Jun 2013,$1.13B
31 Jul 2013,$1.32B
30 Aug 2013,$1.29B
30 Sep 2013,$1.63B
31 Oct 2013,$1.7B
29 Nov 2013,$1.64B
31 Dec 2013,$1.7B
