timeline,Nitori Holdings
28 Feb 2006,$2.85B
31 Mar 2006,$3.06B
28 Apr 2006,$3.07B
31 May 2006,$2.88B
30 Jun 2006,$2.78B
31 Jul 2006,$2.56B
31 Aug 2006,$2.73B
29 Sep 2006,$2.67B
31 Oct 2006,$2.37B
30 Nov 2006,$2.51B
30 Apr 2009,$2.8B
29 Dec 2006,$2.58B
31 Jan 2007,$2.79B
28 Feb 2007,$2.78B
30 Mar 2007,$2.93B
30 Apr 2007,$2.87B
31 May 2007,$2.85B
29 Jun 2007,$3.08B
31 Jul 2007,$3.07B
31 Aug 2007,$3.02B
28 Sep 2007,$2.72B
31 Oct 2007,$2.63B
30 Nov 2007,$2.72B
31 Dec 2007,$2.68B
31 Jan 2008,$2.78B
29 Feb 2008,$2.6B
31 Mar 2008,$2.83B
30 Apr 2008,$2.74B
30 May 2008,$2.77B
30 Jun 2008,$2.74B
31 Jul 2008,$2.96B
29 Aug 2008,$3.05B
30 Sep 2008,$3.13B
31 Oct 2008,$3.07B
28 Nov 2008,$3.41B
31 Dec 2008,$3.52B
30 Jan 2009,$3.19B
27 Feb 2009,$2.62B
31 Mar 2009,$2.78B
30 Apr 2009,$2.8B
29 May 2009,$2.91B
30 Jun 2009,$3.45B
31 Jul 2009,$3.42B
31 Aug 2009,$3.63B
30 Sep 2009,$3.86B
30 Oct 2009,$3.7B
30 Nov 2009,$3.65B
31 Dec 2009,$3.49B
29 Jan 2010,$3.45B
26 Feb 2010,$3.57B
31 Mar 2010,$3.56B
30 Apr 2010,$3.7B
31 May 2010,$3.65B
30 Jun 2010,$3.84B
30 Jul 2010,$3.74B
31 Aug 2010,$3.67B
30 Sep 2010,$3.5B
29 Oct 2010,$3.55B
30 Nov 2010,$3.7B
31 Dec 2010,$3.56B
31 Jan 2011,$3.44B
28 Feb 2011,$3.5B
31 Mar 2011,$3.53B
29 Apr 2011,$3.38B
31 May 2011,$3.43B
30 Jun 2011,$3.69B
29 Jul 2011,$3.62B
31 Aug 2011,$3.79B
30 Sep 2011,$3.77B
31 Oct 2011,$3.63B
30 Nov 2011,$3.48B
30 Dec 2011,$3.49B
31 Jan 2012,$3.38B
29 Feb 2012,$3.32B
30 Mar 2012,$3.62B
30 Apr 2012,$3.55B
31 May 2012,$3.42B
29 Jun 2012,$3.64B
31 Jul 2012,$3.54B
31 Aug 2012,$3.79B
28 Sep 2012,$3.5B
31 Oct 2012,$3.15B
30 Nov 2012,$2.96B
31 Dec 2012,$3.06B
31 Jan 2013,$3.38B
28 Feb 2013,$3.34B
29 Mar 2013,$3.48B
30 Apr 2013,$3.55B
31 May 2013,$3.84B
28 Jun 2013,$3.87B
31 Jul 2013,$4.04B
30 Aug 2013,$4.25B
30 Sep 2013,$4.35B
31 Oct 2013,$4.45B
29 Nov 2013,$4.59B
31 Dec 2013,$4.82B
28 Feb 2014,$4.46B
31 Mar 2014,$4.34B
30 Apr 2014,$4.54B
30 May 2014,$4.84B
30 Jun 2014,$5.37B
31 Jul 2014,$5.64B
29 Aug 2014,$6.04B
30 Sep 2014,$6.58B
31 Oct 2014,$6.83B
28 Nov 2014,$6.37B
31 Dec 2014,$6.28B
30 Jan 2015,$6.47B
27 Feb 2015,$7.7B
31 Mar 2015,$7.91B
30 Apr 2015,$8.96B
29 May 2015,$9.3B
30 Jun 2015,$9.7B
31 Jul 2015,$10.82B
31 Aug 2015,$9.38B
30 Sep 2015,$9.09B
30 Oct 2015,$9.22B
30 Nov 2015,$9.85B
31 Dec 2015,$9.94B
29 Jan 2016,$9.38B
29 Feb 2016,$8.45B
31 Mar 2016,$10.05B
29 Apr 2016,$10.02B
31 May 2016,$10.98B
30 Jun 2016,$12.03B
29 Jul 2016,$12.42B
31 Aug 2016,$10.23B
30 Sep 2016,$11.75B
31 Oct 2016,$12.26B
30 Nov 2016,$11.64B
30 Dec 2016,$13.03B
31 Jan 2017,$12.3B
28 Feb 2017,$12.86B
31 Mar 2017,$13.83B
28 Apr 2017,$14.27B
31 May 2017,$15.92B
30 Jun 2017,$14.79B
31 Jul 2017,$15.3B
31 Aug 2017,$16.69B
29 Sep 2017,$15.82B
31 Oct 2017,$16.18B
30 Nov 2017,$18.03B
29 Dec 2017,$15.79B
31 Jan 2018,$17.09B
28 Feb 2018,$17.78B
30 Mar 2018,$18.56B
30 Apr 2018,$18.24B
31 May 2018,$18.47B
29 Jun 2018,$17.06B
31 Jul 2018,$16.65B
