timeline,Astellas Pharma
30 Oct 2009,$18.8B
30 Nov 2009,$18.22B
31 Dec 2009,$19.28B
29 Jan 2010,$19.15B
26 Feb 2010,$18.82B
31 Mar 2010,$18.12B
30 Apr 2010,$16.75B
31 May 2010,$15.94B
30 Jun 2010,$15.43B
30 Jul 2010,$15.32B
31 Aug 2010,$15.72B
30 Sep 2010,$16.53B
29 Oct 2010,$16.97B
30 Nov 2010,$16.41B
31 Dec 2010,$16.66B
31 Jan 2011,$17.25B
28 Feb 2011,$17.72B
31 Mar 2011,$17.9B
30 Apr 2012,$18.89B
31 May 2012,$18.23B
29 Jun 2012,$20.43B
31 Jul 2012,$21.95B
31 Aug 2012,$22.46B
28 Sep 2012,$23.59B
31 Oct 2012,$22.99B
30 Nov 2012,$23.44B
31 Dec 2012,$20.82B
31 Jan 2013,$23.61B
28 Feb 2013,$25.06B
29 Mar 2013,$24.82B
30 Apr 2013,$26.14B
31 May 2013,$23.34B
28 Jun 2013,$24.09B
31 Jul 2013,$23.57B
30 Aug 2013,$22.52B
30 Sep 2013,$22.49B
31 Oct 2013,$24.39B
29 Nov 2013,$26.1B
31 Dec 2013,$26.13B
31 Jan 2014,$27.4B
28 Feb 2014,$28.42B
31 Mar 2014,$26.54B
30 Apr 2014,$24.73B
30 May 2014,$28.59B
30 Jun 2014,$28.95B
31 Jul 2014,$30.34B
29 Aug 2014,$31.86B
30 Sep 2014,$32.93B
31 Oct 2014,$34.32B
28 Nov 2014,$31.95B
31 Dec 2014,$31.14B
30 Jan 2015,$34.12B
27 Feb 2015,$35.13B
31 Mar 2015,$35.95B
30 Apr 2015,$34.46B
29 May 2015,$32.09B
30 Jun 2015,$30.66B
31 Jul 2015,$32.42B
31 Aug 2015,$32B
30 Sep 2015,$27.77B
30 Oct 2015,$31.43B
30 Nov 2015,$30.41B
31 Dec 2015,$30.97B
29 Jan 2016,$29.91B
29 Feb 2016,$30.76B
31 Mar 2016,$28.29B
29 Apr 2016,$29.43B
31 May 2016,$29.08B
30 Jun 2016,$32.01B
29 Jul 2016,$33.78B
31 Aug 2016,$31.6B
30 Sep 2016,$31.98B
31 Oct 2016,$30.67B
30 Nov 2016,$28.88B
30 Dec 2016,$28.71B
31 Jan 2017,$27.38B
28 Feb 2017,$27.58B
31 Mar 2017,$27.08B
28 Apr 2017,$27.25B
31 May 2017,$26.05B
30 Jun 2017,$24.29B
31 Jul 2017,$26.33B
31 Aug 2017,$25.56B
29 Sep 2017,$25.97B
31 Oct 2017,$26.95B
30 Nov 2017,$25.67B
31 Jan 2018,$26.71B
28 Feb 2018,$29.33B
30 Mar 2018,$30.23B
30 Apr 2018,$29.11B
31 May 2018,$30.27B
29 Jun 2018,$30.22B
31 Jul 2018,$31.88B
31 Aug 2018,$32.83B
28 Sep 2018,$33.85B
31 Oct 2018,$29.7B
30 Nov 2018,$29.56B
31 Dec 2018,$24.41B
31 Jan 2019,$28.39B
28 Feb 2019,$29.44B
29 Mar 2019,$28.47B
30 Apr 2019,$25.48B
31 May 2019,$25.21B
28 Jun 2019,$25.56B
31 Jul 2019,$27B
30 Aug 2019,$26.09B
30 Sep 2019,$26.89B
31 Oct 2019,$32.24B
29 Nov 2019,$32.18B
31 Dec 2019,$32.07B
31 Jan 2020,$33.33B
28 Feb 2020,$28.93B
26 Mar 2020,$26.71B
31 Mar 2020,$28.72B
30 Apr 2020,$31.12B
29 May 2020,$33.03B
2 Jul 2020,$30.27B
9 Jul 2020,$29.76B
16 Jul 2020,$29.78B
23 Jul 2020,$29.88B
29 Jul 2020,$30.52B
31 Jul 2020,$29.28B
7 Aug 2020,$29.09B
13 Aug 2020,$30.72B
19 Aug 2020,$30.32B
2 Sep 2020,$28.67B
9 Sep 2020,$28.22B
16 Sep 2020,$28.31B
24 Sep 2020,$28.62B
30 Sep 2020,$27.55B
8 Oct 2020,$26.54B
15 Oct 2020,$26.14B
22 Oct 2020,$26.17B
30 Oct 2020,$25.49B
13 Nov 2020,$28.6B
20 Nov 2020,$28.34B
25 Nov 2020,$28.69B
30 Nov 2020,$26.47B
4 Dec 2020,$26.74B
11 Dec 2020,$27.2B
24 Dec 2020,$27.4B
31 Dec 2020,$28.59B
8 Jan 2021,$29.03B
22 Jan 2021,$30.23B
29 Jan 2021,$30.14B
8 Feb 2021,$32.36B
19 Feb 2021,$31.64B
26 Feb 2021,$29.23B
11 Mar 2021,$31.27B
17 Mar 2021,$30.88B
23 Mar 2021,$30.07B
31 Mar 2021,$28.66B
5 Apr 2021,$28.84B
16 Apr 2021,$28.16B
30 Apr 2021,$27.98B
5 May 2021,$27.87B
11 May 2021,$28.67B
17 May 2021,$28.66B
28 May 2021,$29.78B
4 Jun 2021,$31.8B
10 Jun 2021,$32.35B
30 Jun 2021,$32.43B
9 Jul 2021,$31.57B
16 Jul 2021,$32.15B
21 Jul 2021,$32.23B
30 Jul 2021,$32.89B
6 Aug 2021,$30.28B
13 Aug 2021,$29.65B
20 Aug 2021,$31.06B
27 Aug 2021,$31.21B
3 Sep 2021,$32.67B
10 Sep 2021,$31.92B
17 Sep 2021,$32.17B
24 Sep 2021,$31.62B
2 Oct 2021,$30.48B
9 Oct 2021,$32.12B
16 Oct 2021,$32.06B
23 Oct 2021,$31.6B
30 Oct 2021,$30.5B
6 Nov 2021,$31.29B
13 Nov 2021,$32.52B
20 Nov 2021,$32.06B
27 Nov 2021,$31.28B
4 Dec 2021,$28.7B
9 Dec 2021,$29.19B
