timeline,Canon
31 Jan 2001,$32.75B
28 Feb 2001,$28.69B
30 Mar 2001,$32B
30 Apr 2001,$34.98B
31 May 2001,$34.7B
29 Jun 2001,$36.08B
31 Jul 2001,$29.63B
31 Aug 2001,$26.64B
28 Sep 2001,$23.73B
31 Oct 2001,$25.63B
30 Nov 2001,$29.68B
31 Dec 2001,$30.72B
31 Jan 2002,$29.06B
28 Feb 2002,$30.35B
29 Mar 2002,$32.55B
30 Apr 2002,$34.05B
31 May 2002,$34B
28 Jun 2002,$33.15B
31 Jul 2002,$29.7B
30 Aug 2002,$30B
30 Sep 2002,$27.92B
31 Oct 2002,$32.21B
29 Nov 2002,$33.69B
31 Dec 2002,$32.4B
31 Jan 2003,$31.12B
28 Feb 2003,$31.6B
31 Mar 2003,$30.8B
30 Apr 2003,$35.21B
30 May 2003,$37.52B
30 Jun 2003,$40.07B
31 Jul 2003,$43.02B
29 Aug 2003,$42.54B
30 Sep 2003,$42.76B
31 Oct 2003,$42.97B
28 Nov 2003,$40.95B
31 Dec 2003,$41.99B
30 Jan 2004,$45.11B
27 Feb 2004,$43.32B
31 Mar 2004,$45.57B
30 Apr 2004,$46.02B
31 May 2004,$43.6B
30 Jun 2004,$46.98B
30 Jul 2004,$43.11B
31 Aug 2004,$42.2B
30 Sep 2004,$41.49B
29 Oct 2004,$43.55B
30 Nov 2004,$44.14B
31 Dec 2004,$48.18B
31 Jan 2005,$46.69B
28 Feb 2005,$46.83B
31 Mar 2005,$47.15B
29 Apr 2005,$45.78B
31 May 2005,$47.73B
30 Jun 2005,$46.75B
29 Jul 2005,$43.68B
31 Aug 2005,$45B
30 Sep 2005,$48.2B
31 Oct 2005,$47.15B
30 Nov 2005,$49.99B
30 Dec 2005,$52.28B
31 Jan 2006,$53.52B
28 Feb 2006,$55.53B
31 Mar 2006,$58.7B
28 Apr 2006,$67.37B
31 May 2006,$62.39B
30 Jun 2006,$65.12B
31 Jul 2006,$64.06B
31 Aug 2006,$66.23B
29 Sep 2006,$69.67B
31 Oct 2006,$71.14B
30 Nov 2006,$70.13B
29 Dec 2006,$75.36B
31 Jan 2007,$70.32B
28 Feb 2007,$72B
30 Mar 2007,$71.48B
30 Apr 2007,$74.84B
31 May 2007,$78.38B
29 Jun 2007,$76.98B
31 Jul 2007,$69.69B
31 Aug 2007,$74.99B
28 Sep 2007,$71.27B
31 Oct 2007,$66.39B
30 Nov 2007,$69.08B
31 Dec 2007,$57.79B
31 Jan 2008,$53.73B
29 Feb 2008,$56.57B
31 Mar 2008,$58.48B
30 Apr 2008,$63.02B
30 May 2008,$68.24B
30 Jun 2008,$64.58B
31 Jul 2008,$57.54B
29 Aug 2008,$56.42B
30 Sep 2008,$49.04B
31 Oct 2008,$44.52B
28 Nov 2008,$38.66B
31 Dec 2008,$40.79B
30 Jan 2009,$35.02B
27 Feb 2009,$32.62B
31 Mar 2009,$35.84B
30 Apr 2009,$37.29B
29 May 2009,$40.95B
30 Jun 2009,$40.16B
31 Jul 2009,$45.7B
31 Aug 2009,$47.17B
30 Sep 2009,$50.01B
30 Oct 2009,$48.4B
30 Nov 2009,$47.64B
31 Dec 2009,$51.87B
29 Jan 2010,$48.27B
26 Feb 2010,$51.32B
31 Mar 2010,$57.57B
30 Apr 2010,$57.15B
31 May 2010,$50.81B
30 Jun 2010,$46.58B
30 Jul 2010,$53.83B
31 Aug 2010,$50.25B
30 Sep 2010,$57.32B
29 Oct 2010,$56.13B
30 Nov 2010,$57.72B
31 Dec 2010,$63.46B
31 Jan 2011,$60.23B
28 Feb 2011,$59.29B
31 Mar 2011,$53.45B
29 Apr 2011,$57.23B
31 May 2011,$59.29B
30 Jun 2011,$57.38B
29 Jul 2011,$58.62B
31 Aug 2011,$56.86B
30 Sep 2011,$55.58B
