timeline,CASIO
30 Sep 2009,$2.23B
30 Oct 2009,$2B
30 Nov 2009,$2.01B
29 Jan 2010,$2.12B
26 Feb 2010,$2.07B
31 Mar 2010,$2.1B
30 Apr 2010,$2.19B
30 Jul 2010,$2.01B
31 Aug 2010,$1.94B
30 Sep 2010,$1.98B
29 Oct 2010,$2.02B
31 Dec 2010,$2.23B
28 Feb 2011,$2.11B
31 Mar 2011,$2.41B
29 Apr 2011,$2.05B
31 May 2011,$2.14B
29 Jul 2011,$1.92B
31 Aug 2011,$1.74B
30 Sep 2011,$1.67B
30 Nov 2011,$1.6B
30 Dec 2011,$1.62B
31 Jan 2012,$1.64B
29 Feb 2012,$1.77B
30 Mar 2012,$1.92B
30 Apr 2012,$1.79B
31 May 2012,$1.55B
29 Jun 2012,$1.76B
31 Jul 2012,$1.78B
31 Aug 2012,$1.94B
28 Sep 2012,$1.91B
31 Oct 2012,$2.06B
30 Nov 2012,$2.02B
31 Dec 2012,$2.35B
31 Jan 2013,$2.33B
28 Feb 2013,$2.14B
29 Mar 2013,$2.07B
30 Apr 2013,$2.22B
31 May 2013,$2.44B
28 Jun 2013,$2.39B
31 Jul 2013,$2.4B
30 Aug 2013,$2.31B
30 Sep 2013,$2.49B
31 Oct 2013,$2.56B
29 Nov 2013,$3.05B
31 Dec 2013,$3.3B
31 Jan 2014,$2.93B
28 Feb 2014,$3.02B
31 Mar 2014,$3.19B
30 Apr 2014,$3.06B
30 May 2014,$3.58B
30 Jun 2014,$3.9B
31 Jul 2014,$4.57B
29 Aug 2014,$4.52B
30 Sep 2014,$4.32B
31 Oct 2014,$4.09B
28 Nov 2014,$3.94B
31 Dec 2014,$4.03B
30 Jan 2015,$4.07B
27 Feb 2015,$4.54B
31 Mar 2015,$4.96B
30 Apr 2015,$5.35B
29 May 2015,$4.96B
30 Jun 2015,$5.15B
31 Jul 2015,$5.21B
31 Aug 2015,$5.03B
30 Sep 2015,$4.72B
30 Oct 2015,$4.95B
30 Nov 2015,$5.78B
31 Dec 2015,$6.18B
29 Jan 2016,$5.07B
29 Feb 2016,$4.78B
31 Mar 2016,$5.18B
29 Apr 2016,$5.02B
31 May 2016,$3.99B
30 Jun 2016,$3.65B
29 Jul 2016,$3.61B
31 Aug 2016,$3.64B
30 Sep 2016,$3.73B
31 Oct 2016,$3.77B
30 Nov 2016,$3.57B
30 Dec 2016,$3.82B
31 Jan 2017,$3.56B
28 Feb 2017,$3.48B
31 Mar 2017,$3.41B
28 Apr 2017,$3.48B
31 May 2017,$3.82B
30 Jun 2017,$3.8B
31 Jul 2017,$4.03B
31 Aug 2017,$3.46B
29 Sep 2017,$3.47B
31 Oct 2017,$3.64B
30 Nov 2017,$3.61B
29 Dec 2017,$3.54B
31 Jan 2018,$3.75B
28 Feb 2018,$3.64B
30 Mar 2018,$3.67B
30 Apr 2018,$3.69B
31 May 2018,$3.77B
29 Jun 2018,$4.02B
31 Jul 2018,$4.05B
31 Aug 2018,$3.96B
28 Sep 2018,$4.03B
31 Oct 2018,$3.71B
30 Nov 2018,$3.44B
31 Dec 2018,$2.91B
31 Jan 2019,$3.27B
28 Feb 2019,$3.36B
29 Mar 2019,$3.22B
30 Apr 2019,$3.09B
31 May 2019,$2.73B
28 Jun 2019,$3.06B
31 Jul 2019,$2.78B
30 Aug 2019,$3.39B
30 Sep 2019,$3.78B
31 Oct 2019,$3.95B
29 Nov 2019,$4.64B
31 Dec 2019,$4.9B
31 Jan 2020,$4.58B
28 Feb 2020,$4.12B
26 Mar 2020,$3.23B
31 Mar 2020,$3.4B
30 Apr 2020,$3.89B
4 May 2020,$3.75B
29 May 2020,$4.27B
30 Jun 2020,$4.22B
2 Jul 2020,$4.15B
9 Jul 2020,$4.13B
16 Jul 2020,$4.26B
23 Jul 2020,$4.2B
31 Jul 2020,$3.87B
5 Aug 2020,$3.4B
14 Aug 2020,$3.66B
19 Aug 2020,$3.68B
31 Aug 2020,$3.93B
9 Sep 2020,$3.89B
16 Sep 2020,$4.02B
24 Sep 2020,$3.75B
30 Sep 2020,$3.89B
8 Oct 2020,$3.81B
15 Oct 2020,$3.54B
22 Oct 2020,$3.66B
13 Nov 2020,$4.55B
20 Nov 2020,$4.68B
25 Nov 2020,$4.79B
4 Dec 2020,$4.47B
18 Dec 2020,$4.38B
24 Dec 2020,$4.24B
31 Dec 2020,$4.42B
8 Jan 2021,$4.22B
29 Jan 2021,$4.3B
12 Feb 2021,$4.63B
22 Feb 2021,$4.72B
26 Feb 2021,$4.68B
11 Mar 2021,$4.79B
19 Mar 2021,$4.75B
25 Mar 2021,$4.51B
31 Mar 2021,$4.58B
6 Apr 2021,$4.56B
12 Apr 2021,$4.59B
21 Apr 2021,$4.13B
30 Apr 2021,$4.3B
7 May 2021,$4.37B
13 May 2021,$4.15B
19 May 2021,$3.94B
28 May 2021,$4.25B
31 May 2021,$4.2B
11 Jun 2021,$4.17B
30 Jun 2021,$4.08B
12 Jul 2021,$4.18B
