timeline,Fanuc
31 Dec 2007,$20.24B
31 Dec 2008,$14.4B
31 Dec 2009,$18.16B
31 Aug 2010,$20.89B
30 Sep 2010,$24.85B
29 Oct 2010,$27.92B
30 Nov 2010,$27.87B
30 Jan 2015,$32.9B
31 Dec 2010,$29.96B
31 Jan 2011,$30.91B
28 Feb 2011,$30.41B
31 Mar 2011,$29.63B
29 Apr 2011,$32.29B
31 May 2011,$30.23B
30 Jun 2011,$32.46B
29 Jul 2011,$36.79B
31 Aug 2011,$32.06B
30 Sep 2011,$27.63B
31 Oct 2011,$33.42B
30 Nov 2011,$30.8B
30 Dec 2011,$29.69B
31 Jan 2012,$32.83B
30 Apr 2012,$33.09B
31 May 2012,$33.48B
29 Jun 2012,$31.94B
31 Jul 2012,$30.64B
31 Aug 2012,$31.87B
28 Sep 2012,$31.71B
31 Oct 2012,$31.22B
30 Nov 2012,$33.11B
31 Dec 2012,$36.24B
31 Jan 2013,$30.62B
28 Feb 2013,$30.33B
29 Mar 2013,$30.12B
30 Apr 2013,$29.4B
31 May 2013,$29.5B
28 Jun 2013,$28.57B
31 Jul 2013,$29.66B
30 Aug 2013,$29.88B
30 Sep 2013,$32.42B
31 Oct 2013,$31.22B
29 Nov 2013,$32.96B
31 Dec 2013,$35.9B
31 Jan 2014,$31.93B
28 Feb 2014,$33.83B
31 Mar 2014,$34.61B
30 Apr 2014,$35.1B
30 May 2014,$33.31B
30 Jun 2014,$33.71B
31 Jul 2014,$34.22B
29 Aug 2014,$32.83B
30 Sep 2014,$35.43B
31 Oct 2014,$34.25B
28 Nov 2014,$33.24B
31 Dec 2014,$32.67B
30 Jan 2015,$32.9B
27 Feb 2015,$37.6B
31 Mar 2015,$42.78B
30 Apr 2015,$43.61B
29 May 2015,$43.51B
30 Jun 2015,$33.13B
31 Jul 2015,$27.01B
31 Aug 2015,$26.36B
30 Sep 2015,$24.76B
30 Oct 2015,$28.87B
30 Nov 2015,$28.92B
31 Dec 2015,$28.36B
29 Jan 2016,$21.55B
29 Feb 2016,$23.65B
31 Mar 2016,$30.28B
