timeline,Honda
31 Jan 2001,$37.3B
28 Feb 2001,$38.49B
30 Mar 2001,$40B
30 Apr 2001,$40.1B
31 May 2001,$40.76B
29 Jun 2001,$42.87B
31 Jul 2001,$44.77B
31 Aug 2001,$35.57B
28 Sep 2001,$31.3B
31 Oct 2001,$35.37B
30 Nov 2001,$37.03B
31 Dec 2001,$39.71B
31 Jan 2002,$39.44B
28 Feb 2002,$38.8B
29 Mar 2002,$41.26B
30 Apr 2002,$44.22B
31 May 2002,$42.33B
28 Jun 2002,$40.36B
31 Jul 2002,$40.93B
30 Aug 2002,$41.32B
30 Sep 2002,$38.72B
31 Oct 2002,$35.23B
29 Nov 2002,$37.05B
31 Dec 2002,$35.2B
31 Jan 2003,$32.55B
28 Feb 2003,$35.8B
31 Mar 2003,$32.35B
30 Apr 2003,$32.51B
30 May 2003,$35B
30 Jun 2003,$37.13B
31 Jul 2003,$38.51B
29 Aug 2003,$39.68B
30 Sep 2003,$38.53B
31 Oct 2003,$38.32B
28 Nov 2003,$38.66B
31 Dec 2003,$43.85B
30 Jan 2004,$41.59B
27 Feb 2004,$42.5B
31 Mar 2004,$43.55B
30 Apr 2004,$37.92B
31 May 2004,$40.65B
30 Jun 2004,$47.4B
30 Jul 2004,$47.3B
31 Aug 2004,$48.68B
30 Sep 2004,$45.51B
29 Oct 2004,$45.38B
30 Nov 2004,$44.75B
31 Dec 2004,$48.42B
31 Jan 2005,$48.77B
28 Feb 2005,$49.89B
31 Mar 2005,$48.15B
29 Apr 2005,$46.34B
31 May 2005,$47.53B
30 Jun 2005,$47.32B
29 Jul 2005,$49.55B
31 Aug 2005,$51.76B
30 Sep 2005,$52.31B
31 Oct 2005,$51.23B
30 Nov 2005,$51.5B
30 Dec 2005,$53.79B
31 Jan 2006,$52.83B
28 Feb 2006,$54.55B
31 Mar 2006,$56.54B
28 Apr 2006,$64.7B
31 May 2006,$60.32B
30 Jun 2006,$58.11B
31 Jul 2006,$60.17B
31 Aug 2006,$61.87B
29 Sep 2006,$61.33B
31 Oct 2006,$64.43B
30 Nov 2006,$64.36B
29 Dec 2006,$72.11B
31 Jan 2007,$71.73B
28 Feb 2007,$67.75B
30 Mar 2007,$63.53B
30 Apr 2007,$62.73B
31 May 2007,$64.37B
29 Jun 2007,$65.82B
31 Jul 2007,$65.33B
31 Aug 2007,$59.71B
28 Sep 2007,$60.51B
31 Oct 2007,$67.89B
30 Nov 2007,$62.41B
31 Dec 2007,$60.14B
31 Jan 2008,$57.23B
29 Feb 2008,$55.53B
31 Mar 2008,$52.28B
30 Apr 2008,$57.61B
30 May 2008,$60.3B
30 Jun 2008,$62.44B
31 Jul 2008,$58.7B
29 Aug 2008,$59.74B
30 Sep 2008,$55.25B
31 Oct 2008,$45.45B
28 Nov 2008,$40.51B
31 Dec 2008,$39.16B
30 Jan 2009,$41.58B
27 Feb 2009,$43.36B
31 Mar 2009,$43.01B
30 Apr 2009,$52.73B
29 May 2009,$52.68B
