timeline,Hitachi
31 Dec 2009,$13.79B
31 Dec 2010,$23.99B
30 Nov 2011,$24.5B
30 Dec 2011,$23.49B
31 Dec 2012,$27.18B
28 Feb 2013,$26.12B
29 Mar 2013,$26.74B
30 Apr 2013,$29.48B
31 May 2013,$32.11B
28 Jun 2013,$29.99B
31 Jul 2013,$31.13B
30 Aug 2013,$27.97B
30 Sep 2013,$31.94B
31 Oct 2013,$33.58B
29 Nov 2013,$35.63B
31 Dec 2013,$36.64B
31 Jan 2014,$37.22B
28 Feb 2014,$37.97B
31 Mar 2014,$35.76B
30 Apr 2014,$34.22B
30 May 2014,$32.46B
30 Jun 2014,$35.33B
31 Jul 2014,$37.96B
29 Aug 2014,$36.62B
30 Sep 2014,$36.97B
31 Oct 2014,$37.98B
28 Nov 2014,$37.55B
31 Dec 2014,$36.4B
30 Jan 2015,$36.63B
27 Feb 2015,$33.08B
31 Mar 2015,$33.11B
30 Apr 2015,$33.25B
29 May 2015,$33.14B
30 Jun 2015,$31.75B
31 Jul 2015,$31.3B
31 Aug 2015,$27.16B
30 Sep 2015,$24.2B
30 Oct 2015,$28.05B
30 Nov 2015,$28.56B
31 Dec 2015,$27.71B
29 Jan 2016,$23.81B
29 Feb 2016,$20.28B
31 Mar 2016,$22.62B
29 Apr 2016,$23.03B
31 May 2016,$22.3B
30 Jun 2016,$19.91B
29 Jul 2016,$21.95B
31 Aug 2016,$23.28B
30 Sep 2016,$22.35B
31 Oct 2016,$25.81B
30 Nov 2016,$26.15B
30 Dec 2016,$26.24B
31 Jan 2017,$27.5B
28 Feb 2017,$26.49B
31 Mar 2017,$26.02B
28 Apr 2017,$26.69B
31 May 2017,$29.12B
30 Jun 2017,$29.71B
31 Jul 2017,$33.19B
31 Aug 2017,$33.08B
29 Sep 2017,$34.03B
31 Oct 2017,$38.32B
30 Nov 2017,$35.95B
29 Dec 2017,$37.54B
31 Jan 2018,$38.47B
28 Feb 2018,$36.75B
30 Mar 2018,$34.94B
30 Apr 2018,$35.49B
31 May 2018,$35.37B
29 Jun 2018,$34.14B
31 Jul 2018,$33.86B
31 Aug 2018,$31.55B
28 Sep 2018,$32.87B
31 Oct 2018,$29.57B
30 Nov 2018,$27.99B
31 Dec 2018,$25.69B
31 Jan 2019,$30.23B
28 Feb 2019,$29.04B
29 Mar 2019,$31.28B
30 Apr 2019,$31.89B
31 May 2019,$32.54B
28 Jun 2019,$35.4B
31 Jul 2019,$34.63B
30 Aug 2019,$32.93B
30 Sep 2019,$36.01B
31 Oct 2019,$36.13B
29 Nov 2019,$37.93B
31 Dec 2019,$41.04B
31 Jan 2020,$37.52B
28 Feb 2020,$32.04B
5 Mar 2020,$33.12B
31 Mar 2020,$28.1B
13 Apr 2020,$27.45B
30 Apr 2020,$29.37B
8 May 2020,$29.11B
29 May 2020,$31.01B
30 Jun 2020,$30.56B
23 Jul 2020,$30.64B
31 Jul 2020,$28.87B
5 Aug 2020,$30.96B
12 Aug 2020,$32.31B
19 Aug 2020,$32.34B
2 Sep 2020,$31.8B
17 Sep 2020,$33.88B
30 Sep 2020,$32.42B
16 Oct 2020,$32.57B
21 Oct 2020,$33.06B
30 Oct 2020,$32.38B
13 Nov 2020,$35.8B
18 Nov 2020,$36.76B
25 Nov 2020,$37.02B
1 Dec 2020,$36.77B
11 Dec 2020,$38.47B
18 Dec 2020,$39.4B
22 Dec 2020,$37.83B
31 Dec 2020,$38.11B
8 Jan 2021,$40.25B
29 Jan 2021,$39.91B
1 Feb 2021,$41.33B
5 Feb 2021,$44.32B
10 Feb 2021,$45.36B
17 Feb 2021,$45.31B
26 Feb 2021,$44.31B
5 Mar 2021,$46.97B
11 Mar 2021,$46.61B
23 Mar 2021,$47.08B
29 Mar 2021,$47.07B
31 Mar 2021,$43.86B
9 Apr 2021,$45.41B
15 Apr 2021,$45.46B
21 Apr 2021,$44.46B
30 Apr 2021,$47.77B
5 May 2021,$47.58B
11 May 2021,$46.79B
21 May 2021,$48.89B
27 May 2021,$50.22B
31 May 2021,$50.45B
4 Jun 2021,$53.16B
11 Jun 2021,$52.87B
30 Jun 2021,$55.65B
16 Jul 2021,$57.61B
22 Jul 2021,$55.28B
30 Jul 2021,$56.99B
6 Aug 2021,$54.43B
13 Aug 2021,$56.29B
20 Aug 2021,$53.78B
27 Aug 2021,$54.61B
3 Sep 2021,$55.93B
10 Sep 2021,$59.39B
17 Sep 2021,$59.09B
20 Sep 2021,$58.03B
24 Sep 2021,$57.42B
2 Oct 2021,$59.84B
9 Oct 2021,$54.45B
16 Oct 2021,$57.11B
23 Oct 2021,$57.23B
30 Oct 2021,$56.01B
6 Nov 2021,$60.7B
13 Nov 2021,$60.98B
20 Nov 2021,$61.03B
27 Nov 2021,$59.38B
4 Dec 2021,$57.55B
9 Dec 2021,$55.87B
